time,.x,.y,.theta
2018/10/24/17:29:14.730087,25.65333993,-100.29111109,-127.429000854
2018/10/24/17:29:14.772093,25.65333994,-100.29111112,-127.823997498
2018/10/24/17:29:14.923539,25.65333993,-100.29111104,-127.845001221
2018/10/24/17:29:15.073652,25.65333986,-100.29111077,-127.751998901
2018/10/24/17:29:15.224956,25.65333976,-100.29111065,-127.845001221
2018/10/24/17:29:15.374025,25.65333971,-100.29111065,-128.149993896
2018/10/24/17:29:15.522979,25.65333976,-100.29111051,-128.51600647
2018/10/24/17:29:15.672484,25.65333977,-100.29111054,-128.690002441
2018/10/24/17:29:15.823783,25.65333981,-100.2911104,-128.755004883
2018/10/24/17:29:15.969825,25.65333975,-100.29111036,-128.832000732
2018/10/24/17:29:16.126371,25.65333977,-100.29111006,-128.936004639
2018/10/24/17:29:16.273003,25.65333985,-100.29110999,-129.074996948
2018/10/24/17:29:16.422956,25.65334002,-100.29110986,-129.082992554
2018/10/24/17:29:16.573014,25.65333999,-100.29110985,-128.902999878
2018/10/24/17:29:16.724509,25.65334003,-100.29110982,-128.800994873
2018/10/24/17:29:16.874507,25.65334013,-100.29110967,-128.863998413
2018/10/24/17:29:17.024148,25.65334021,-100.29110955,-128.99899292
2018/10/24/17:29:17.174204,25.6533402,-100.29110951,-129.117004395
2018/10/24/17:29:17.323255,25.6533403,-100.2911093,-129.31199646
2018/10/24/17:29:17.472130,25.65334034,-100.29110917,-129.79699707
2018/10/24/17:29:17.622064,25.65334029,-100.29110898,-130.294998169
2018/10/24/17:29:17.772377,25.6533403,-100.29110893,-130.542999268
2018/10/24/17:29:17.923667,25.65334041,-100.29110881,-130.742004395
2018/10/24/17:29:18.072447,25.6533405,-100.29110856,-130.962005615
2018/10/24/17:29:18.223886,25.6533405,-100.29110845,-131.126998901
2018/10/24/17:29:18.373956,25.65334053,-100.2911084,-131.138000488
2018/10/24/17:29:18.522893,25.6533406,-100.29110839,-130.87600708
2018/10/24/17:29:18.672183,25.65334074,-100.29110832,-130.494995117
2018/10/24/17:29:18.823074,25.65334075,-100.29110828,-130.194000244
2018/10/24/17:29:18.969188,25.65334077,-100.29110826,-129.880996704
2018/10/24/17:29:19.119236,25.65334088,-100.29110846,-129.62399292
2018/10/24/17:29:19.275593,25.65334102,-100.29110839,-129.522994995
2018/10/24/17:29:19.422334,25.65334099,-100.29110828,-129.468994141
2018/10/24/17:29:19.573709,25.65334103,-100.29110828,-129.360992432
2018/10/24/17:29:19.725047,25.65334118,-100.29110854,-129.197998047
2018/10/24/17:29:19.875450,25.65334137,-100.29110856,-129.14100647
2018/10/24/17:29:20.025317,25.65334133,-100.29110842,-129.238998413
2018/10/24/17:29:20.174793,25.65334135,-100.29110843,-129.425994873
2018/10/24/17:29:20.322693,25.65334142,-100.29110831,-129.593002319
2018/10/24/17:29:20.472612,25.65334144,-100.29110823,-129.597000122
2018/10/24/17:29:20.622815,25.6533416,-100.29110812,-129.45300293
2018/10/24/17:29:20.774251,25.65334163,-100.29110811,-129.380004883
2018/10/24/17:29:20.919173,25.65334177,-100.29110809,-129.376998901
