time,.x,.y,.z
2018/10/24/17:23:06.579788,0.0430000014603,-0.0619999989867,-0.0140000004321
2018/10/24/17:23:06.735757,0.0419999994338,-0.0680000036955,-0.00600000005215
2018/10/24/17:23:06.882344,0.0419999994338,-0.0560000017285,-0.00400000018999
2018/10/24/17:23:07.033922,0.0500000007451,-0.0529999993742,-0.00700000021607
2018/10/24/17:23:07.182635,0.0710000023246,-0.0579999983311,-0.00400000018999
2018/10/24/17:23:07.333971,0.0860000029206,-0.0729999989271,0.00400000018999
2018/10/24/17:23:07.483913,0.0759999975562,-0.0759999975562,0.00400000018999
2018/10/24/17:23:07.634221,0.0619999989867,-0.0599999986589,-0.0130000002682
2018/10/24/17:23:07.782879,0.0540000014007,-0.0399999991059,-0.0240000002086
2018/10/24/17:23:07.932092,0.0740000009537,-0.0410000011325,-0.0170000009239
2018/10/24/17:23:08.083763,0.0810000002384,-0.0379999987781,0.00600000005215
2018/10/24/17:23:08.229507,0.0719999969006,-0.0460000000894,0.0149999996647
2018/10/24/17:23:08.385715,0.0640000030398,-0.0469999983907,0.00400000018999
2018/10/24/17:23:08.532363,0.0740000009537,-0.054999999702,-0.0230000000447
2018/10/24/17:23:08.682626,0.0790000036359,-0.0630000010133,-0.0359999984503
2018/10/24/17:23:08.832515,0.0790000036359,-0.070000000298,-0.0170000009239
2018/10/24/17:23:08.984281,0.0799999982119,-0.0719999969006,0.0010000000475
2018/10/24/17:23:09.132911,0.082999996841,-0.0710000023246,0.00200000009499
2018/10/24/17:23:09.285262,0.0689999982715,-0.0719999969006,0.00400000018999
2018/10/24/17:23:09.430340,0.0780000016093,-0.0750000029802,0.00800000037998
2018/10/24/17:23:09.583500,0.082000002265,-0.0750000029802,0.00300000002608
2018/10/24/17:23:09.732657,0.0860000029206,-0.0750000029802,-0.01600000076
2018/10/24/17:23:09.882637,0.082000002265,-0.0710000023246,-0.0219999998808
2018/10/24/17:23:10.028397,0.0879999995232,-0.0619999989867,-0.0010000000475
2018/10/24/17:23:10.184735,0.0890000015497,-0.054999999702,0.00899999961257
2018/10/24/17:23:10.331511,0.097000002861,-0.0599999986589,-0.00800000037998
2018/10/24/17:23:10.483167,0.0909999981523,-0.0560000017285,-0.0230000000447
2018/10/24/17:23:10.634331,0.0909999981523,-0.0540000014007,-0.0179999992251
2018/10/24/17:23:10.784331,0.082000002265,-0.0500000007451,0.00400000018999
2018/10/24/17:23:10.934115,0.0790000036359,-0.0630000010133,0.00899999961257
2018/10/24/17:23:11.078970,0.0769999995828,-0.0780000016093,-0.00600000005215
2018/10/24/17:23:11.232242,0.0790000036359,-0.0790000036359,-0.00600000005215
2018/10/24/17:23:11.382516,0.0769999995828,-0.0630000010133,0.00899999961257
2018/10/24/17:23:11.532679,0.0799999982119,-0.0579999983311,0.0
2018/10/24/17:23:11.682934,0.0839999988675,-0.0659999996424,-0.0230000000447
2018/10/24/17:23:11.828549,0.0839999988675,-0.0780000016093,-0.019999999553
2018/10/24/17:23:11.984830,0.0810000002384,-0.0759999975562,0.00800000037998
2018/10/24/17:23:12.134910,0.0920000001788,-0.0750000029802,0.0109999999404
2018/10/24/17:23:12.281659,0.0949999988079,-0.0659999996424,-0.00999999977648
2018/10/24/17:23:12.432011,0.0799999982119,-0.0599999986589,-0.0149999996647
2018/10/24/17:23:12.583519,-0.0320000015199,-0.112000003457,0.0010000000475
2018/10/24/17:23:12.732215,-0.184000000358,-0.206000000238,0.0109999999404
2018/10/24/17:23:12.883225,-0.340000003576,-0.31099998951,-0.0340000018477
2018/10/24/17:23:13.033345,-0.488999992609,-0.405999988317,-0.0280000008643
2018/10/24/17:23:13.178367,-0.629000008106,-0.479999989271,0.0230000000447
2018/10/24/17:23:13.328809,-0.702000021935,-0.532000005245,0.0329999998212
2018/10/24/17:23:13.483016,-0.746999979019,-0.600000023842,-0.0130000002682
2018/10/24/17:23:13.633814,-0.772000014782,-0.691999971867,-0.0149999996647
