time,.data
2019/02/15/16:21:55.644684,-1.55028682919
2019/02/15/16:21:55.760667,-1.54973581889
2019/02/15/16:21:55.879493,-1.5494818409
2019/02/15/16:21:55.989357,-1.54848977971
2019/02/15/16:21:56.100564,-1.54835024734
2019/02/15/16:21:56.210484,-1.5482736665
2019/02/15/16:21:56.320136,-1.54816929031
2019/02/15/16:21:56.433343,-1.54824946961
2019/02/15/16:21:56.543820,-1.54807008013
2019/02/15/16:21:56.657957,-1.54770126354
2019/02/15/16:21:56.768510,-1.54763211369
2019/02/15/16:21:56.876943,-1.54745377165
2019/02/15/16:21:56.987254,-1.54677966612
2019/02/15/16:21:57.099188,-1.54671229236
2019/02/15/16:21:57.208238,-1.54698453134
2019/02/15/16:21:57.319653,-1.54676406405
2019/02/15/16:21:57.434427,-1.54651118385
2019/02/15/16:21:57.547025,-1.54651118385
2019/02/15/16:21:57.659378,-1.54567928008
2019/02/15/16:21:57.774297,-1.54484305033
2019/02/15/16:21:57.884166,-1.54463185105
2019/02/15/16:21:57.998371,-1.54429401117
2019/02/15/16:21:58.113558,-1.54341984272
2019/02/15/16:21:58.221884,-1.54123264838
2019/02/15/16:21:58.341356,-1.5401711623
2019/02/15/16:21:58.454499,-1.53811199321
2019/02/15/16:21:58.564000,-1.53671584195
2019/02/15/16:21:58.676167,-1.53560570399
2019/02/15/16:21:58.783122,-1.53454285377
2019/02/15/16:21:58.894372,-1.53322100746
2019/02/15/16:21:59.004891,-1.5315464382
2019/02/15/16:21:59.115321,-1.52992610235
2019/02/15/16:21:59.226078,-1.5276255735
2019/02/15/16:21:59.335703,-1.52610798815
2019/02/15/16:21:59.447343,-1.52466421432
2019/02/15/16:21:59.559860,-1.52172602337
2019/02/15/16:21:59.669170,-1.51948171308
2019/02/15/16:21:59.777576,-1.51649834703
2019/02/15/16:21:59.889667,-1.51450571327
2019/02/15/16:22:00.001913,-1.5136122163
2019/02/15/16:22:00.109834,-1.51171120763
2019/02/15/16:22:00.221396,-1.51100066116
2019/02/15/16:22:00.335621,-1.50912149923
2019/02/15/16:22:00.446219,-1.50753332726
2019/02/15/16:22:00.557570,-1.50546591615
2019/02/15/16:22:00.667408,-1.50326961573
2019/02/15/16:22:00.777705,-1.50203658299
2019/02/15/16:22:00.888302,-1.5006796433
2019/02/15/16:22:01.000101,-1.49885222233
2019/02/15/16:22:01.109422,-1.49751525775
2019/02/15/16:22:01.220488,-1.49637568166
2019/02/15/16:22:01.331027,-1.49506794119
2019/02/15/16:22:01.441370,-1.49338568446
2019/02/15/16:22:01.550409,-1.4919508351
2019/02/15/16:22:01.659647,-1.4902604652
2019/02/15/16:22:01.769156,-1.48834128383
2019/02/15/16:22:01.879164,-1.48700161508
2019/02/15/16:22:01.990614,-1.48620758203
2019/02/15/16:22:02.101139,-1.48500815849
2019/02/15/16:22:02.211227,-1.48273138922
2019/02/15/16:22:02.321587,-1.48223126038
2019/02/15/16:22:02.432181,-1.48223126038
2019/02/15/16:22:02.546321,-1.48122149176
2019/02/15/16:22:02.655897,-1.4787603018
2019/02/15/16:22:02.765261,-1.47776831318
2019/02/15/16:22:02.875691,-1.47542552522
2019/02/15/16:22:02.983596,-1.47511269043
2019/02/15/16:22:03.093986,-1.47430200521
2019/02/15/16:22:03.204817,-1.47277678324
2019/02/15/16:22:03.314889,-1.47189881986
2019/02/15/16:22:03.435336,-1.47092768115
2019/02/15/16:22:03.542059,-1.47055111169
2019/02/15/16:22:03.650573,-1.46999595449
2019/02/15/16:22:03.759049,-1.46942295794
2019/02/15/16:22:03.866864,-1.46877586217
2019/02/15/16:22:03.978698,-1.46744204062
2019/02/15/16:22:04.087680,-1.46686010444
2019/02/15/16:22:04.194765,-1.46529364485
2019/02/15/16:22:04.304053,-1.4647253336
2019/02/15/16:22:04.413577,-1.46410354571
2019/02/15/16:22:04.524312,-1.46410354571
2019/02/15/16:22:04.637690,-1.46310926698
2019/02/15/16:22:04.747720,-1.46310926698
2019/02/15/16:22:04.860285,-1.46236940026
2019/02/15/16:22:04.967995,-1.46181163458
2019/02/15/16:22:05.072729,-1.46121651154
2019/02/15/16:22:05.180781,-1.46144917042
2019/02/15/16:22:05.290108,-1.46099191955
2019/02/15/16:22:05.403178,-1.45932703773
2019/02/15/16:22:05.509788,-1.45793427361
2019/02/15/16:22:05.620254,-1.45758276095
2019/02/15/16:22:05.732413,-1.45741553677
2019/02/15/16:22:05.843102,-1.45704944952
2019/02/15/16:22:05.950675,-1.45641363643
2019/02/15/16:22:06.062770,-1.45601849924
2019/02/15/16:22:06.170180,-1.45595677353
2019/02/15/16:22:06.281001,-1.45551658887
2019/02/15/16:22:06.389469,-1.45549098084
2019/02/15/16:22:06.498208,-1.45521026567
2019/02/15/16:22:06.612174,-1.45521026567
2019/02/15/16:22:06.718962,-1.45534714963
2019/02/15/16:22:06.828004,-1.45534714963
2019/02/15/16:22:06.943566,-1.45508817732
2019/02/15/16:22:07.057287,-1.4550513176
2019/02/15/16:22:07.171307,-1.45487061216
2019/02/15/16:22:07.283650,-1.45412095552
2019/02/15/16:22:07.399911,-1.45403444209
2019/02/15/16:22:07.509303,-1.45581721604
2019/02/15/16:22:07.620497,-1.45475739191
2019/02/15/16:22:07.730030,-1.45473120179
2019/02/15/16:22:07.838846,-1.45418216116
2019/02/15/16:22:07.947415,-1.45422101056
2019/02/15/16:22:08.059224,-1.45429983523
2019/02/15/16:22:08.175574,-1.45499030457
2019/02/15/16:22:08.287325,-1.4551012453
2019/02/15/16:22:08.405333,-1.45421367918
2019/02/15/16:22:08.520427,-1.45438986848
2019/02/15/16:22:08.630452,-1.45450105987
2019/02/15/16:22:08.742033,-1.45516594492
2019/02/15/16:22:08.853360,-1.45529746757
2019/02/15/16:22:08.964092,-1.45620685967
2019/02/15/16:22:09.074775,-1.45649021265
2019/02/15/16:22:09.185084,-1.45527360555
2019/02/15/16:22:09.295904,-1.45549268605
2019/02/15/16:22:09.407338,-1.45551889753
2019/02/15/16:22:09.527550,-1.45573523592
2019/02/15/16:22:09.636351,-1.45544355147
2019/02/15/16:22:09.746241,-1.45422048617
2019/02/15/16:22:09.853594,-1.45442980618
2019/02/15/16:22:09.964035,-1.454036158
2019/02/15/16:22:10.071097,-1.45425144037
2019/02/15/16:22:10.181863,-1.45517325767
2019/02/15/16:22:10.290832,-1.45551814978
2019/02/15/16:22:10.402591,-1.45597241709
2019/02/15/16:22:10.513201,-1.45628978985
2019/02/15/16:22:10.622570,-1.45636114115
2019/02/15/16:22:10.730226,-1.45634858934
2019/02/15/16:22:10.840087,-1.45677870313
2019/02/15/16:22:10.950468,-1.45962919961
2019/02/15/16:22:11.059826,-1.46028258022
2019/02/15/16:22:11.168219,-1.46147109163
2019/02/15/16:22:11.276412,-1.46207173502
2019/02/15/16:22:11.383819,-1.46286061631
2019/02/15/16:22:11.493061,-1.46347292605
2019/02/15/16:22:11.603376,-1.46347292605
2019/02/15/16:22:11.712581,-1.4637808929
2019/02/15/16:22:11.827877,-1.4637808929
2019/02/15/16:22:11.939548,-1.46378367539
2019/02/15/16:22:12.054031,-1.46378367539
2019/02/15/16:22:12.162328,-1.46511586846
2019/02/15/16:22:12.273100,-1.46579924964
2019/02/15/16:22:12.382388,-1.46772661761
2019/02/15/16:22:12.493735,-1.46772661761
2019/02/15/16:22:12.605256,-1.46858280584
2019/02/15/16:22:12.717746,-1.46958840213
2019/02/15/16:22:12.827593,-1.47014345326
2019/02/15/16:22:12.937484,-1.47077778977
2019/02/15/16:22:13.049339,-1.47272523202
2019/02/15/16:22:13.159296,-1.47361422609
2019/02/15/16:22:13.270846,-1.47445421049
2019/02/15/16:22:13.391053,-1.47547916027
2019/02/15/16:22:13.502099,-1.47459551124
2019/02/15/16:22:13.610672,-1.47661294622
2019/02/15/16:22:13.722963,-1.47793368898
2019/02/15/16:22:13.833422,-1.48224781231
2019/02/15/16:22:13.948378,-1.48325823551
2019/02/15/16:22:14.060571,-1.48482758754
2019/02/15/16:22:14.167987,-1.48439225894
2019/02/15/16:22:14.280577,-1.48553864543
2019/02/15/16:22:14.388292,-1.48701670469
2019/02/15/16:22:14.499925,-1.48811140362
2019/02/15/16:22:14.614009,-1.48829387701
2019/02/15/16:22:14.727648,-1.48643184171
2019/02/15/16:22:14.841010,-1.4874600962
2019/02/15/16:22:14.954130,-1.48547682623
2019/02/15/16:22:15.066253,-1.48645289118
2019/02/15/16:22:15.178406,-1.48740095081
2019/02/15/16:22:15.289289,-1.48827230523
2019/02/15/16:22:15.406543,-1.49003318011
2019/02/15/16:22:15.517322,-1.49111526622
2019/02/15/16:22:15.628070,-1.49332494734
2019/02/15/16:22:15.739685,-1.49503491834
2019/02/15/16:22:15.850501,-1.49595256114
2019/02/15/16:22:15.961684,-1.49540522897
2019/02/15/16:22:16.073254,-1.49631745961
2019/02/15/16:22:16.183530,-1.49930109643
2019/02/15/16:22:16.296313,-1.50035533312
2019/02/15/16:22:16.407909,-1.49920491136
2019/02/15/16:22:16.520310,-1.49920491136
2019/02/15/16:22:16.631279,-1.50154758916
2019/02/15/16:22:16.742195,-1.50244105615
2019/02/15/16:22:16.853920,-1.50329688443
2019/02/15/16:22:16.964287,-1.50434928092
2019/02/15/16:22:17.074519,-1.50537255802
2019/02/15/16:22:17.185847,-1.50719799961
2019/02/15/16:22:17.297326,-1.5082971405
2019/02/15/16:22:17.407150,-1.51081378172
2019/02/15/16:22:17.515795,-1.51081378172
2019/02/15/16:22:17.623992,-1.51164919685
2019/02/15/16:22:17.732165,-1.51313237109
2019/02/15/16:22:17.842115,-1.5162482264
2019/02/15/16:22:17.953270,-1.51720497508
2019/02/15/16:22:18.062180,-1.51775778406
2019/02/15/16:22:18.175918,-1.51905746147
2019/02/15/16:22:18.286667,-1.52008778776
2019/02/15/16:22:18.397560,-1.52047546077
2019/02/15/16:22:18.507346,-1.52361128761
2019/02/15/16:22:18.617054,-1.52451737648
2019/02/15/16:22:18.727803,-1.52463516001
2019/02/15/16:22:18.839038,-1.52577072786
2019/02/15/16:22:18.949153,-1.52867698012
2019/02/15/16:22:19.060426,-1.52998453633
2019/02/15/16:22:19.171312,-1.53225743008
2019/02/15/16:22:19.281726,-1.53364317507
2019/02/15/16:22:19.392807,-1.53473964879
2019/02/15/16:22:19.502938,-1.53473964879
2019/02/15/16:22:19.613219,-1.53595622364
2019/02/15/16:22:19.722519,-1.53768803998
2019/02/15/16:22:19.832629,-1.5378416163
2019/02/15/16:22:19.942922,-1.53933922684
2019/02/15/16:22:20.053128,-1.53958761892
2019/02/15/16:22:20.163160,-1.54104299431
2019/02/15/16:22:20.272833,-1.5422622446
2019/02/15/16:22:20.389527,-1.54372601407
2019/02/15/16:22:20.499872,-1.54739048647
2019/02/15/16:22:20.611054,-1.54860102879
2019/02/15/16:22:20.722056,-1.54870657166
2019/02/15/16:22:20.831764,-1.55005448611
2019/02/15/16:22:20.942554,-1.5516642445
2019/02/15/16:22:21.054569,-1.55310427821
2019/02/15/16:22:21.165530,-1.55184700081
2019/02/15/16:22:21.276105,-1.5533642648
2019/02/15/16:22:21.387492,-1.5525399821
2019/02/15/16:22:21.497932,-1.5525399821
2019/02/15/16:22:21.607588,-1.55393370422
2019/02/15/16:22:21.717967,-1.55238228374
2019/02/15/16:22:21.827721,-1.5543066472
2019/02/15/16:22:21.936182,-1.55552534482
2019/02/15/16:22:22.046078,-1.55714785318
2019/02/15/16:22:22.157917,-1.55846296153
2019/02/15/16:22:22.265397,-1.55853574589
2019/02/15/16:22:22.378525,-1.55963803757
2019/02/15/16:22:22.489199,-1.55963803757
2019/02/15/16:22:22.596906,-1.56120137649
2019/02/15/16:22:22.707054,-1.56506143713
2019/02/15/16:22:22.817466,-1.56919467534
2019/02/15/16:22:22.928755,-1.57090750983
2019/02/15/16:22:23.038529,-1.57444262712
2019/02/15/16:22:23.147805,-1.57642438442
2019/02/15/16:22:23.253632,-1.57980964729
2019/02/15/16:22:23.364207,-1.58176051145
2019/02/15/16:22:23.476285,-1.58489886684
2019/02/15/16:22:23.586367,-1.58771947613
2019/02/15/16:22:23.697344,-1.58966423224
2019/02/15/16:22:23.808573,-1.59017388288
2019/02/15/16:22:23.920188,-1.59181263277
2019/02/15/16:22:24.030774,-1.59414618997
2019/02/15/16:22:24.143757,-1.59423507138
2019/02/15/16:22:24.253043,-1.59611757075
2019/02/15/16:22:24.362131,-1.59844902532
2019/02/15/16:22:24.478736,-1.59844902532
2019/02/15/16:22:24.585724,-1.60064821703
2019/02/15/16:22:24.702258,-1.60341745815
2019/02/15/16:22:24.811100,-1.60799260833
2019/02/15/16:22:24.921160,-1.60799260833
2019/02/15/16:22:25.034802,-1.60940724829
2019/02/15/16:22:25.152657,-1.61182037323
2019/02/15/16:22:25.260351,-1.61653004787
2019/02/15/16:22:25.372040,-1.61831560561
2019/02/15/16:22:25.482083,-1.61831560561
2019/02/15/16:22:25.592229,-1.62028820066
2019/02/15/16:22:25.700931,-1.62674201003
2019/02/15/16:22:25.810618,-1.62882219063
2019/02/15/16:22:25.919654,-1.63140425064
2019/02/15/16:22:26.035001,-1.63345055977
2019/02/15/16:22:26.148883,-1.63560048466
2019/02/15/16:22:26.255339,-1.63747312399
2019/02/15/16:22:26.366802,-1.63990997154
2019/02/15/16:22:26.479079,-1.64069242807
2019/02/15/16:22:26.588558,-1.64322766071
2019/02/15/16:22:26.699095,-1.64614761265
2019/02/15/16:22:26.809662,-1.64515655244
2019/02/15/16:22:26.922901,-1.6470126974
2019/02/15/16:22:27.028690,-1.64879291927
2019/02/15/16:22:27.137004,-1.64958804285
2019/02/15/16:22:27.247809,-1.65167631686
2019/02/15/16:22:27.358877,-1.65670038709
2019/02/15/16:22:27.468426,-1.65836507422
2019/02/15/16:22:27.579511,-1.65991810901
2019/02/15/16:22:27.687239,-1.66147443204
2019/02/15/16:22:27.797239,-1.66623382606
2019/02/15/16:22:27.911578,-1.66836639623
2019/02/15/16:22:28.020914,-1.67237925107
2019/02/15/16:22:28.134780,-1.6743259668
2019/02/15/16:22:28.244547,-1.67832626202
2019/02/15/16:22:28.357034,-1.68066536072
2019/02/15/16:22:28.467474,-1.68018418972
2019/02/15/16:22:28.577837,-1.68204837018
2019/02/15/16:22:28.687687,-1.68670265422
2019/02/15/16:22:28.802945,-1.689447064
2019/02/15/16:22:28.911851,-1.69475289483
2019/02/15/16:22:29.023224,-1.69475289483
2019/02/15/16:22:29.134697,-1.69821346525
2019/02/15/16:22:29.245909,-1.69821346525
2019/02/15/16:22:29.359148,-1.70035510653
2019/02/15/16:22:29.469381,-1.70191653274
2019/02/15/16:22:29.578521,-1.70425607754
2019/02/15/16:22:29.687790,-1.7091443452
2019/02/15/16:22:29.798023,-1.713325055
2019/02/15/16:22:29.907781,-1.71608984353
2019/02/15/16:22:30.018835,-1.7187388916
2019/02/15/16:22:30.129402,-1.72151571471
2019/02/15/16:22:30.241705,-1.72307639585
2019/02/15/16:22:30.354349,-1.72590002524
2019/02/15/16:22:30.471116,-1.73037458686
2019/02/15/16:22:30.578782,-1.7319313675
2019/02/15/16:22:30.694946,-1.73553393944
2019/02/15/16:22:30.807872,-1.73643807125
2019/02/15/16:22:30.918353,-1.73895073079
2019/02/15/16:22:31.029584,-1.74188483751
2019/02/15/16:22:31.139485,-1.74485948617
2019/02/15/16:22:31.249422,-1.74998259255
2019/02/15/16:22:31.358901,-1.7529562186
2019/02/15/16:22:31.470196,-1.75739802516
2019/02/15/16:22:31.581448,-1.76249509462
2019/02/15/16:22:31.692941,-1.76690006573
2019/02/15/16:22:31.803346,-1.76861762132
2019/02/15/16:22:31.913862,-1.77212744774
2019/02/15/16:22:32.024986,-1.7755739751
2019/02/15/16:22:32.135924,-1.77751058572
2019/02/15/16:22:32.245986,-1.7805826384
2019/02/15/16:22:32.358176,-1.78228828975
2019/02/15/16:22:32.469530,-1.78565270942
2019/02/15/16:22:32.578507,-1.79088888281
2019/02/15/16:22:32.689740,-1.79572702646
2019/02/15/16:22:32.803490,-1.79930646459
2019/02/15/16:22:32.916139,-1.80212164656
2019/02/15/16:22:33.030247,-1.8061183892
2019/02/15/16:22:33.142277,-1.80945726188
2019/02/15/16:22:33.255931,-1.81310107525
2019/02/15/16:22:33.366918,-1.81527454583
2019/02/15/16:22:33.476676,-1.8194635433
2019/02/15/16:22:33.587714,-1.82686010462
2019/02/15/16:22:33.701144,-1.82686010462
2019/02/15/16:22:33.811949,-1.84188865568
2019/02/15/16:22:33.925788,-1.84188865568
2019/02/15/16:22:34.038255,-1.84709798289
2019/02/15/16:22:34.148706,-1.85719456158
2019/02/15/16:22:34.260714,-1.8618019838
2019/02/15/16:22:34.372500,-1.86308110884
2019/02/15/16:22:34.485235,-1.86308110884
2019/02/15/16:22:34.596145,-1.86850899116
2019/02/15/16:22:34.709108,-1.8800994764
2019/02/15/16:22:34.822956,-1.8800994764
2019/02/15/16:22:34.937820,-1.88544393057
2019/02/15/16:22:35.051679,-1.88907787024
2019/02/15/16:22:35.162947,-1.89673189922
2019/02/15/16:22:35.280413,-1.89673189922
2019/02/15/16:22:35.391670,-1.90733283238
2019/02/15/16:22:35.500919,-1.90733283238
2019/02/15/16:22:35.608938,-1.91122095978
2019/02/15/16:22:35.718505,-1.9193150626
2019/02/15/16:22:35.827811,-1.92727005722
2019/02/15/16:22:35.937470,-1.93430585117
2019/02/15/16:22:36.046838,-1.94045811108
2019/02/15/16:22:36.157034,-1.95329196592
2019/02/15/16:22:36.267653,-1.96038500296
2019/02/15/16:22:36.380464,-1.96765244597
2019/02/15/16:22:36.490187,-1.9749000306
2019/02/15/16:22:36.605817,-1.98259439407
2019/02/15/16:22:36.717294,-1.99470231688
2019/02/15/16:22:36.829770,-2.00602250626
2019/02/15/16:22:36.939731,-2.01520502863
2019/02/15/16:22:37.051505,-2.02524191903
2019/02/15/16:22:37.162196,-2.03220865754
2019/02/15/16:22:37.270646,-2.04255239397
2019/02/15/16:22:37.379482,-2.04724238398
2019/02/15/16:22:37.491189,-2.0567088857
2019/02/15/16:22:37.606054,-2.06333438104
2019/02/15/16:22:37.713359,-2.06859363066
2019/02/15/16:22:37.826423,-2.06859363066
2019/02/15/16:22:37.939821,-2.07850363623
2019/02/15/16:22:38.064046,-2.09385242578
2019/02/15/16:22:38.175535,-2.11123642819
2019/02/15/16:22:38.289114,-2.12160497334
2019/02/15/16:22:38.405163,-2.13250577149
2019/02/15/16:22:38.516480,-2.13832541867
2019/02/15/16:22:38.627180,-2.14738878413
2019/02/15/16:22:38.736464,-2.15646405492
2019/02/15/16:22:38.847281,-2.17002188527
2019/02/15/16:22:38.960252,-2.1722864128
2019/02/15/16:22:39.069175,-2.18221671402
2019/02/15/16:22:39.176369,-2.19242163733
2019/02/15/16:22:39.286012,-2.20279684363
2019/02/15/16:22:39.395466,-2.21734864446
2019/02/15/16:22:39.506291,-2.23013584851
2019/02/15/16:22:39.618826,-2.23999843103
2019/02/15/16:22:39.732350,-2.2520137349
2019/02/15/16:22:39.847320,-2.26305798288
2019/02/15/16:22:39.953012,-2.26026026617
2019/02/15/16:22:40.066496,-2.27165181581
2019/02/15/16:22:40.174065,-2.29042287167
2019/02/15/16:22:40.296390,-2.30215129282
2019/02/15/16:22:40.405285,-2.32294164751
2019/02/15/16:22:40.517764,-2.33745826696
2019/02/15/16:22:40.630088,-2.36144461135
2019/02/15/16:22:40.745789,-2.37904466548
2019/02/15/16:22:40.856941,-2.39526302986
2019/02/15/16:22:40.967891,-2.40309596587
2019/02/15/16:22:41.081678,-2.4197305423
2019/02/15/16:22:41.194259,-2.43204757332
2019/02/15/16:22:41.302769,-2.45361450688
2019/02/15/16:22:41.413693,-2.46966870334
2019/02/15/16:22:41.523299,-2.46966870334
2019/02/15/16:22:41.633307,-2.49398310061
2019/02/15/16:22:41.744038,-2.52091139307
