time,.data
2019/02/15/16:21:55.762047,0.7
2019/02/15/16:21:55.878514,0.7
2019/02/15/16:21:55.991302,0.7
2019/02/15/16:21:56.102779,0.7
2019/02/15/16:21:56.212160,0.7
2019/02/15/16:21:56.322166,0.7
2019/02/15/16:21:56.435906,0.7
2019/02/15/16:21:56.544606,0.7
2019/02/15/16:21:56.658231,0.7
2019/02/15/16:21:56.769837,0.7
2019/02/15/16:21:56.880516,0.7
2019/02/15/16:21:56.989209,0.7
2019/02/15/16:21:57.101428,0.7
2019/02/15/16:21:57.210171,0.7
2019/02/15/16:21:57.322314,0.7
2019/02/15/16:21:57.436512,0.7
2019/02/15/16:21:57.549518,0.7
2019/02/15/16:21:57.660770,0.7
2019/02/15/16:21:57.774026,0.7
2019/02/15/16:21:57.886702,0.7
2019/02/15/16:21:57.998863,0.7
2019/02/15/16:21:58.111299,0.7
2019/02/15/16:21:58.222546,0.7
2019/02/15/16:21:58.347140,0.7
2019/02/15/16:21:58.454789,0.7
2019/02/15/16:21:58.563406,0.7
2019/02/15/16:21:58.676468,0.7
2019/02/15/16:21:58.785559,0.7
2019/02/15/16:21:58.896827,0.7
2019/02/15/16:21:59.005862,0.7
2019/02/15/16:21:59.118378,0.7
2019/02/15/16:21:59.227441,0.7
2019/02/15/16:21:59.336215,0.7
2019/02/15/16:21:59.449559,0.7
2019/02/15/16:21:59.559796,0.7
2019/02/15/16:21:59.669393,0.7
2019/02/15/16:21:59.779016,0.7
2019/02/15/16:21:59.888762,0.7
2019/02/15/16:22:00.000689,0.7
2019/02/15/16:22:00.110229,0.7
2019/02/15/16:22:00.221100,0.7
2019/02/15/16:22:00.336771,0.7
2019/02/15/16:22:00.447578,0.7
2019/02/15/16:22:00.560394,0.7
2019/02/15/16:22:00.668443,0.7
2019/02/15/16:22:00.780416,0.7
2019/02/15/16:22:00.890749,0.7
2019/02/15/16:22:01.001769,0.7
2019/02/15/16:22:01.110710,0.7
2019/02/15/16:22:01.222709,0.7
2019/02/15/16:22:01.332916,0.7
2019/02/15/16:22:01.442732,0.7
2019/02/15/16:22:01.552788,0.7
2019/02/15/16:22:01.660704,0.7
2019/02/15/16:22:01.770901,0.7
2019/02/15/16:22:01.880852,0.7
2019/02/15/16:22:01.992579,0.7
2019/02/15/16:22:02.102061,0.7
2019/02/15/16:22:02.212868,0.7
2019/02/15/16:22:02.322605,0.7
2019/02/15/16:22:02.434190,0.7
2019/02/15/16:22:02.545143,0.7
2019/02/15/16:22:02.655264,0.7
2019/02/15/16:22:02.764368,0.7
2019/02/15/16:22:02.874566,0.7
2019/02/15/16:22:02.985358,0.7
2019/02/15/16:22:03.094220,0.7
2019/02/15/16:22:03.204751,0.7
2019/02/15/16:22:03.314607,0.7
2019/02/15/16:22:03.435416,0.7
2019/02/15/16:22:03.542587,0.7
2019/02/15/16:22:03.649165,0.7
2019/02/15/16:22:03.761172,0.7
2019/02/15/16:22:03.869117,0.7
2019/02/15/16:22:03.978621,0.7
2019/02/15/16:22:04.086317,0.7
2019/02/15/16:22:04.195913,0.7
2019/02/15/16:22:04.305636,0.7
2019/02/15/16:22:04.414302,0.7
2019/02/15/16:22:04.526212,0.7
2019/02/15/16:22:04.639231,0.7
2019/02/15/16:22:04.748516,0.7
2019/02/15/16:22:04.860351,0.7
2019/02/15/16:22:04.968283,0.7
2019/02/15/16:22:05.074186,0.7
2019/02/15/16:22:05.182695,0.7
2019/02/15/16:22:05.290451,0.7
2019/02/15/16:22:05.408071,0.7
2019/02/15/16:22:05.511425,0.7
2019/02/15/16:22:05.620178,0.7
2019/02/15/16:22:05.731290,0.7
2019/02/15/16:22:05.843151,0.7
2019/02/15/16:22:05.950758,0.7
2019/02/15/16:22:06.062914,0.7
2019/02/15/16:22:06.171755,0.7
2019/02/15/16:22:06.279784,0.7
2019/02/15/16:22:06.390476,0.7
2019/02/15/16:22:06.498910,0.7
2019/02/15/16:22:06.612056,0.7
2019/02/15/16:22:06.720304,0.7
2019/02/15/16:22:06.830467,0.7
2019/02/15/16:22:06.942770,0.7
2019/02/15/16:22:07.058743,0.7
2019/02/15/16:22:07.172589,0.7
2019/02/15/16:22:07.284371,0.7
2019/02/15/16:22:07.401241,0.7
2019/02/15/16:22:07.509998,0.7
2019/02/15/16:22:07.620643,0.7
2019/02/15/16:22:07.730097,0.7
2019/02/15/16:22:07.839772,0.7
2019/02/15/16:22:07.948835,0.7
2019/02/15/16:22:08.059948,0.7
2019/02/15/16:22:08.175629,0.7
2019/02/15/16:22:08.290401,0.7
2019/02/15/16:22:08.409060,0.7
2019/02/15/16:22:08.520563,0.7
2019/02/15/16:22:08.631552,0.7
2019/02/15/16:22:08.743540,0.7
2019/02/15/16:22:08.853918,0.7
2019/02/15/16:22:08.964767,0.7
2019/02/15/16:22:09.077479,0.7
2019/02/15/16:22:09.186136,0.7
2019/02/15/16:22:09.298220,0.7
2019/02/15/16:22:09.408052,0.7
2019/02/15/16:22:09.528502,0.7
2019/02/15/16:22:09.637136,0.7
2019/02/15/16:22:09.745592,0.7
2019/02/15/16:22:09.854046,0.7
2019/02/15/16:22:09.963031,0.7
2019/02/15/16:22:10.071751,0.7
