time,.data
2019/02/15/16:21:55.645064,31.0241741175
2019/02/15/16:21:55.763013,31.0365461117
2019/02/15/16:21:55.878871,31.046737027
2019/02/15/16:21:55.992384,31.0664273955
2019/02/15/16:21:56.102737,31.0795650232
2019/02/15/16:21:56.212680,31.0766033326
2019/02/15/16:21:56.322389,31.0867079592
2019/02/15/16:21:56.435864,31.0946855838
2019/02/15/16:21:56.546027,31.1038355021
2019/02/15/16:21:56.659803,31.1080930213
2019/02/15/16:21:56.770676,31.1151649561
2019/02/15/16:21:56.879907,31.1253212768
2019/02/15/16:21:56.989963,31.1187539566
2019/02/15/16:21:57.101178,31.1278341234
2019/02/15/16:21:57.210263,31.143706353
2019/02/15/16:21:57.322062,31.1468692335
2019/02/15/16:21:57.436362,31.1560786034
2019/02/15/16:21:57.549180,31.1560786034
2019/02/15/16:21:57.661700,31.18377134
2019/02/15/16:21:57.773004,31.2044619365
2019/02/15/16:21:57.886496,31.1735033453
2019/02/15/16:21:57.999524,31.2129073515
2019/02/15/16:21:58.112683,31.2306512354
2019/02/15/16:21:58.224966,31.2685875507
2019/02/15/16:21:58.352493,31.2805535974
2019/02/15/16:21:58.455960,31.2924779273
2019/02/15/16:21:58.564671,31.3008543056
2019/02/15/16:21:58.676571,31.2999590376
2019/02/15/16:21:58.785248,31.3080864545
2019/02/15/16:21:58.895846,31.3155239894
2019/02/15/16:21:59.006667,31.3063411913
2019/02/15/16:21:59.118445,31.3112337472
2019/02/15/16:21:59.227412,31.3049952926
2019/02/15/16:21:59.337418,31.3039133232
2019/02/15/16:21:59.450504,31.2776880477
2019/02/15/16:21:59.561106,31.2686777101
2019/02/15/16:21:59.670445,31.2548590117
2019/02/15/16:21:59.780025,31.2222397046
2019/02/15/16:21:59.891451,31.2073368676
2019/02/15/16:22:00.001773,31.2057872053
2019/02/15/16:22:00.111705,31.1818445052
2019/02/15/16:22:00.222978,31.159946676
2019/02/15/16:22:00.337884,31.1119748712
2019/02/15/16:22:00.449173,31.0816593401
2019/02/15/16:22:00.559304,31.0201342874
2019/02/15/16:22:00.670139,30.972038884
2019/02/15/16:22:00.779608,30.9221569017
2019/02/15/16:22:00.889142,30.8856338373
2019/02/15/16:22:01.001494,30.8259812586
2019/02/15/16:22:01.111767,30.7855000178
2019/02/15/16:22:01.221552,30.7657698685
2019/02/15/16:22:01.332747,30.724301599
2019/02/15/16:22:01.443234,30.6706163631
2019/02/15/16:22:01.551725,30.6124183827
2019/02/15/16:22:01.661216,30.5457908147
2019/02/15/16:22:01.771149,30.4817735453
2019/02/15/16:22:01.880915,30.4235132624
2019/02/15/16:22:01.992460,30.3710341458
2019/02/15/16:22:02.102751,30.3114875522
2019/02/15/16:22:02.213065,30.291879992
2019/02/15/16:22:02.323583,30.2387380676
2019/02/15/16:22:02.436303,30.2387380676
2019/02/15/16:22:02.546686,30.1828458116
2019/02/15/16:22:02.656719,30.0944140661
2019/02/15/16:22:02.769686,30.0355226509
2019/02/15/16:22:02.875573,29.967110483
2019/02/15/16:22:02.985536,29.8570925676
2019/02/15/16:22:03.098509,29.7987853842
2019/02/15/16:22:03.205538,29.7141940287
2019/02/15/16:22:03.315392,29.6500516083
2019/02/15/16:22:03.435552,29.5478676593
2019/02/15/16:22:03.543696,29.4369983017
2019/02/15/16:22:03.649969,29.3901316366
2019/02/15/16:22:03.761258,29.3271858183
2019/02/15/16:22:03.868332,29.2664643306
2019/02/15/16:22:03.978564,29.214726466
2019/02/15/16:22:04.087198,29.1518207798
2019/02/15/16:22:04.196227,29.0604452561
2019/02/15/16:22:04.305408,28.9924689874
2019/02/15/16:22:04.415478,28.9216209191
2019/02/15/16:22:04.526271,28.9216209191
2019/02/15/16:22:04.638959,28.7519708218
2019/02/15/16:22:04.749470,28.7519708218
2019/02/15/16:22:04.860677,28.6844915403
2019/02/15/16:22:04.967879,28.6124520954
2019/02/15/16:22:05.074286,28.5314398742
2019/02/15/16:22:05.182634,28.4116974504
2019/02/15/16:22:05.291386,28.3464219488
2019/02/15/16:22:05.403309,28.3088907228
2019/02/15/16:22:05.510919,28.1555384475
2019/02/15/16:22:05.621608,28.0990412117
2019/02/15/16:22:05.733200,28.0167608395
2019/02/15/16:22:05.841399,27.9471797668
2019/02/15/16:22:05.952482,27.8834440788
2019/02/15/16:22:06.062020,27.8179846856
2019/02/15/16:22:06.171686,27.722254558
2019/02/15/16:22:06.281190,27.6468268247
2019/02/15/16:22:06.390418,27.600458103
2019/02/15/16:22:06.500081,27.523543882
2019/02/15/16:22:06.611989,27.523543882
2019/02/15/16:22:06.720444,27.2747568276
