time,.x,.y,.theta
2019/02/15/16:21:53.420648,25.65332782,-100.29114946,1.89725980062
2019/02/15/16:21:53.438332,25.65332781,-100.29114929,1.90171034135
2019/02/15/16:21:53.438375,25.65332791,-100.29114925,1.90504395256
2019/02/15/16:21:53.505482,25.65332789,-100.29114908,1.90926759201
2019/02/15/16:21:53.624298,25.65332769,-100.29114883,1.91542868075
2019/02/15/16:21:53.725072,25.65332747,-100.29114874,1.92115327748
2019/02/15/16:21:53.840125,25.65332742,-100.29114863,1.92563883877
2019/02/15/16:21:53.949312,25.65332734,-100.29114873,1.93017673117
2019/02/15/16:21:54.067596,25.65332731,-100.2911486,1.93377199789
2019/02/15/16:21:54.171799,25.6533272,-100.29114851,1.93762918645
2019/02/15/16:21:54.272648,25.65332701,-100.29114828,1.94106745986
2019/02/15/16:21:54.380271,25.65332698,-100.29114816,1.94412183868
2019/02/15/16:21:54.470902,25.65332705,-100.29114808,1.94731576711
2019/02/15/16:21:54.570217,25.65332701,-100.29114799,1.95024790686
2019/02/15/16:21:54.675055,25.65332696,-100.2911479,1.95358151806
2019/02/15/16:21:54.793484,25.653327,-100.29114788,1.95689768556
2019/02/15/16:21:54.896848,25.65332681,-100.29114768,1.95979493791
2019/02/15/16:21:55.001402,25.65332677,-100.29114757,1.96169736664
2019/02/15/16:21:55.100643,25.65332668,-100.29114738,1.96286662727
2019/02/15/16:21:55.217499,25.65332666,-100.29114726,1.9635473311
2019/02/15/16:21:55.326415,25.65332664,-100.29114709,1.9647167249
2019/02/15/16:21:55.478275,25.6533266,-100.29114698,1.96717761839
2019/02/15/16:21:55.576448,25.65332652,-100.29114689,1.97206451797
2019/02/15/16:21:55.693893,25.65332637,-100.29114677,1.97545046028
2019/02/15/16:21:55.801818,25.6533263,-100.29114667,1.97801614914
2019/02/15/16:21:55.921392,25.65332603,-100.29114648,1.97869685297
2019/02/15/16:21:56.021695,25.65332599,-100.29114635,1.97801614914
2019/02/15/16:21:56.123145,25.65332597,-100.29114638,1.97747512808
2019/02/15/16:21:56.224493,25.65332594,-100.29114628,1.97749257178
2019/02/15/16:21:56.347155,25.65332596,-100.2911462,1.97810336765
2019/02/15/16:21:56.489065,25.65332591,-100.29114611,1.97920298663
2019/02/15/16:21:56.599089,25.65332581,-100.29114607,1.98084362668
2019/02/15/16:21:56.716582,25.65332579,-100.291146,1.98178598604
2019/02/15/16:21:56.824714,25.65332574,-100.2911459,1.98141953515
2019/02/15/16:21:56.943254,25.65332556,-100.29114597,1.97988369046
2019/02/15/16:21:57.050981,25.65332554,-100.29114588,1.97810336765
2019/02/15/16:21:57.170182,25.65332561,-100.29114572,1.97806848024
2019/02/15/16:21:57.277224,25.65332555,-100.29114569,1.98632387843
2019/02/15/16:21:57.385665,25.65332548,-100.2911456,2.01819365425
2019/02/15/16:21:57.540284,25.65332525,-100.29114533,2.07437568892
2019/02/15/16:21:57.650884,25.65332502,-100.29114513,2.19482085258
2019/02/15/16:21:57.769548,25.65332497,-100.29114544,2.29662602303
2019/02/15/16:21:57.884778,25.65332487,-100.29114505,2.41759476405
2019/02/15/16:21:58.003978,25.65332463,-100.29114488,2.53512509851
2019/02/15/16:21:58.114660,25.65332403,-100.29114452,2.6502820243
2019/02/15/16:21:58.229007,25.65332374,-100.29114441,2.74620507207
2019/02/15/16:21:58.344377,25.65332318,-100.29114431,2.83718928862
2019/02/15/16:21:58.475723,25.6533228,-100.29114424,2.92140135425
2019/02/15/16:21:58.597542,25.6533225,-100.29114426,3.00938338993
2019/02/15/16:21:58.701040,25.65332221,-100.29114419,3.07654350496
2019/02/15/16:21:58.815527,25.65332185,-100.29114413,3.1307012713
2019/02/15/16:21:58.927933,25.6533214,-100.29114424,-3.0969289336
2019/02/15/16:21:59.042914,25.65332096,-100.29114421,-3.04364415128
2019/02/15/16:21:59.145482,25.65332034,-100.2911443,-2.99498447986
2019/02/15/16:21:59.254074,25.65331993,-100.29114433,-2.9493964978
2019/02/15/16:21:59.373794,25.65331955,-100.29114461,-2.89911336372
2019/02/15/16:21:59.515756,25.65331876,-100.29114474,-2.83930090861
2019/02/15/16:21:59.623998,25.65331816,-100.29114491,-2.76960999213
2019/02/15/16:21:59.741105,25.65331737,-100.29114528,-2.72039185594
2019/02/15/16:21:59.849693,25.65331684,-100.29114546,-2.67279664979
2019/02/15/16:21:59.966785,25.6533166,-100.29114549,-2.63314272204
2019/02/15/16:22:00.070772,25.6533161,-100.29114576,-2.59359372282
2019/02/15/16:22:00.171831,25.65331592,-100.29114599,-2.56165417219
2019/02/15/16:22:00.274361,25.65331544,-100.2911465,-2.53170426881
2019/02/15/16:22:00.382306,25.65331503,-100.29114683,-2.50384894118
2019/02/15/16:22:00.529751,25.65331451,-100.29114748,-2.47574913542
2019/02/15/16:22:00.646945,25.65331395,-100.291148,-2.43796261583
2019/02/15/16:22:00.749614,25.65331365,-100.29114852,-2.40766383842
2019/02/15/16:22:00.846563,25.65331331,-100.29114891,-2.38267060942
2019/02/15/16:22:00.952250,25.65331286,-100.29114954,-2.3582709989
2019/02/15/16:22:01.049456,25.65331253,-100.29114997,-2.33182927689
2019/02/15/16:22:01.151480,25.65331224,-100.29115019,-2.30617292092
2019/02/15/16:22:01.269883,25.65331192,-100.29115063,-2.28191286001
2019/02/15/16:22:01.376972,25.65331151,-100.2911512,-2.2571814197
2019/02/15/16:22:01.519266,25.65331117,-100.29115181,-2.23471899215
2019/02/15/16:22:01.627489,25.65331077,-100.29115251,-2.20487401729
2019/02/15/16:22:01.746982,25.65331031,-100.29115319,-2.18340641337
2019/02/15/16:22:01.849555,25.65331,-100.2911538,-2.16145025265
2019/02/15/16:22:01.966915,25.65330983,-100.29115434,-2.1427402183
2019/02/15/16:22:02.075273,25.65330956,-100.29115496,-2.12167421899
2019/02/15/16:22:02.192586,25.65330898,-100.29115521,-2.10254540265
2019/02/15/16:22:02.300119,25.65330889,-100.29115575,-2.08285798838
