time,.data
2019/02/15/16:21:54.626517,111.740974067
2019/02/15/16:21:54.731932,111.93197592
2019/02/15/16:21:54.841760,112.121978322
2019/02/15/16:21:54.957800,112.287978653
2019/02/15/16:21:55.073120,-158.71901958
2019/02/15/16:21:55.190489,-158.66019315
2019/02/15/16:21:55.302127,-158.639757776
2019/02/15/16:21:55.416214,-158.576592484
2019/02/15/16:21:55.528428,-158.439241991
2019/02/15/16:21:55.639986,-158.167382579
2019/02/15/16:21:55.753242,-157.990133642
2019/02/15/16:21:55.866004,-157.874701063
2019/02/15/16:21:55.978040,-157.850251473
2019/02/15/16:21:56.087795,-157.946093849
2019/02/15/16:21:56.195265,-157.985086689
2019/02/15/16:21:56.305483,-157.988474997
2019/02/15/16:21:56.414139,-157.959459287
2019/02/15/16:21:56.524793,-157.891861824
2019/02/15/16:21:56.633496,-157.808138334
2019/02/15/16:21:56.744995,-157.775276754
2019/02/15/16:21:56.857296,-157.800234838
2019/02/15/16:21:56.971417,-157.898450502
2019/02/15/16:21:57.082226,-158.039078888
2019/02/15/16:21:57.196739,-158.044938021
2019/02/15/16:21:57.306673,-157.556340402
2019/02/15/16:21:57.420655,-155.742968599
2019/02/15/16:21:57.531605,-155.757457567
2019/02/15/16:21:57.643306,-152.538464096
2019/02/15/16:21:57.762110,-145.68512913
2019/02/15/16:21:57.877032,-139.900034967
2019/02/15/16:21:57.993061,-132.98113748
2019/02/15/16:21:58.112964,-126.26650215
2019/02/15/16:21:58.237929,-119.718582483
2019/02/15/16:21:58.357029,-114.347913693
2019/02/15/16:21:58.472787,-109.313702453
2019/02/15/16:21:58.582873,-104.568700083
2019/02/15/16:21:58.696047,-99.5913069853
2019/02/15/16:21:58.811496,-95.8042126747
2019/02/15/16:21:58.920479,-92.77693745
2019/02/15/16:21:59.030554,-89.6898103099
2019/02/15/16:21:59.140199,-86.7296555765
2019/02/15/16:21:59.261011,-84.0734723656
2019/02/15/16:21:59.374150,-81.5484246328
2019/02/15/16:21:59.479113,-78.750135416
2019/02/15/16:21:59.592879,-75.4914801171
2019/02/15/16:21:59.702768,-71.6270742394
2019/02/15/16:21:59.813627,-68.9780170439
2019/02/15/16:21:59.925753,-66.365182111
2019/02/15/16:22:00.036713,-64.1443730152
2019/02/15/16:22:00.152151,-61.987302049
2019/02/15/16:22:00.270119,-60.198011913
2019/02/15/16:22:00.387074,-58.5896768995
2019/02/15/16:22:00.502645,-57.0846797404
2019/02/15/16:22:00.614125,-55.5931333965
2019/02/15/16:22:00.724262,-53.5539640466
2019/02/15/16:22:00.837446,-51.8886195481
2019/02/15/16:22:00.947344,-50.534359927
2019/02/15/16:22:01.059321,-49.2410687317
2019/02/15/16:22:01.168831,-46.3326711705
2019/02/15/16:22:01.280751,-45.00796497
2019/02/15/16:22:01.392686,-43.6658858285
2019/02/15/16:22:01.502040,-43.7622720392
2019/02/15/16:22:01.615290,-42.5574805559
2019/02/15/16:22:01.727181,-40.9443405175
2019/02/15/16:22:01.839353,-39.8242984094
2019/02/15/16:22:01.949983,-38.6430604306
2019/02/15/16:22:02.060774,-37.6165491706
2019/02/15/16:22:02.172750,-36.4782782256
2019/02/15/16:22:02.284715,-35.5127270521
2019/02/15/16:22:02.394683,-34.4133765776
2019/02/15/16:22:02.506283,-33.3763818592
2019/02/15/16:22:02.625822,-32.0212356192
