time,.data
2019/02/15/16:21:54.731955,0.109980873764
2019/02/15/16:21:54.841516,0.111700892448
2019/02/15/16:21:54.960688,0.117256268859
2019/02/15/16:21:55.072907,-0.585668024421
2019/02/15/16:21:55.185279,-0.586563897133
2019/02/15/16:21:55.294712,-0.590338078141
2019/02/15/16:21:55.416980,-0.592295069993
2019/02/15/16:21:55.528499,-0.593297545612
2019/02/15/16:21:55.641053,-0.595052589476
2019/02/15/16:21:55.753141,-0.593648281693
2019/02/15/16:21:55.865964,-0.593091775477
2019/02/15/16:21:55.978004,-0.585514736176
2019/02/15/16:21:56.087595,-0.586069104075
2019/02/15/16:21:56.198291,-0.594452318549
2019/02/15/16:21:56.309905,-0.602309119701
2019/02/15/16:21:56.414242,-0.609636698663
2019/02/15/16:21:56.524690,-0.612475690246
2019/02/15/16:21:56.633596,-0.606102225184
2019/02/15/16:21:56.742807,-0.600622092187
2019/02/15/16:21:56.857254,-0.601913434267
2019/02/15/16:21:56.970816,-0.611793708801
2019/02/15/16:21:57.082174,-0.620062199235
2019/02/15/16:21:57.194021,-0.621105988324
2019/02/15/16:21:57.305377,-0.608857554197
2019/02/15/16:21:57.418621,-0.571375486255
2019/02/15/16:21:57.530628,-0.571375486255
2019/02/15/16:21:57.642600,-0.53636417985
2019/02/15/16:21:57.758980,-0.47884054184
2019/02/15/16:21:57.876958,-0.461218160391
2019/02/15/16:21:57.990928,-0.436315071583
2019/02/15/16:21:58.113515,-0.426861059666
2019/02/15/16:21:58.237811,-0.400852632523
2019/02/15/16:21:58.356225,-0.376869034767
2019/02/15/16:21:58.471046,-0.339576107264
2019/02/15/16:21:58.581919,-0.31781719327
2019/02/15/16:21:58.695941,-0.315802258253
2019/02/15/16:21:58.811267,-0.316643488407
2019/02/15/16:21:58.920061,-0.305402588844
2019/02/15/16:21:59.030359,-0.286887300014
2019/02/15/16:21:59.139197,-0.276415747404
2019/02/15/16:21:59.258961,-0.271027427912
2019/02/15/16:21:59.368522,-0.272622150183
2019/02/15/16:21:59.478992,-0.264581423998
2019/02/15/16:21:59.592491,-0.234074038267
2019/02/15/16:21:59.702703,-0.215006631613
2019/02/15/16:21:59.812884,-0.189892065525
2019/02/15/16:21:59.925710,-0.177552652359
2019/02/15/16:22:00.036434,-0.180434179306
2019/02/15/16:22:00.151528,-0.174929392338
2019/02/15/16:22:00.269613,-0.17761464119
2019/02/15/16:22:00.382796,-0.15881319046
2019/02/15/16:22:00.502573,-0.150783789158
2019/02/15/16:22:00.613566,-0.140591096878
2019/02/15/16:22:00.723954,-0.14389975071
2019/02/15/16:22:00.836834,-0.151429724693
2019/02/15/16:22:00.946850,-0.155367386341
2019/02/15/16:22:01.059402,-0.148531329632
2019/02/15/16:22:01.168973,-0.146247398853
2019/02/15/16:22:01.280684,-0.143424582481
2019/02/15/16:22:01.392343,-0.1387627244
2019/02/15/16:22:01.500461,-0.1387627244
2019/02/15/16:22:01.611833,-0.128813517094
2019/02/15/16:22:01.727118,-0.116498184204
2019/02/15/16:22:01.839226,-0.103121829033
2019/02/15/16:22:01.949948,-0.104955744743
2019/02/15/16:22:02.060706,-0.113136363029
2019/02/15/16:22:02.172118,-0.122914683819
2019/02/15/16:22:02.284652,-0.130668354034
2019/02/15/16:22:02.394636,-0.132749211788
2019/02/15/16:22:02.504328,-0.124985766411
2019/02/15/16:22:02.625822,-0.119349372387
2019/02/15/16:22:02.732285,-0.128614497185
2019/02/15/16:22:02.837093,-0.120063316822
2019/02/15/16:22:02.946822,-0.101612877846
2019/02/15/16:22:03.060807,-0.0895636796951
2019/02/15/16:22:03.167438,-0.072590303421
2019/02/15/16:22:03.276607,-0.0760533332825
2019/02/15/16:22:03.389344,-0.0724955916405
2019/02/15/16:22:03.499499,-0.0754772543907
2019/02/15/16:22:03.611263,-0.087824177742
2019/02/15/16:22:03.720981,-0.0877643942833
2019/02/15/16:22:03.830970,-0.0831456303596
2019/02/15/16:22:03.942619,-0.0783386349678
2019/02/15/16:22:04.055362,-0.0786088228226
2019/02/15/16:22:04.166045,-0.07181442976
2019/02/15/16:22:04.278007,-0.07181442976
2019/02/15/16:22:04.387714,-0.0831318020821
2019/02/15/16:22:04.496380,-0.0831318020821
2019/02/15/16:22:04.606438,-0.0735009431839
2019/02/15/16:22:04.716276,-0.0711179494858
2019/02/15/16:22:04.825937,-0.0690734505653
2019/02/15/16:22:04.936257,-0.0653292655945
2019/02/15/16:22:05.046803,-0.0612409830093
2019/02/15/16:22:05.155767,-0.0516380786896
2019/02/15/16:22:05.267355,-0.0521087169647
2019/02/15/16:22:05.375865,-0.0619294166565
2019/02/15/16:22:05.485262,-0.0609281778336
2019/02/15/16:22:05.601309,0.0
2019/02/15/16:22:05.712924,0.0
2019/02/15/16:22:05.820381,0.0
2019/02/15/16:22:05.931077,-0.0501053452492
2019/02/15/16:22:06.040461,-0.0521842956543
2019/02/15/16:22:06.151261,0.0
2019/02/15/16:22:06.265756,0.0
2019/02/15/16:22:06.370808,0.0
2019/02/15/16:22:06.486561,0.0
2019/02/15/16:22:06.598202,0.0
2019/02/15/16:22:06.709456,0.0
2019/02/15/16:22:06.817882,0.0
2019/02/15/16:22:06.928323,0.0
2019/02/15/16:22:07.040589,0.0
2019/02/15/16:22:07.151754,0.0
2019/02/15/16:22:07.265028,0.0
2019/02/15/16:22:07.376820,0.0
2019/02/15/16:22:07.488680,0.0
2019/02/15/16:22:07.605412,0.0
2019/02/15/16:22:07.717790,0.0
2019/02/15/16:22:07.829365,0.0
2019/02/15/16:22:07.936905,0.0
2019/02/15/16:22:08.054218,0.0
2019/02/15/16:22:08.175713,0.0
2019/02/15/16:22:08.284876,0.0
2019/02/15/16:22:08.409111,0.0
2019/02/15/16:22:08.516576,0.0
2019/02/15/16:22:08.637773,0.0
2019/02/15/16:22:08.749427,0.0
2019/02/15/16:22:08.866485,0.0
2019/02/15/16:22:08.982401,0.0
2019/02/15/16:22:09.086568,0.0
2019/02/15/16:22:09.199100,0.0
2019/02/15/16:22:09.308026,0.0
2019/02/15/16:22:09.422356,0.0
2019/02/15/16:22:09.537781,0.0
2019/02/15/16:22:09.653035,0.0
2019/02/15/16:22:09.765190,0.0
2019/02/15/16:22:09.875566,0.0
2019/02/15/16:22:09.989089,0.0
2019/02/15/16:22:10.101257,0.0
2019/02/15/16:22:10.216915,0.0
2019/02/15/16:22:10.324430,0.0
2019/02/15/16:22:10.434683,0.0
2019/02/15/16:22:10.544434,0.0
2019/02/15/16:22:10.654374,0.0572903037071
2019/02/15/16:22:10.761976,0.0832060456276
2019/02/15/16:22:10.876132,0.0907351255417
2019/02/15/16:22:10.984525,0.0763925790787
2019/02/15/16:22:11.101132,0.0604339718819
2019/02/15/16:22:11.211025,0.0634834051132
2019/02/15/16:22:11.325114,0.0756198048592
2019/02/15/16:22:11.436728,0.073256778717
2019/02/15/16:22:11.550251,0.0746978402138
2019/02/15/16:22:11.661942,0.0711714506149
2019/02/15/16:22:11.773800,0.0717725038528
2019/02/15/16:22:11.887471,0.0772289514542
2019/02/15/16:22:11.997116,0.097167122364
2019/02/15/16:22:12.111993,0.0932732701302
2019/02/15/16:22:12.225257,0.0952146530151
2019/02/15/16:22:12.337136,0.0897828221321
2019/02/15/16:22:12.448332,0.0805296778679
2019/02/15/16:22:12.556741,0.0726176381111
2019/02/15/16:22:12.670430,0.0620005607605
2019/02/15/16:22:12.774611,0.0
2019/02/15/16:22:12.885878,0.0
2019/02/15/16:22:12.999232,0.0
2019/02/15/16:22:13.107386,0.0
2019/02/15/16:22:13.217297,0.0568312883377
2019/02/15/16:22:13.327170,0.0674123644829
2019/02/15/16:22:13.440771,0.0879960536957
2019/02/15/16:22:13.554318,0.0879960536957
2019/02/15/16:22:13.662455,0.0780530452728
2019/02/15/16:22:13.773118,0.0658858895302
2019/02/15/16:22:13.886742,0.0609010338783
2019/02/15/16:22:13.996590,0.0618995904922
2019/02/15/16:22:14.107903,0.0618995904922
2019/02/15/16:22:14.224482,0.0601094245911
2019/02/15/16:22:14.333928,0.0
2019/02/15/16:22:14.444470,0.0
2019/02/15/16:22:14.556037,0.0
2019/02/15/16:22:14.664966,0.0
2019/02/15/16:22:14.776701,0.0
2019/02/15/16:22:14.886823,0.0
2019/02/15/16:22:14.999896,0.0
2019/02/15/16:22:15.109428,0.0
2019/02/15/16:22:15.222855,0.0
2019/02/15/16:22:15.326718,0.0
2019/02/15/16:22:15.440615,0.0
2019/02/15/16:22:15.551901,0.0
2019/02/15/16:22:15.662629,0.0
2019/02/15/16:22:15.774054,0.0
2019/02/15/16:22:15.881890,0.0
2019/02/15/16:22:15.992724,0.0
2019/02/15/16:22:16.104935,0.0
2019/02/15/16:22:16.215075,0.0
2019/02/15/16:22:16.326845,0.0
2019/02/15/16:22:16.444312,0.0
2019/02/15/16:22:16.553506,0.0
2019/02/15/16:22:16.664095,0.0
2019/02/15/16:22:16.774487,0.0
2019/02/15/16:22:16.882019,0.0
2019/02/15/16:22:16.993258,0.0
2019/02/15/16:22:17.106388,0.0
2019/02/15/16:22:17.220868,0.0
2019/02/15/16:22:17.327824,0.0
2019/02/15/16:22:17.441438,0.0
2019/02/15/16:22:17.553236,0.0
2019/02/15/16:22:17.667543,0.0
2019/02/15/16:22:17.780401,0.0
2019/02/15/16:22:17.894770,0.0
2019/02/15/16:22:18.006103,0.0
2019/02/15/16:22:18.116615,0.0
2019/02/15/16:22:18.226383,0.0
2019/02/15/16:22:18.337741,0.0
2019/02/15/16:22:18.448142,0.0
2019/02/15/16:22:18.559326,0.0
2019/02/15/16:22:18.669560,0.0
2019/02/15/16:22:18.787076,0.0
2019/02/15/16:22:18.895874,0.0
2019/02/15/16:22:19.009032,0.0
2019/02/15/16:22:19.120543,0.0
2019/02/15/16:22:19.229983,0.0
2019/02/15/16:22:19.340866,0.0
2019/02/15/16:22:19.451869,0.0
2019/02/15/16:22:19.560369,0.0514513134956
2019/02/15/16:22:19.671762,0.0523964047432
2019/02/15/16:22:19.787367,0.0
2019/02/15/16:22:19.896510,0.0
2019/02/15/16:22:20.006969,0.0
2019/02/15/16:22:20.125919,0.0
2019/02/15/16:22:20.227057,0.0
2019/02/15/16:22:20.338288,0.0
2019/02/15/16:22:20.447904,0.0
2019/02/15/16:22:20.557863,0.0
2019/02/15/16:22:20.666384,0.0
2019/02/15/16:22:20.777620,0.0
2019/02/15/16:22:20.886158,0.0
2019/02/15/16:22:20.995940,0.0
2019/02/15/16:22:21.107292,0.0505937814713
2019/02/15/16:22:21.217461,0.0
2019/02/15/16:22:21.329953,0.0
2019/02/15/16:22:21.440196,0.0
2019/02/15/16:22:21.555406,0.0
2019/02/15/16:22:21.663925,0.0
2019/02/15/16:22:21.775514,0.0
2019/02/15/16:22:21.885373,0.0
2019/02/15/16:22:21.993464,0.0
2019/02/15/16:22:22.104865,0.0
2019/02/15/16:22:22.213512,0.0
2019/02/15/16:22:22.322446,0.0
2019/02/15/16:22:22.434588,0.0
2019/02/15/16:22:22.544778,0.0
2019/02/15/16:22:22.653691,0.0
2019/02/15/16:22:22.764072,0.0
2019/02/15/16:22:22.875525,0.0
2019/02/15/16:22:22.986225,0.0
2019/02/15/16:22:23.097764,0.0
2019/02/15/16:22:23.212809,0.0
2019/02/15/16:22:23.325961,0.0
2019/02/15/16:22:23.437618,0.0
2019/02/15/16:22:23.553131,0.0
2019/02/15/16:22:23.667976,0.0
2019/02/15/16:22:23.782930,0.0
2019/02/15/16:22:23.897773,0.0
2019/02/15/16:22:24.001852,0.0
2019/02/15/16:22:24.111425,0.0
2019/02/15/16:22:24.228403,0.0
2019/02/15/16:22:24.337068,0.0
2019/02/15/16:22:24.453455,0.0537785172462
2019/02/15/16:22:24.561697,0.0597808837891
2019/02/15/16:22:24.670956,0.0659493088722
2019/02/15/16:22:24.779695,0.0622918486595
2019/02/15/16:22:24.890690,0.0642609477043
2019/02/15/16:22:25.000158,0.061677801609
2019/02/15/16:22:25.111531,0.0579984068871
2019/02/15/16:22:25.221888,0.0621900439262
2019/02/15/16:22:25.331923,0.0602198123932
2019/02/15/16:22:25.451310,0.0655389904976
2019/02/15/16:22:25.559393,0.0731468081474
2019/02/15/16:22:25.668997,0.0882227301598
2019/02/15/16:22:25.780620,0.0922444939613
2019/02/15/16:22:25.893476,0.0861315608025
2019/02/15/16:22:26.006700,0.0788464426994
2019/02/15/16:22:26.113355,0.0828714251518
2019/02/15/16:22:26.225208,0.0883225083351
2019/02/15/16:22:26.332987,0.0928102016449
2019/02/15/16:22:26.444100,0.0861346006393
2019/02/15/16:22:26.554761,0.0797629237175
2019/02/15/16:22:26.663598,0.077184844017
2019/02/15/16:22:26.774280,0.0610650062561
2019/02/15/16:22:26.884582,0.0576667070389
2019/02/15/16:22:26.995108,0.0593476176262
2019/02/15/16:22:27.109931,0.0593476176262
2019/02/15/16:22:27.221793,0.0626203894615
2019/02/15/16:22:27.330935,0.0600248456001
2019/02/15/16:22:27.439730,0.0552887797356
2019/02/15/16:22:27.552289,0.0571289539337
2019/02/15/16:22:27.660198,0.0603099346161
2019/02/15/16:22:27.770123,0.0693876028061
2019/02/15/16:22:27.879613,0.0659010887146
2019/02/15/16:22:27.991909,0.0644538283348
2019/02/15/16:22:28.102619,0.0634707689285
2019/02/15/16:22:28.220500,0.0726001143456
2019/02/15/16:22:28.334002,0.0680524587631
2019/02/15/16:22:28.445488,0.0644689679146
2019/02/15/16:22:28.555368,0.0652979493141
2019/02/15/16:22:28.663842,0.0820973396301
2019/02/15/16:22:28.772755,0.0961829900742
2019/02/15/16:22:28.885618,0.0942636609077
2019/02/15/16:22:29.000050,0.0829879522324
2019/02/15/16:22:29.112069,0.0865047454834
2019/02/15/16:22:29.223325,0.073567378521
2019/02/15/16:22:29.333991,0.069948720932
2019/02/15/16:22:29.445237,0.065881717205
2019/02/15/16:22:29.555502,0.0626986503601
2019/02/15/16:22:29.665325,0.0657006978989
2019/02/15/16:22:29.778070,0.0696208357811
2019/02/15/16:22:29.892451,0.0695868611336
2019/02/15/16:22:30.006790,0.0764511108398
