time,.x,.y,.theta
2019/02/15/16:21:55.763436,25.653332,-100.291456,-1.54973581889
2019/02/15/16:21:55.878432,25.653332,-100.291456,-1.5494818409
2019/02/15/16:21:55.990903,25.653332,-100.291456,-1.54848977971
2019/02/15/16:21:56.102553,25.653332,-100.291456,-1.54835024734
2019/02/15/16:21:56.212421,25.653332,-100.291456,-1.5482736665
2019/02/15/16:21:56.322340,25.653332,-100.291456,-1.54816929031
2019/02/15/16:21:56.435596,25.653332,-100.291456,-1.54824946961
2019/02/15/16:21:56.545966,25.653332,-100.291456,-1.54807008013
2019/02/15/16:21:56.659750,25.653332,-100.291456,-1.54770126354
2019/02/15/16:21:56.770736,25.653332,-100.291456,-1.54763211369
2019/02/15/16:21:56.878825,25.653332,-100.291456,-1.54745377165
2019/02/15/16:21:56.990031,25.653332,-100.291456,-1.54677966612
2019/02/15/16:21:57.101384,25.653332,-100.291456,-1.54671229236
2019/02/15/16:21:57.210231,25.653332,-100.291456,-1.54698453134
2019/02/15/16:21:57.322123,25.653332,-100.291456,-1.54676406405
2019/02/15/16:21:57.435933,25.653332,-100.291456,-1.54651118385
2019/02/15/16:21:57.549462,25.653332,-100.291456,-1.54651118385
2019/02/15/16:21:57.660702,25.653332,-100.291456,-1.54567928008
2019/02/15/16:21:57.772894,25.653332,-100.291456,-1.54484305033
2019/02/15/16:21:57.886265,25.653332,-100.291456,-1.54463185105
2019/02/15/16:21:57.999585,25.653332,-100.291456,-1.54429401117
2019/02/15/16:21:58.113202,25.653332,-100.291456,-1.54341984272
2019/02/15/16:21:58.224913,25.653332,-100.291456,-1.54123264838
2019/02/15/16:21:58.353075,25.653332,-100.291456,-1.5401711623
2019/02/15/16:21:58.455221,25.653332,-100.291456,-1.53811199321
2019/02/15/16:21:58.564129,25.653332,-100.291456,-1.53671584195
2019/02/15/16:21:58.676412,25.653332,-100.291456,-1.53560570399
2019/02/15/16:21:58.784664,25.653332,-100.291456,-1.53454285377
2019/02/15/16:21:58.896685,25.653332,-100.291456,-1.53322100746
2019/02/15/16:21:59.006881,25.653332,-100.291456,-1.5315464382
2019/02/15/16:21:59.116646,25.653332,-100.291456,-1.52992610235
2019/02/15/16:21:59.227176,25.653332,-100.291456,-1.5276255735
2019/02/15/16:21:59.337657,25.653332,-100.291456,-1.52610798815
2019/02/15/16:21:59.448977,25.653332,-100.291456,-1.52466421432
2019/02/15/16:21:59.560319,25.653332,-100.291456,-1.52172602337
2019/02/15/16:21:59.669898,25.653332,-100.291456,-1.51948171308
2019/02/15/16:21:59.779482,25.653332,-100.291456,-1.51649834703
2019/02/15/16:21:59.890571,25.653332,-100.291456,-1.51450571327
2019/02/15/16:22:00.001130,25.653332,-100.291456,-1.5136122163
2019/02/15/16:22:00.110775,25.653332,-100.291456,-1.51171120763
2019/02/15/16:22:00.221662,25.653332,-100.291456,-1.51100066116
2019/02/15/16:22:00.337370,25.653332,-100.291456,-1.50912149923
2019/02/15/16:22:00.448327,25.653332,-100.291456,-1.50753332726
2019/02/15/16:22:00.559566,25.653332,-100.291456,-1.50546591615
2019/02/15/16:22:00.669652,25.653332,-100.291456,-1.50326961573
2019/02/15/16:22:00.779398,25.653332,-100.291456,-1.50203658299
2019/02/15/16:22:00.890095,25.653332,-100.291456,-1.5006796433
2019/02/15/16:22:01.002228,25.653332,-100.291456,-1.49885222233
2019/02/15/16:22:01.111822,25.653332,-100.291456,-1.49751525775
2019/02/15/16:22:01.221487,25.653332,-100.291456,-1.49637568166
2019/02/15/16:22:01.332685,25.653332,-100.291456,-1.49506794119
2019/02/15/16:22:01.443285,25.653332,-100.291456,-1.49338568446
2019/02/15/16:22:01.551549,25.653332,-100.291456,-1.4919508351
2019/02/15/16:22:01.661281,25.653332,-100.291456,-1.4902604652
2019/02/15/16:22:01.770272,25.653332,-100.291456,-1.48834128383
2019/02/15/16:22:01.880128,25.653332,-100.291456,-1.48700161508
2019/02/15/16:22:01.992679,25.653332,-100.291456,-1.48620758203
2019/02/15/16:22:02.102150,25.653332,-100.291456,-1.48500815849
2019/02/15/16:22:02.213319,25.653332,-100.291456,-1.48273138922
2019/02/15/16:22:02.323039,25.653332,-100.291456,-1.48223126038
