time,.data
2019/02/15/16:01:11.366432,-1.57
2019/02/15/16:01:11.468096,-1.57
2019/02/15/16:01:11.569311,-1.57
2019/02/15/16:01:11.671004,-1.57
2019/02/15/16:01:11.773365,-1.57
2019/02/15/16:01:11.875695,-1.57
2019/02/15/16:01:11.977168,-1.57
2019/02/15/16:01:12.080352,-1.57
2019/02/15/16:01:12.182773,-1.57
2019/02/15/16:01:12.284881,-1.57
2019/02/15/16:01:12.386940,-1.57
2019/02/15/16:01:12.489190,-1.57
2019/02/15/16:01:12.590922,-1.57
2019/02/15/16:01:12.692573,-1.57
2019/02/15/16:01:12.794621,-1.57
2019/02/15/16:01:12.896019,-1.57
2019/02/15/16:01:12.998290,-1.57
2019/02/15/16:01:13.099558,-1.57
2019/02/15/16:01:13.201809,-1.57
2019/02/15/16:01:13.303475,-1.57
2019/02/15/16:01:13.405228,-1.57
2019/02/15/16:01:13.507252,-1.57
2019/02/15/16:01:13.608665,-1.57
2019/02/15/16:01:13.710762,-1.57
2019/02/15/16:01:13.813990,-1.57
2019/02/15/16:01:13.916819,-1.57
2019/02/15/16:01:14.019045,-1.57
2019/02/15/16:01:14.121297,-1.57
2019/02/15/16:01:14.223776,-1.57
2019/02/15/16:01:14.326479,-1.57
2019/02/15/16:01:14.428854,-1.57
2019/02/15/16:01:14.530652,-1.57
2019/02/15/16:01:14.632560,-1.57
2019/02/15/16:01:14.734670,-1.57
2019/02/15/16:01:14.837262,-1.57
2019/02/15/16:01:14.939152,-1.57
2019/02/15/16:01:15.042024,-1.57
2019/02/15/16:01:15.147058,-1.57
2019/02/15/16:01:15.245528,-1.57
2019/02/15/16:01:15.347163,-1.57
2019/02/15/16:01:15.449328,-1.57
2019/02/15/16:01:15.551319,-1.57
2019/02/15/16:01:15.653222,-1.57
2019/02/15/16:01:15.755526,-1.57
2019/02/15/16:01:15.857064,-1.57
2019/02/15/16:01:15.959171,-1.57
2019/02/15/16:01:16.061888,-1.57
2019/02/15/16:01:16.163189,-1.57
2019/02/15/16:01:16.265247,-1.57
2019/02/15/16:01:16.368100,-1.57
2019/02/15/16:01:16.470022,-1.57
2019/02/15/16:01:16.572131,-1.57
2019/02/15/16:01:16.674321,-1.57
2019/02/15/16:01:16.776595,-1.57
2019/02/15/16:01:16.879475,-1.57
2019/02/15/16:01:16.982258,-1.57
2019/02/15/16:01:17.085210,-1.57
2019/02/15/16:01:17.186612,-1.57
2019/02/15/16:01:17.289025,-1.57
2019/02/15/16:01:17.391174,-1.57
2019/02/15/16:01:17.492807,-1.57
2019/02/15/16:01:17.595379,-1.57
2019/02/15/16:01:17.699956,-1.57
2019/02/15/16:01:17.806375,-1.57
2019/02/15/16:01:17.901387,-1.57
2019/02/15/16:01:18.003569,-1.57
2019/02/15/16:01:18.105262,-1.57
2019/02/15/16:01:18.207386,-1.57
2019/02/15/16:01:18.309702,-1.57
2019/02/15/16:01:18.411145,-1.57
2019/02/15/16:01:18.513193,-1.57
2019/02/15/16:01:18.615983,-1.57
2019/02/15/16:01:18.718881,-1.57
2019/02/15/16:01:18.821689,-1.57
2019/02/15/16:01:18.923460,-1.57
2019/02/15/16:01:19.025679,-1.57
2019/02/15/16:01:19.129534,-1.57
2019/02/15/16:01:19.234150,-1.57
2019/02/15/16:01:19.336684,-1.57
2019/02/15/16:01:19.438634,-1.57
2019/02/15/16:01:19.540465,-1.57
2019/02/15/16:01:19.642024,-1.57
2019/02/15/16:01:19.743401,-1.57
2019/02/15/16:01:19.844714,-1.57
2019/02/15/16:01:19.946283,-1.57
2019/02/15/16:01:20.048221,-1.57
2019/02/15/16:01:20.148859,-1.57
2019/02/15/16:01:20.249669,-1.57
2019/02/15/16:01:20.350988,-1.57
2019/02/15/16:01:20.452039,-1.57
2019/02/15/16:01:20.554367,-1.57
2019/02/15/16:01:20.658078,-1.57
2019/02/15/16:01:20.759495,-1.57
2019/02/15/16:01:20.862544,-1.57
2019/02/15/16:01:20.962841,-1.57
2019/02/15/16:01:21.064085,-1.57
2019/02/15/16:01:21.165792,-1.57
2019/02/15/16:01:21.267771,-1.57
2019/02/15/16:01:21.368591,-1.57
2019/02/15/16:01:21.471245,-1.57
2019/02/15/16:01:21.572013,-1.57
2019/02/15/16:01:21.673534,-1.57
2019/02/15/16:01:21.774783,-1.57
2019/02/15/16:01:21.876394,-1.57
2019/02/15/16:01:21.978922,-1.57
2019/02/15/16:01:22.079974,-1.57
2019/02/15/16:01:22.181729,-1.57
2019/02/15/16:01:22.283583,-1.57
2019/02/15/16:01:22.384863,-1.57
2019/02/15/16:01:22.486307,-1.57
2019/02/15/16:01:22.587239,-1.57
2019/02/15/16:01:22.688997,-1.57
2019/02/15/16:01:22.790782,-1.57
2019/02/15/16:01:22.892891,-1.57
2019/02/15/16:01:22.994495,-1.57
2019/02/15/16:01:23.095948,-1.57
2019/02/15/16:01:23.197758,-1.57
2019/02/15/16:01:23.300060,-1.57
2019/02/15/16:01:23.402085,-1.57
2019/02/15/16:01:23.503776,-1.57
2019/02/15/16:01:23.606370,-1.57
2019/02/15/16:01:23.708383,-1.57
2019/02/15/16:01:23.809803,-1.57
2019/02/15/16:01:23.911659,-1.57
2019/02/15/16:01:24.013705,-1.57
2019/02/15/16:01:24.115645,-1.57
2019/02/15/16:01:24.217182,-1.57
2019/02/15/16:01:24.319733,-1.57
2019/02/15/16:01:24.421547,-1.57
2019/02/15/16:01:24.523413,-1.57
2019/02/15/16:01:24.625003,-1.57
2019/02/15/16:01:24.726885,-1.57
2019/02/15/16:01:24.828930,-1.57
2019/02/15/16:01:24.931768,-1.57
2019/02/15/16:01:25.033711,-1.57
2019/02/15/16:01:25.135412,-1.57
2019/02/15/16:01:25.237753,-1.57
2019/02/15/16:01:25.339921,-1.57
2019/02/15/16:01:25.443238,-1.57
2019/02/15/16:01:25.544496,-1.57
2019/02/15/16:01:25.645257,-1.57
2019/02/15/16:01:25.747192,-1.57
2019/02/15/16:01:25.849837,-1.57
2019/02/15/16:01:25.952040,-1.57
2019/02/15/16:01:26.053310,-1.57
2019/02/15/16:01:26.155019,-1.57
2019/02/15/16:01:26.256665,-1.57
2019/02/15/16:01:26.359147,-1.57
2019/02/15/16:01:26.461913,-1.57
2019/02/15/16:01:26.564493,-1.57
2019/02/15/16:01:26.666340,-1.57
2019/02/15/16:01:26.768631,-1.57
2019/02/15/16:01:26.869751,-1.57
2019/02/15/16:01:26.970173,-1.57
2019/02/15/16:01:27.072476,-1.57
2019/02/15/16:01:27.174280,-1.57
2019/02/15/16:01:27.276747,-1.57
