time,.data
2019/02/15/16:01:11.366193,0.0
2019/02/15/16:01:11.468337,0.0
2019/02/15/16:01:11.569311,0.0
2019/02/15/16:01:11.670749,0.0
2019/02/15/16:01:11.773154,0.0
2019/02/15/16:01:11.875207,0.0
2019/02/15/16:01:11.976857,0.0
2019/02/15/16:01:12.079879,1.4
2019/02/15/16:01:12.182025,1.4
2019/02/15/16:01:12.284294,1.4
2019/02/15/16:01:12.386833,1.4
2019/02/15/16:01:12.488617,1.4
2019/02/15/16:01:12.591159,1.4
2019/02/15/16:01:12.692507,1.4
2019/02/15/16:01:12.794696,1.4
2019/02/15/16:01:12.895947,1.4
2019/02/15/16:01:12.998208,1.4
2019/02/15/16:01:13.100741,1.4
2019/02/15/16:01:13.201308,1.4
2019/02/15/16:01:13.303413,1.4
2019/02/15/16:01:13.405215,1.4
2019/02/15/16:01:13.506560,1.4
2019/02/15/16:01:13.608019,1.4
2019/02/15/16:01:13.710846,1.4
2019/02/15/16:01:13.813099,1.4
2019/02/15/16:01:13.915992,1.4
2019/02/15/16:01:14.018253,1.4
2019/02/15/16:01:14.120879,1.4
2019/02/15/16:01:14.222945,1.4
2019/02/15/16:01:14.325932,1.4
2019/02/15/16:01:14.428921,1.4
2019/02/15/16:01:14.530507,1.4
2019/02/15/16:01:14.632222,1.4
2019/02/15/16:01:14.733824,1.4
2019/02/15/16:01:14.837196,1.4
2019/02/15/16:01:14.939089,1.4
2019/02/15/16:01:15.041955,1.4
2019/02/15/16:01:15.146687,1.4
2019/02/15/16:01:15.244837,1.4
2019/02/15/16:01:15.347082,1.4
2019/02/15/16:01:15.448810,1.4
2019/02/15/16:01:15.551034,1.4
2019/02/15/16:01:15.652771,1.4
2019/02/15/16:01:15.754550,1.4
2019/02/15/16:01:15.857381,1.4
2019/02/15/16:01:15.958548,1.4
2019/02/15/16:01:16.061891,1.4
2019/02/15/16:01:16.163142,1.4
2019/02/15/16:01:16.264646,1.4
2019/02/15/16:01:16.367485,1.4
2019/02/15/16:01:16.469676,1.4
2019/02/15/16:01:16.571756,1.4
2019/02/15/16:01:16.673221,1.4
2019/02/15/16:01:16.776520,1.4
2019/02/15/16:01:16.878954,1.4
2019/02/15/16:01:16.982320,1.4
2019/02/15/16:01:17.085276,1.4
2019/02/15/16:01:17.185674,1.4
2019/02/15/16:01:17.288598,1.4
2019/02/15/16:01:17.390531,1.4
2019/02/15/16:01:17.492443,1.4
2019/02/15/16:01:17.594157,1.4
2019/02/15/16:01:17.698255,1.4
2019/02/15/16:01:17.806311,1.4
2019/02/15/16:01:17.901055,1.4
2019/02/15/16:01:18.003500,1.4
2019/02/15/16:01:18.104748,1.4
2019/02/15/16:01:18.207310,1.4
2019/02/15/16:01:18.309635,1.4
2019/02/15/16:01:18.411146,1.4
2019/02/15/16:01:18.512571,1.4
2019/02/15/16:01:18.615919,1.4
2019/02/15/16:01:18.717656,1.4
2019/02/15/16:01:18.822077,1.4
2019/02/15/16:01:18.923216,1.4
2019/02/15/16:01:19.024934,1.4
2019/02/15/16:01:19.129475,1.4
2019/02/15/16:01:19.232520,1.4
2019/02/15/16:01:19.335942,1.4
2019/02/15/16:01:19.437958,1.4
2019/02/15/16:01:19.540063,1.4
2019/02/15/16:01:19.642039,1.4
2019/02/15/16:01:19.743731,1.4
2019/02/15/16:01:19.844728,1.4
2019/02/15/16:01:19.945284,1.4
2019/02/15/16:01:20.048314,1.4
2019/02/15/16:01:20.148689,1.4
2019/02/15/16:01:20.249955,1.4
2019/02/15/16:01:20.351279,1.4
2019/02/15/16:01:20.452909,1.4
2019/02/15/16:01:20.553883,1.4
2019/02/15/16:01:20.657946,1.4
2019/02/15/16:01:20.759549,1.4
2019/02/15/16:01:20.862417,1.4
2019/02/15/16:01:20.963199,1.4
2019/02/15/16:01:21.065015,1.4
2019/02/15/16:01:21.165476,1.4
2019/02/15/16:01:21.267196,1.4
2019/02/15/16:01:21.368766,1.4
2019/02/15/16:01:21.470921,1.4
2019/02/15/16:01:21.571723,1.4
2019/02/15/16:01:21.672868,1.4
2019/02/15/16:01:21.774480,1.4
2019/02/15/16:01:21.876307,1.4
2019/02/15/16:01:21.978353,1.4
2019/02/15/16:01:22.079185,1.4
2019/02/15/16:01:22.181383,1.4
2019/02/15/16:01:22.282624,1.4
2019/02/15/16:01:22.384806,1.4
2019/02/15/16:01:22.486238,1.4
2019/02/15/16:01:22.587247,1.4
2019/02/15/16:01:22.688401,1.4
2019/02/15/16:01:22.790352,1.4
2019/02/15/16:01:22.892074,1.4
2019/02/15/16:01:22.994196,1.4
2019/02/15/16:01:23.095659,1.4
2019/02/15/16:01:23.197608,1.4
2019/02/15/16:01:23.299309,1.4
2019/02/15/16:01:23.400751,1.4
2019/02/15/16:01:23.503713,1.4
2019/02/15/16:01:23.605810,1.4
2019/02/15/16:01:23.708765,1.4
2019/02/15/16:01:23.809481,1.4
2019/02/15/16:01:23.911335,1.4
2019/02/15/16:01:24.013269,1.4
2019/02/15/16:01:24.115368,1.4
2019/02/15/16:01:24.217052,1.4
2019/02/15/16:01:24.319452,1.4
2019/02/15/16:01:24.421444,1.4
2019/02/15/16:01:24.523109,1.4
2019/02/15/16:01:24.624433,1.4
2019/02/15/16:01:24.726757,1.4
2019/02/15/16:01:24.828770,1.4
2019/02/15/16:01:24.930436,1.4
2019/02/15/16:01:25.032527,1.4
2019/02/15/16:01:25.135309,1.4
2019/02/15/16:01:25.236833,1.4
2019/02/15/16:01:25.339885,1.4
2019/02/15/16:01:25.445225,1.4
2019/02/15/16:01:25.544690,1.4
2019/02/15/16:01:25.645324,1.4
2019/02/15/16:01:25.747255,1.4
2019/02/15/16:01:25.849774,1.4
2019/02/15/16:01:25.951393,1.4
2019/02/15/16:01:26.053028,1.4
2019/02/15/16:01:26.154733,1.4
2019/02/15/16:01:26.255915,1.4
2019/02/15/16:01:26.358444,1.4
2019/02/15/16:01:26.461991,1.4
2019/02/15/16:01:26.564435,1.4
2019/02/15/16:01:26.665638,1.4
2019/02/15/16:01:26.768391,1.4
2019/02/15/16:01:26.869839,1.4
2019/02/15/16:01:26.969883,1.4
2019/02/15/16:01:27.072740,1.4
2019/02/15/16:01:27.174057,1.4
2019/02/15/16:01:27.275975,1.4
2019/02/15/16:01:27.378157,1.4
2019/02/15/16:01:27.480424,1.4
2019/02/15/16:01:27.582924,1.4
2019/02/15/16:01:27.685173,1.4
2019/02/15/16:01:27.789091,1.4
2019/02/15/16:01:27.893088,1.4
2019/02/15/16:01:27.993614,1.4
2019/02/15/16:01:28.095655,1.4
2019/02/15/16:01:28.197938,1.4
2019/02/15/16:01:28.303265,1.4
2019/02/15/16:01:28.405951,1.4
2019/02/15/16:01:28.507644,1.4
2019/02/15/16:01:28.611008,1.4
2019/02/15/16:01:28.711586,1.4
2019/02/15/16:01:28.814534,1.4
2019/02/15/16:01:28.917014,1.4
2019/02/15/16:01:29.017808,1.4
2019/02/15/16:01:29.121395,1.4
2019/02/15/16:01:29.223200,1.4
2019/02/15/16:01:29.325215,1.4
2019/02/15/16:01:29.427398,1.4
2019/02/15/16:01:29.529516,1.4
2019/02/15/16:01:29.631195,1.4
2019/02/15/16:01:29.732410,1.4
2019/02/15/16:01:29.834345,1.4
2019/02/15/16:01:29.936538,1.4
2019/02/15/16:01:30.040010,1.4
2019/02/15/16:01:30.140217,1.4
2019/02/15/16:01:30.242971,1.4
2019/02/15/16:01:30.347162,1.4
2019/02/15/16:01:30.446933,1.4
2019/02/15/16:01:30.548960,1.4
2019/02/15/16:01:30.650918,1.4
2019/02/15/16:01:30.752183,1.4
2019/02/15/16:01:30.854573,1.4
2019/02/15/16:01:30.955834,1.4
2019/02/15/16:01:31.057678,1.4
2019/02/15/16:01:31.159501,1.4
2019/02/15/16:01:31.261456,1.4
2019/02/15/16:01:31.363000,1.4
2019/02/15/16:01:31.464747,1.4
2019/02/15/16:01:31.567498,1.4
2019/02/15/16:01:31.669986,1.4
2019/02/15/16:01:31.772168,1.4
2019/02/15/16:01:31.873665,1.4
2019/02/15/16:01:31.976733,1.4
2019/02/15/16:01:32.079270,1.4
2019/02/15/16:01:32.182288,1.4
2019/02/15/16:01:32.285261,1.4
2019/02/15/16:01:32.387267,1.4
2019/02/15/16:01:32.489264,1.4
2019/02/15/16:01:32.591424,1.4
2019/02/15/16:01:32.694213,1.4
2019/02/15/16:01:32.800272,1.4
2019/02/15/16:01:32.899952,1.4
2019/02/15/16:01:33.001329,1.4
2019/02/15/16:01:33.103527,1.4
2019/02/15/16:01:33.205849,1.4
2019/02/15/16:01:33.308105,1.4
2019/02/15/16:01:33.410321,1.4
2019/02/15/16:01:33.511904,1.4
2019/02/15/16:01:33.614267,1.4
2019/02/15/16:01:33.716806,1.4
2019/02/15/16:01:33.817669,1.4
2019/02/15/16:01:33.919022,1.4
2019/02/15/16:01:34.021893,1.4
2019/02/15/16:01:34.122610,1.4
2019/02/15/16:01:34.224334,1.4
2019/02/15/16:01:34.325177,1.4
2019/02/15/16:01:34.426653,1.4
2019/02/15/16:01:34.529216,1.4
2019/02/15/16:01:34.630498,1.4
2019/02/15/16:01:34.731239,1.4
2019/02/15/16:01:34.832680,1.4
2019/02/15/16:01:34.933791,1.4
2019/02/15/16:01:35.036098,1.4
2019/02/15/16:01:35.137552,1.4
2019/02/15/16:01:35.239945,1.4
2019/02/15/16:01:35.340864,1.4
2019/02/15/16:01:35.442809,1.4
2019/02/15/16:01:35.545015,1.4
2019/02/15/16:01:35.645745,1.4
2019/02/15/16:01:35.746829,1.4
2019/02/15/16:01:35.848751,1.4
2019/02/15/16:01:35.949793,1.4
2019/02/15/16:01:36.051662,1.4
2019/02/15/16:01:36.153711,1.4
2019/02/15/16:01:36.255153,1.4
2019/02/15/16:01:36.357626,1.4
2019/02/15/16:01:36.458840,1.4
2019/02/15/16:01:36.559969,1.4
2019/02/15/16:01:36.662720,1.4
2019/02/15/16:01:36.764258,1.4
2019/02/15/16:01:36.868213,1.4
2019/02/15/16:01:36.969776,1.4
2019/02/15/16:01:37.072429,1.4
2019/02/15/16:01:37.173550,1.4
2019/02/15/16:01:37.276035,1.4
2019/02/15/16:01:37.379780,1.4
2019/02/15/16:01:37.483181,1.4
2019/02/15/16:01:37.584980,1.4
2019/02/15/16:01:37.686821,1.4
