time,.x,.y,.theta
2019/02/15/16:01:09.036386,25.65333218,-100.2911192,-1.56857945149
2019/02/15/16:01:09.036499,25.6533322,-100.2911192,-1.56845721242
2019/02/15/16:01:09.036681,25.65333226,-100.29111892,-1.5683002191
2019/02/15/16:01:09.156404,25.65333222,-100.29111882,-1.56779408544
2019/02/15/16:01:09.273686,25.65333223,-100.29111883,-1.56718315642
2019/02/15/16:01:09.382884,25.65333224,-100.2911188,-1.5682653317
2019/02/15/16:01:09.486397,25.65333225,-100.29111879,-1.56929504272
2019/02/15/16:01:09.578275,25.65333237,-100.29111861,-1.56880635276
2019/02/15/16:01:09.678158,25.65333238,-100.2911186,-1.56692136774
2019/02/15/16:01:09.780717,25.65333256,-100.29111858,-1.56432079147
2019/02/15/16:01:09.880700,25.65333257,-100.29111858,-1.56453024905
2019/02/15/16:01:09.987455,25.65333256,-100.29111855,-1.56425101667
2019/02/15/16:01:10.108295,25.65333258,-100.29111854,-1.56439069944
2019/02/15/16:01:10.224055,25.65333253,-100.29111849,-1.56484436883
2019/02/15/16:01:10.332747,25.65333255,-100.29111847,-1.56355286913
2019/02/15/16:01:10.449162,25.65333267,-100.29111838,-1.56302929177
2019/02/15/16:01:10.587036,25.6533327,-100.29111843,-1.56343076322
2019/02/15/16:01:10.706558,25.65333271,-100.29111842,-1.56343076322
2019/02/15/16:01:10.807925,25.65333265,-100.29111855,-1.56273261569
2019/02/15/16:01:10.925669,25.65333267,-100.29111858,-1.56147600339
2019/02/15/16:01:11.026865,25.65333262,-100.29111878,-1.55679842822
2019/02/15/16:01:11.138584,25.65333265,-100.29111884,-1.55346495018
2019/02/15/16:01:11.254024,25.65333267,-100.29111897,-1.54957274106
2019/02/15/16:01:11.355426,25.65333255,-100.29111902,-1.5486652691
2019/02/15/16:01:11.457102,25.65333251,-100.29111905,-1.54566322139
2019/02/15/16:01:11.605556,25.65333231,-100.29111892,-1.54152680044
2019/02/15/16:01:11.706181,25.65333226,-100.29111901,-1.53587197852
2019/02/15/16:01:11.822953,25.65333211,-100.29111917,-1.53342852873
2019/02/15/16:01:11.934237,25.65333208,-100.29111925,-1.53182277608
2019/02/15/16:01:12.051585,25.6533321,-100.29111929,-1.52941421369
2019/02/15/16:01:12.160829,25.65333225,-100.29111928,-1.52402118045
2019/02/15/16:01:12.279934,25.65333222,-100.29111932,-1.51737153491
2019/02/15/16:01:12.382083,25.65333195,-100.29111935,-1.51039019272
2019/02/15/16:01:12.471894,25.6533319,-100.2911194,-1.50648067306
2019/02/15/16:01:12.630555,25.65333189,-100.29111939,-1.50588718773
2019/02/15/16:01:12.732403,25.65333187,-100.29111946,-1.51180393149
2019/02/15/16:01:12.833818,25.653332,-100.29111971,-1.51815690095
2019/02/15/16:01:12.950988,25.65333202,-100.29111975,-1.52321837071
2019/02/15/16:01:13.053107,25.65333204,-100.2911198,-1.52674386263
2019/02/15/16:01:13.156567,25.653332,-100.29111986,-1.52620284156
2019/02/15/16:01:13.256912,25.65333195,-100.29112004,-1.51944840065
2019/02/15/16:01:13.373395,25.65333168,-100.29112027,-1.51025050995
2019/02/15/16:01:13.477385,25.6533316,-100.29112065,-1.49789357822
2019/02/15/16:01:13.630766,25.65333148,-100.29112095,-1.49089479233
2019/02/15/16:01:13.732010,25.65333145,-100.29112167,-1.50187300585
2019/02/15/16:01:13.832433,25.65333147,-100.29112212,-1.52281689926
2019/02/15/16:01:13.949749,25.65333146,-100.29112275,-1.55039312766
2019/02/15/16:01:14.058408,25.65333153,-100.29112356,-1.57830091955
2019/02/15/16:01:14.177187,25.6533315,-100.29112434,-1.58807471872
2019/02/15/16:01:14.286016,25.65333146,-100.29112527,-1.57578769495
2019/02/15/16:01:14.405174,25.65333129,-100.29112632,-1.54393536283
2019/02/15/16:01:14.537912,25.65333128,-100.29112728,-1.49536290992
2019/02/15/16:01:14.650930,25.65333115,-100.29112855,-1.44144962172
2019/02/15/16:01:14.758784,25.65333108,-100.29112977,-1.41268668898
2019/02/15/16:01:14.879009,25.65333113,-100.29113068,-1.40589736067
2019/02/15/16:01:14.980808,25.65333117,-100.29113173,-1.42139588972
2019/02/15/16:01:15.100411,25.65333124,-100.29113256,-1.44466112701
2019/02/15/16:01:15.202083,25.65333144,-100.29113334,-1.47178355285
2019/02/15/16:01:15.309841,25.65333149,-100.29113425,-1.49190719281
2019/02/15/16:01:15.429554,25.65333133,-100.29113511,-1.50351351274
2019/02/15/16:01:15.574365,25.65333134,-100.29113621,-1.49874885223
2019/02/15/16:01:15.682514,25.65333147,-100.29113732,-1.47162642638
2019/02/15/16:01:15.802277,25.65333179,-100.29113849,-1.44090860065
2019/02/15/16:01:15.904001,25.65333187,-100.29113969,-1.41181397127
2019/02/15/16:01:16.006793,25.65333199,-100.29114029,-1.39666458256
2019/02/15/16:01:16.125117,25.65333209,-100.29114128,-1.39448292145
2019/02/15/16:01:16.234287,25.65333229,-100.29114237,-1.41017333122
2019/02/15/16:01:16.350019,25.65333258,-100.2911433,-1.43820336218
2019/02/15/16:01:16.453554,25.65333273,-100.29114448,-1.46967166655
2019/02/15/16:01:16.598740,25.65333316,-100.2911454,-1.49010942629
2019/02/15/16:01:16.712550,25.65333326,-100.29114688,-1.49494399477
2019/02/15/16:01:16.827496,25.65333325,-100.2911477,-1.47787473363
2019/02/15/16:01:16.934236,25.65333333,-100.29114893,-1.44221767721
2019/02/15/16:01:17.046355,25.65333353,-100.29115021,-1.4045010656
2019/02/15/16:01:17.156823,25.65333376,-100.29115141,-1.37825135746
2019/02/15/16:01:17.261564,25.65333395,-100.29115251,-1.36287493431
2019/02/15/16:01:17.372657,25.6533343,-100.29115347,-1.35887819614
2019/02/15/16:01:17.480397,25.65333452,-100.29115455,-1.36694158045
2019/02/15/16:01:17.632555,25.65333453,-100.29115583,-1.38538969296
2019/02/15/16:01:17.737612,25.65333476,-100.29115728,-1.41855096848
2019/02/15/16:01:17.856093,25.65333486,-100.2911585,-1.43963454465
2019/02/15/16:01:17.957675,25.65333508,-100.29116018,-1.45143301162
2019/02/15/16:01:18.075453,25.65333519,-100.29116125,-1.4496875762
2019/02/15/16:01:18.181181,25.6533351,-100.29116276,-1.43497454635
2019/02/15/16:01:18.284205,25.65333523,-100.29116386,-1.41764336337
2019/02/15/16:01:18.383911,25.65333532,-100.29116492,-1.40156892585
2019/02/15/16:01:18.484860,25.65333547,-100.29116601,-1.38802515663
2019/02/15/16:01:18.572883,25.6533355,-100.2911667,-1.38346982053
2019/02/15/16:01:18.673185,25.65333562,-100.29116762,-1.38867097306
2019/02/15/16:01:18.782662,25.65333564,-100.29116849,-1.40273831964
2019/02/15/16:01:18.899626,25.65333579,-100.29116965,-1.42265250202
2019/02/15/16:01:19.007885,25.653336,-100.29117107,-1.43699908099
2019/02/15/16:01:19.125974,25.65333612,-100.29117219,-1.43956476985
2019/02/15/16:01:19.229508,25.65333593,-100.29117345,-1.43057633672
2019/02/15/16:01:19.331434,25.65333601,-100.29117453,-1.41862074329
2019/02/15/16:01:19.448737,25.65333611,-100.29117574,-1.40511199462
2019/02/15/16:01:19.589833,25.65333621,-100.29117713,-1.39348809783
2019/02/15/16:01:19.705391,25.65333636,-100.29117862,-1.39748483601
2019/02/15/16:01:19.807138,25.65333661,-100.29118018,-1.41732924358
2019/02/15/16:01:19.926926,25.65333678,-100.29118131,-1.44204310704
2019/02/15/16:01:20.034110,25.65333696,-100.29118246,-1.47162642638
2019/02/15/16:01:20.155379,25.65333714,-100.2911832,-1.48499562543
2019/02/15/16:01:20.256152,25.65333724,-100.29118455,-1.47953281738
2019/02/15/16:01:20.357875,25.65333719,-100.29118575,-1.45986284682
2019/02/15/16:01:20.464940,25.65333726,-100.29118689,-1.42884834501
2019/02/15/16:01:20.554433,25.65333752,-100.2911881,-1.38903742394
2019/02/15/16:01:20.654745,25.65333763,-100.29118905,-1.36664490437
2019/02/15/16:01:20.755337,25.65333848,-100.29118988,-1.35798803473
2019/02/15/16:01:20.862098,25.65333868,-100.29119098,-1.35983813235
2019/02/15/16:01:20.980422,25.65334007,-100.29119214,-1.37226483889
2019/02/15/16:01:21.083143,25.65334035,-100.29119333,-1.39306918268
