time,.data
2019/02/15/16:01:11.320943,1.17039572449
2019/02/15/16:01:11.431635,1.22239003741
2019/02/15/16:01:11.542761,1.39439470133
2019/02/15/16:01:11.655550,1.63139416374
2019/02/15/16:01:11.766633,1.9553915939
2019/02/15/16:01:11.881682,2.09539095442
2019/02/15/16:01:11.994215,2.18739380393
2019/02/15/16:01:12.112872,2.3253942635
2019/02/15/16:01:12.223841,2.63439230713
2019/02/15/16:01:12.336660,3.01538893196
2019/02/15/16:01:12.449605,3.41539037462
2019/02/15/16:01:12.564802,3.63938935146
2019/02/15/16:01:12.684770,3.67339355581
2019/02/15/16:01:12.797809,3.33438910974
2019/02/15/16:01:12.909417,2.97039077238
2019/02/15/16:01:13.021374,2.68038991718
2019/02/15/16:01:13.131929,2.4783941096
2019/02/15/16:01:13.244192,2.50939233313
2019/02/15/16:01:13.355859,2.89639329022
2019/02/15/16:01:13.467412,3.42339360782
2019/02/15/16:01:13.583139,4.13139364363
2019/02/15/16:01:13.692913,4.53239453677
2019/02/15/16:01:13.805250,3.9033892355
2019/02/15/16:01:13.916892,2.70339253691
2019/02/15/16:01:14.027968,0.0
2019/02/15/16:01:14.139742,0.0
2019/02/15/16:01:14.252393,0.0
2019/02/15/16:01:14.363266,0.0
2019/02/15/16:01:14.472595,1.49339370417
2019/02/15/16:01:14.587441,4.27639025653
2019/02/15/16:01:14.699947,7.36539413049
2019/02/15/16:01:14.807559,9.01338878275
2019/02/15/16:01:14.918781,9.40238864078
2019/02/15/16:01:15.029101,8.51438833724
2019/02/15/16:01:15.143826,7.18138843146
2019/02/15/16:01:15.250265,5.62738790027
2019/02/15/16:01:15.359272,4.47438826222
2019/02/15/16:01:15.470791,3.80939511443
2019/02/15/16:01:15.587114,3.80939511443
2019/02/15/16:01:15.695535,5.63639058394
2019/02/15/16:01:15.810103,5.63639058394
2019/02/15/16:01:15.919969,9.0633918241
2019/02/15/16:01:16.031899,9.93138785934
2019/02/15/16:01:16.141554,10.0563878333
2019/02/15/16:01:16.251801,9.15739357456
2019/02/15/16:01:16.367799,7.55139110107
2019/02/15/16:01:16.477776,5.74839007236
2019/02/15/16:01:16.593658,5.74839007236
2019/02/15/16:01:16.703915,4.57739269635
2019/02/15/16:01:16.813174,4.30039232673
2019/02/15/16:01:16.926192,5.27838894944
2019/02/15/16:01:17.031782,7.32138779198
2019/02/15/16:01:17.140561,9.48239045519
2019/02/15/16:01:17.253435,10.986387945
2019/02/15/16:01:17.363174,11.8673920952
2019/02/15/16:01:17.472798,12.0963883245
2019/02/15/16:01:17.583722,11.6343904347
2019/02/15/16:01:17.695419,10.5773914481
2019/02/15/16:01:17.810139,8.67739031749
2019/02/15/16:01:17.920938,7.4693903857
2019/02/15/16:01:18.034203,6.7933880239
2019/02/15/16:01:18.145353,6.89339410661
2019/02/15/16:01:18.263603,7.73638862117
2019/02/15/16:01:18.373941,8.7293922598
2019/02/15/16:01:18.490975,9.65038968782
2019/02/15/16:01:18.600559,10.6873920356
2019/02/15/16:01:18.710810,10.3893879472
2019/02/15/16:01:18.821406,9.58338835899
2019/02/15/16:01:18.930355,8.44238975603
2019/02/15/16:01:19.045229,7.62039133085
2019/02/15/16:01:19.152277,7.47338818761
2019/02/15/16:01:19.263181,7.98838747011
2019/02/15/16:01:19.373252,8.67339251559
2019/02/15/16:01:19.484560,9.44738680037
2019/02/15/16:01:19.598874,9.44738680037
2019/02/15/16:01:19.711764,10.113387028
2019/02/15/16:01:19.824197,8.74738999775
2019/02/15/16:01:19.938321,8.74738999775
2019/02/15/16:01:20.050432,5.63639058394
2019/02/15/16:01:20.165753,5.63639058394
2019/02/15/16:01:20.279556,5.1833877485
2019/02/15/16:01:20.392357,6.3103940448
2019/02/15/16:01:20.505398,8.08739410235
2019/02/15/16:01:20.617511,10.3683918578
2019/02/15/16:01:20.728914,11.6513887222
2019/02/15/16:01:20.846247,12.1473908163
2019/02/15/16:01:20.959792,12.0413880307
2019/02/15/16:01:21.073446,11.329390193
2019/02/15/16:01:21.190317,10.1373890982
2019/02/15/16:01:21.301278,9.18639289714
2019/02/15/16:01:21.418734,8.5483925416
2019/02/15/16:01:21.530406,8.79338760781
2019/02/15/16:01:21.645681,9.77139185991
2019/02/15/16:01:21.754031,10.8003909744
2019/02/15/16:01:21.863343,11.9403901269
2019/02/15/16:01:21.976487,12.5113891536
2019/02/15/16:01:22.092307,12.5823882844
2019/02/15/16:01:22.204933,12.127386548
2019/02/15/16:01:22.315269,11.3073870238
2019/02/15/16:01:22.426845,10.5013874356
2019/02/15/16:01:22.539264,10.0633916161
2019/02/15/16:01:22.649648,10.1243886126
2019/02/15/16:01:22.758903,11.1143938998
2019/02/15/16:01:22.869144,11.8763871495
2019/02/15/16:01:22.979562,12.4003891157
2019/02/15/16:01:23.089069,12.4453872753
2019/02/15/16:01:23.201387,12.2073883624
2019/02/15/16:01:23.311715,11.8203874053
2019/02/15/16:01:23.423305,11.4233919435
2019/02/15/16:01:23.536163,11.158392609
2019/02/15/16:01:23.650908,11.0113894657
2019/02/15/16:01:23.761951,10.9653918556
2019/02/15/16:01:23.875919,11.0343920854
2019/02/15/16:01:23.988454,11.2263933883
2019/02/15/16:01:24.096185,11.4493929146
2019/02/15/16:01:24.209285,11.6473909203
2019/02/15/16:01:24.323705,11.8713898971
2019/02/15/16:01:24.432514,11.9143891558
2019/02/15/16:01:24.543993,11.4983888761
2019/02/15/16:01:24.654074,10.7583911663
2019/02/15/16:01:24.764889,9.94238944397
2019/02/15/16:01:24.878392,9.72238826903
2019/02/15/16:01:24.991643,9.96839041512
2019/02/15/16:01:25.103190,10.5883930327
2019/02/15/16:01:25.214720,11.1963869858
2019/02/15/16:01:25.327579,11.5403886843
2019/02/15/16:01:25.437459,11.4973894256
2019/02/15/16:01:25.551247,11.1193911522
2019/02/15/16:01:25.659549,10.6433933264
2019/02/15/16:01:25.781746,10.0873936863
2019/02/15/16:01:25.890963,10.2053898775
2019/02/15/16:01:26.002875,10.9233920475
2019/02/15/16:01:26.118357,11.6773896934
2019/02/15/16:01:26.231583,12.5323928724
2019/02/15/16:01:26.340006,12.9563887559
2019/02/15/16:01:26.449486,12.8243926286
2019/02/15/16:01:26.562966,12.1163925928
2019/02/15/16:01:26.675416,11.3193880589
2019/02/15/16:01:26.784530,10.6943881889
2019/02/15/16:01:26.895769,10.3193882669
2019/02/15/16:01:27.010372,10.5503910265
2019/02/15/16:01:27.120969,11.4493929146
2019/02/15/16:01:27.230343,12.5243896392
2019/02/15/16:01:27.340279,13.7843915133
2019/02/15/16:01:27.449621,14.4673900284
2019/02/15/16:01:27.560801,14.6643885837
2019/02/15/16:01:27.670739,14.3763866294
2019/02/15/16:01:27.782533,13.2563917452
2019/02/15/16:01:27.893616,12.3843902787
2019/02/15/16:01:28.006959,11.6743913419
2019/02/15/16:01:28.115189,11.4623934002
