time,.data
2019/02/15/16:01:10.313604,0.0
2019/02/15/16:01:10.423939,0.0
2019/02/15/16:01:10.539370,0.0
2019/02/15/16:01:10.646422,0.0
2019/02/15/16:01:10.765560,0.0
2019/02/15/16:01:10.876051,0.0
2019/02/15/16:01:10.986169,0.0533239096403
2019/02/15/16:01:11.098486,0.0654835477471
2019/02/15/16:01:11.211308,0.0542518533766
2019/02/15/16:01:11.319632,0.0
2019/02/15/16:01:11.429959,0.0
2019/02/15/16:01:11.541501,0.0
2019/02/15/16:01:11.655514,0.0
2019/02/15/16:01:11.765650,0.0648424103856
2019/02/15/16:01:11.881501,0.0678684189916
2019/02/15/16:01:11.993731,0.0560995154083
2019/02/15/16:01:12.112790,-1.35782284811
2019/02/15/16:01:12.223767,-1.36692558751
2019/02/15/16:01:12.336944,-1.36392319724
2019/02/15/16:01:12.449180,-1.355528602
2019/02/15/16:01:12.564733,-1.35144961774
2019/02/15/16:01:12.685110,-1.35617250353
2019/02/15/16:01:12.797764,-1.36458921954
2019/02/15/16:01:12.909445,-1.35963340625
2019/02/15/16:01:13.020429,-1.35923674479
2019/02/15/16:01:13.131866,-1.32868639529
2019/02/15/16:01:13.242659,-1.25914818943
2019/02/15/16:01:13.353925,-1.18188535571
2019/02/15/16:01:13.466128,-1.12260129452
2019/02/15/16:01:13.581260,-1.04333185554
2019/02/15/16:01:13.693861,-0.972251617908
2019/02/15/16:01:13.804282,-0.870742821693
2019/02/15/16:01:13.915843,-0.813012444973
2019/02/15/16:01:14.026707,-0.758602881432
2019/02/15/16:01:14.139032,-0.695689582825
2019/02/15/16:01:14.250815,-0.641214692593
2019/02/15/16:01:14.361907,-0.572820627689
2019/02/15/16:01:14.472558,-0.583804988861
2019/02/15/16:01:14.587380,-0.559942269325
2019/02/15/16:01:14.699881,-0.553053402901
2019/02/15/16:01:14.807489,-0.556279265881
2019/02/15/16:01:14.917440,-0.611525380611
2019/02/15/16:01:15.028693,-0.606052541733
2019/02/15/16:01:15.138331,-0.546311223507
2019/02/15/16:01:15.250067,-0.519677066803
2019/02/15/16:01:15.358975,-0.493665421009
2019/02/15/16:01:15.470846,-0.470232510567
2019/02/15/16:01:15.585130,-0.470232510567
2019/02/15/16:01:15.697401,-0.404933238029
2019/02/15/16:01:15.808786,-0.404933238029
2019/02/15/16:01:15.918869,-0.375298643112
2019/02/15/16:01:16.028472,-0.42195417881
2019/02/15/16:01:16.141193,-0.434360945225
2019/02/15/16:01:16.251674,-0.391523742676
2019/02/15/16:01:16.365230,-0.374606752396
2019/02/15/16:01:16.475866,-0.377667450905
2019/02/15/16:01:16.593394,-0.377667450905
2019/02/15/16:01:16.704032,-0.379003787041
2019/02/15/16:01:16.813433,-0.352461004257
2019/02/15/16:01:16.923727,-0.330854558945
2019/02/15/16:01:17.031632,-0.3199655056
2019/02/15/16:01:17.140716,-0.332931542397
2019/02/15/16:01:17.252278,-0.358898305893
2019/02/15/16:01:17.362113,-0.400593900681
2019/02/15/16:01:17.472716,-0.425955915451
2019/02/15/16:01:17.582691,-0.444954299927
2019/02/15/16:01:17.694384,-0.417864584923
2019/02/15/16:01:17.811195,-0.407676959038
2019/02/15/16:01:17.923848,-0.382272148132
2019/02/15/16:01:18.033834,-0.331028604507
2019/02/15/16:01:18.147342,-0.315907859802
2019/02/15/16:01:18.261332,-0.305001878738
2019/02/15/16:01:18.375621,-0.306793355942
2019/02/15/16:01:18.491551,-0.31489982605
2019/02/15/16:01:18.600150,-0.339637899399
2019/02/15/16:01:18.709976,-0.336885356903
2019/02/15/16:01:18.820891,-0.333118224144
2019/02/15/16:01:18.931923,-0.330311560631
2019/02/15/16:01:19.046394,-0.33655371666
2019/02/15/16:01:19.151636,-0.355333590508
2019/02/15/16:01:19.263271,-0.363126778603
2019/02/15/16:01:19.373320,-0.358903074265
2019/02/15/16:01:19.484677,-0.340002202988
2019/02/15/16:01:19.599048,-0.340002202988
2019/02/15/16:01:19.711696,-0.318235778809
2019/02/15/16:01:19.822951,-0.294946694374
2019/02/15/16:01:19.938402,-0.263823890686
2019/02/15/16:01:20.050146,-0.274928951263
2019/02/15/16:01:20.164768,-0.274928951263
2019/02/15/16:01:20.278874,-0.283618712425
2019/02/15/16:01:20.390956,-0.27791967392
2019/02/15/16:01:20.503264,-0.286451601982
2019/02/15/16:01:20.616589,-0.304998660088
2019/02/15/16:01:20.728665,-0.279836797714
2019/02/15/16:01:20.842655,-0.288835668564
2019/02/15/16:01:20.958711,-0.30877187252
2019/02/15/16:01:21.072886,-0.322465920448
2019/02/15/16:01:21.190245,-0.336421751976
2019/02/15/16:01:21.299738,-0.334151530266
2019/02/15/16:01:21.417711,-0.324409031868
2019/02/15/16:01:21.528976,-0.316435956955
2019/02/15/16:01:21.644754,-0.281857872009
2019/02/15/16:01:21.751965,-0.275695943832
2019/02/15/16:01:21.863265,-0.272467279434
2019/02/15/16:01:21.979789,-0.280809307098
2019/02/15/16:01:22.092069,-0.299772763252
2019/02/15/16:01:22.202151,-0.301646852493
2019/02/15/16:01:22.315332,-0.315395617485
2019/02/15/16:01:22.427590,-0.328760290146
2019/02/15/16:01:22.538156,-0.331257724762
