time,.x,.y,.theta
2019/02/15/16:35:10.528938,-1.1213684082,-0.0673283934593,0.37943449645
2019/02/15/16:35:10.632064,-1.1213684082,-0.0673283934593,0.347337885932
2019/02/15/16:35:10.756156,-1.1213684082,-0.0673283934593,0.324962776767
2019/02/15/16:35:10.856386,-1.1213684082,-0.0673283934593,0.296287029248
2019/02/15/16:35:10.980343,-1.1213684082,-0.0673283934593,0.272794907331
2019/02/15/16:35:11.098795,-1.12620222569,-0.128822922707,0.245236155919
2019/02/15/16:35:11.207329,-1.12620222569,-0.128822922707,0.218096303016
2019/02/15/16:35:11.326682,-1.35155975819,-0.128822922707,0.193085730184
2019/02/15/16:35:11.458821,-1.35155975819,-0.128822922707,0.16409582959
2019/02/15/16:35:11.571960,-1.35155975819,-0.128822922707,0.133325672757
2019/02/15/16:35:11.681030,-1.35155975819,-0.128822922707,0.106465060558
2019/02/15/16:35:11.796324,-1.35155975819,-0.128822922707,0.0797615332183
2019/02/15/16:35:11.904910,-1.35639369488,-0.190317481756,0.0516268275679
2019/02/15/16:35:12.019809,-1.35639369488,-0.190317481756,0.024696403112
2019/02/15/16:35:12.130078,-1.35639369488,-0.190317481756,-0.0034033912085
2019/02/15/16:35:12.254654,-1.35639369488,-0.190317481756,-0.0301941901107
2019/02/15/16:35:12.366269,-1.35639369488,-0.190317481756,-0.0607723538752
2019/02/15/16:35:12.511863,-1.58175110817,-0.190317481756,-0.0881216518716
2019/02/15/16:35:12.629018,-1.58175110817,-0.190317481756,-0.124075434306
2019/02/15/16:35:12.730425,-1.58175110817,-0.190317481756,-0.154618689862
2019/02/15/16:35:12.847936,-1.58175110817,-0.190317481756,-0.180641546658
2019/02/15/16:35:12.954887,-1.58175110817,-0.190317481756,-0.209997964721
2019/02/15/16:35:13.079957,-1.58175110817,-0.190317481756,-0.236387338985
2019/02/15/16:35:13.182586,-1.58175110817,-0.190317481756,-0.265342352176
2019/02/15/16:35:13.304092,-1.58175110817,-0.190317481756,-0.292272780793
2019/02/15/16:35:13.406445,-1.58175110817,-0.190317481756,-0.32384578066
2019/02/15/16:35:13.554278,-1.58175110817,-0.190317481756,-0.348367630243
2019/02/15/16:35:13.671623,-1.58175110817,-0.190317481756,-0.385996923485
2019/02/15/16:35:13.779627,-1.58175110817,-0.190317481756,-0.415353374837
2019/02/15/16:35:13.897361,-1.58175110817,-0.190317481756,-0.442650304278
2019/02/15/16:35:14.000690,-1.58175110817,-0.190317481756,-0.471500588681
2019/02/15/16:35:14.109409,-1.58175110817,-0.190317481756,-0.496423909715
2019/02/15/16:35:14.226141,-1.58175110817,-0.190317481756,-0.523808090953
2019/02/15/16:35:14.327361,-1.58658492565,-0.251812040806,-0.558173647668
2019/02/15/16:35:14.461428,-1.81194233894,-0.251812040806,-0.592434442306
2019/02/15/16:35:14.576705,-1.81194233894,-0.251812040806,-0.641006961795
2019/02/15/16:35:14.686649,-1.81194233894,-0.251812040806,-0.685739736423
2019/02/15/16:35:14.803774,-1.81677627563,-0.313306570053,-0.726580435087
2019/02/15/16:35:14.921166,-1.81677627563,-0.313306570053,-0.770143815924
2019/02/15/16:35:15.029075,-1.82161009312,-0.3748010993,-0.81204917959
2019/02/15/16:35:15.146083,-1.82161009312,-0.3748010993,-0.848648728521
2019/02/15/16:35:15.255197,-1.82644402981,-0.436295628548,-0.886644505941
2019/02/15/16:35:15.372237,-1.82644402981,-0.436295628548,-0.920329358823
2019/02/15/16:35:15.509136,-1.83127784729,-0.4977902174,-0.954328398069
2019/02/15/16:35:15.639756,-1.83127784729,-0.4977902174,-0.992167115597
2019/02/15/16:35:15.751499,-1.83611178398,-0.559284746647,-1.02545056361
2019/02/15/16:35:15.858161,-1.84094560146,-0.620779275894,-1.05260787686
2019/02/15/16:35:15.979765,-1.84094560146,-0.620779275894,-1.07770570149
2019/02/15/16:35:16.086794,-1.84577953815,-0.682273864746,-1.10545643348
2019/02/15/16:35:16.203280,-1.85061335564,-0.743768393993,-1.12791879444
2019/02/15/16:35:16.310835,-1.85061335564,-0.743768393993,-1.15038122199
2019/02/15/16:35:16.459697,-1.85544729233,-0.805262923241,-1.16956236943
2019/02/15/16:35:16.575873,-1.86028110981,-0.866757512093,-1.19500926783
2019/02/15/16:35:16.678393,-1.8651150465,-0.928251981735,-1.21371916901
2019/02/15/16:35:16.781820,-1.8651150465,-0.928251981735,-1.22956670526
2019/02/15/16:35:16.898867,-1.86994886398,-0.989746570587,-1.24523980449
2019/02/15/16:35:17.002104,-1.87478280067,-1.05124104023,-1.26288510725
2019/02/15/16:35:17.105322,-1.87478280067,-1.05124104023,-1.27765060137
2019/02/15/16:35:17.221013,-1.87961661816,-1.11273562908,-1.29184005386
2019/02/15/16:35:17.328869,-1.88445043564,-1.17423021793,-1.30592484415
2019/02/15/16:35:17.473952,-1.88928437233,-1.23572468758,-1.31800254349
2019/02/15/16:35:17.594466,-1.89411818981,-1.29721927643,-1.3330821574
2019/02/15/16:35:17.705142,-1.8989521265,-1.35871386528,-1.34451417347
2019/02/15/16:35:17.822683,-1.90378594398,-1.42020833492,-1.35447998651
2019/02/15/16:35:17.925025,-1.90861988068,-1.48170292377,-1.36470758824
2019/02/15/16:35:18.026673,-1.91345369816,-1.54319751263,-1.373172444
2019/02/15/16:35:18.129272,-1.91345369816,-1.54319751263,-1.38123582831
2019/02/15/16:35:18.247140,-1.91828763485,-1.60469198227,-1.38929921263
2019/02/15/16:35:18.356521,-1.92312145233,-1.66618657112,-1.39881135627
2019/02/15/16:35:18.491843,-1.92795538902,-1.72768104076,-1.40755544442
2019/02/15/16:35:18.599752,-1.9327892065,-1.78917562962,-1.41757358856
2019/02/15/16:35:18.702224,-2.16298055649,-1.85067021847,-1.4242057904
2019/02/15/16:35:18.803464,-2.16781449318,-1.91216480732,-1.43029697118
2019/02/15/16:35:18.905497,-2.17264842987,-1.97365915775,-1.43687697508
2019/02/15/16:35:19.021166,-2.17748236656,-2.03515386581,-1.44439933833
2019/02/15/16:35:19.124905,-2.18231606483,-2.09664821625,-1.45331786349
2019/02/15/16:35:19.228646,-2.18715000153,-2.15814304352,-1.46136393726
2019/02/15/16:35:19.335608,-2.19198393822,-2.21963739395,-1.46881639254
2019/02/15/16:35:19.438646,-2.19198393822,-2.21963739395,-1.47609441081
2019/02/15/16:35:19.518253,-2.19681787491,-2.28113174438,-1.48316297151
2019/02/15/16:35:19.629373,-2.20165157318,-2.34262657166,-1.48845134254
2019/02/15/16:35:19.748411,-2.20648550987,-2.40412092209,-1.49581671248
2019/02/15/16:35:19.854889,-2.20648550987,-2.40412092209,-1.50337396313
2019/02/15/16:35:19.973716,-2.21131944656,-2.46561574936,-1.51028539735
2019/02/15/16:35:20.080326,-2.21615314484,-2.52711009979,-1.51690028865
2019/02/15/16:35:20.199845,-2.22098708153,-2.58860492706,-1.52187440674
2019/02/15/16:35:20.301793,-2.23065495491,-2.71159362793,-1.52611562306
2019/02/15/16:35:20.400117,-2.23548865318,-2.7730884552,-1.5294316574
2019/02/15/16:35:20.551294,-2.46568012238,-2.83458280563,-1.53287006396
2019/02/15/16:35:20.659940,-2.47051405907,-2.8960776329,-1.53951970951
2019/02/15/16:35:20.779533,-2.47534799576,-2.95757198334,-1.54552367178
2019/02/15/16:35:20.892074,-2.48501563072,-3.08056116104,-1.55308092243
2019/02/15/16:35:21.003811,-2.27686929703,-3.23138046265,-1.56041127181
2019/02/15/16:35:21.103228,-2.28170323372,-3.2928750515,-1.56725293122
2019/02/15/16:35:21.221906,-2.28653693199,-3.35436964035,-1.57296021741
2019/02/15/16:35:21.334359,-2.29137086868,-3.41586399078,-1.5786849473
2019/02/15/16:35:21.474672,-2.29620480537,-3.47735857964,-1.58215810811
2019/02/15/16:35:21.595827,-2.30587244034,-3.60034775734,-1.5845317831
2019/02/15/16:35:21.704179,-2.5408976078,-3.72333669662,-1.58566615633
2019/02/15/16:35:21.806692,-2.54573154449,-3.78483128548,-1.5879002817
2019/02/15/16:35:21.926474,-2.76354551315,-3.75700092316,-1.59194935098
2019/02/15/16:35:22.027947,-2.76837944984,-3.81849575043,-1.60020474917
2019/02/15/16:35:22.133949,-2.77321338654,-3.87999010086,-1.60859983012
2019/02/15/16:35:22.253732,-2.77804708481,-3.94148445129,-1.61727414346
