time,.data
2019/02/15/16:35:12.802936,0.7
2019/02/15/16:35:12.913305,0.7
2019/02/15/16:35:13.021326,0.7
2019/02/15/16:35:13.132448,0.7
2019/02/15/16:35:13.245039,0.7
2019/02/15/16:35:13.355697,0.7
2019/02/15/16:35:13.464979,0.7
2019/02/15/16:35:13.575954,0.7
2019/02/15/16:35:13.685692,0.7
2019/02/15/16:35:13.798055,0.7
2019/02/15/16:35:13.909480,0.7
2019/02/15/16:35:14.019315,0.7
2019/02/15/16:35:14.130183,0.7
2019/02/15/16:35:14.238479,0.7
2019/02/15/16:35:14.347437,0.7
2019/02/15/16:35:14.457069,0.7
2019/02/15/16:35:14.569339,0.7
2019/02/15/16:35:14.681942,0.7
2019/02/15/16:35:14.793536,0.7
2019/02/15/16:35:14.904230,0.7
2019/02/15/16:35:15.014007,0.7
2019/02/15/16:35:15.123074,0.7
2019/02/15/16:35:15.233830,0.7
2019/02/15/16:35:15.343925,0.7
2019/02/15/16:35:15.455417,0.7
2019/02/15/16:35:15.565923,0.7
2019/02/15/16:35:15.675907,0.7
2019/02/15/16:35:15.784942,0.7
2019/02/15/16:35:15.894993,0.7
2019/02/15/16:35:16.005420,0.7
2019/02/15/16:35:16.115378,0.7
2019/02/15/16:35:16.225139,0.7
2019/02/15/16:35:16.334718,0.7
2019/02/15/16:35:16.447645,0.7
2019/02/15/16:35:16.556437,0.7
2019/02/15/16:35:16.665943,0.7
2019/02/15/16:35:16.774900,0.7
2019/02/15/16:35:16.883887,0.7
2019/02/15/16:35:16.992306,0.7
2019/02/15/16:35:17.099602,0.7
2019/02/15/16:35:17.206948,0.7
2019/02/15/16:35:17.315743,0.7
2019/02/15/16:35:17.424334,0.7
2019/02/15/16:35:17.536820,0.7
2019/02/15/16:35:17.650458,0.7
2019/02/15/16:35:17.757805,0.7
2019/02/15/16:35:17.865812,0.7
2019/02/15/16:35:17.981772,0.7
2019/02/15/16:35:18.091140,0.7
2019/02/15/16:35:18.202128,0.7
2019/02/15/16:35:18.315665,0.7
2019/02/15/16:35:18.431933,0.7
2019/02/15/16:35:18.541281,0.7
2019/02/15/16:35:18.657240,0.7
2019/02/15/16:35:18.767073,0.7
2019/02/15/16:35:18.875016,0.7
2019/02/15/16:35:18.990187,0.7
2019/02/15/16:35:19.104054,0.7
2019/02/15/16:35:19.214846,0.7
2019/02/15/16:35:19.325875,0.7
2019/02/15/16:35:19.435674,0.7
2019/02/15/16:35:19.547678,0.7
2019/02/15/16:35:19.657044,0.7
2019/02/15/16:35:19.769211,0.7
2019/02/15/16:35:19.879156,0.7
2019/02/15/16:35:19.990611,0.7
2019/02/15/16:35:20.101827,0.7
