time,.data
2019/02/15/16:35:12.804094,29.9844089727
2019/02/15/16:35:12.913363,29.9828322259
2019/02/15/16:35:13.022740,29.9864932081
2019/02/15/16:35:13.133639,29.9849707954
2019/02/15/16:35:13.245567,29.9835821792
2019/02/15/16:35:13.355017,29.9676952415
2019/02/15/16:35:13.465629,29.9661100851
2019/02/15/16:35:13.575778,29.9670303254
2019/02/15/16:35:13.686690,29.9664165678
2019/02/15/16:35:13.799428,29.9782477222
2019/02/15/16:35:13.909979,29.9764850325
2019/02/15/16:35:14.020591,29.9770547579
2019/02/15/16:35:14.130142,29.9620512511
2019/02/15/16:35:14.239098,29.9627417716
2019/02/15/16:35:14.347425,29.9525579992
2019/02/15/16:35:14.457992,29.9525579992
2019/02/15/16:35:14.570390,29.9483919787
2019/02/15/16:35:14.681661,29.9359357403
2019/02/15/16:35:14.794416,29.9092182253
2019/02/15/16:35:14.903867,29.8951401925
2019/02/15/16:35:15.013597,29.8544361359
2019/02/15/16:35:15.123232,29.8353813413
2019/02/15/16:35:15.233874,29.8117498398
2019/02/15/16:35:15.344354,29.7897234295
2019/02/15/16:35:15.455768,29.747154797
2019/02/15/16:35:15.565884,29.7151728811
2019/02/15/16:35:15.675121,29.6811112496
2019/02/15/16:35:15.784760,29.6253232791
2019/02/15/16:35:15.894487,29.5941594416
2019/02/15/16:35:16.005033,29.5391453911
2019/02/15/16:35:16.114384,29.4827615827
2019/02/15/16:35:16.224885,29.4465831064
2019/02/15/16:35:16.336264,29.4193216426
2019/02/15/16:35:16.447349,29.4193216426
2019/02/15/16:35:16.557134,29.3821041029
2019/02/15/16:35:16.665979,29.3051260726
2019/02/15/16:35:16.775165,29.2668364629
2019/02/15/16:35:16.883580,29.226541569
2019/02/15/16:35:16.990738,29.1880091151
2019/02/15/16:35:17.100137,29.1406267049
2019/02/15/16:35:17.207853,29.0885753402
2019/02/15/16:35:17.315386,29.044202187
2019/02/15/16:35:17.423934,28.9930498904
2019/02/15/16:35:17.536897,28.945634605
2019/02/15/16:35:17.650236,28.853987498
2019/02/15/16:35:17.757773,28.7879936358
2019/02/15/16:35:17.865736,28.7365345813
2019/02/15/16:35:17.981457,28.6793295606
2019/02/15/16:35:18.091905,28.6298788358
2019/02/15/16:35:18.201986,28.5900655825
2019/02/15/16:35:18.315824,28.5395564003
2019/02/15/16:35:18.431648,28.4730981585
2019/02/15/16:35:18.541609,28.4155112059
2019/02/15/16:35:18.657309,28.3529767298
2019/02/15/16:35:18.767230,28.2787777232
2019/02/15/16:35:18.876177,28.2251999693
2019/02/15/16:35:18.992019,28.1720053087
2019/02/15/16:35:19.105204,28.117431412
2019/02/15/16:35:19.215947,28.0560687734
2019/02/15/16:35:19.326537,27.9994704633
2019/02/15/16:35:19.439775,27.9686395988
2019/02/15/16:35:19.548740,27.8558088476
2019/02/15/16:35:19.658036,27.812337043
2019/02/15/16:35:19.770360,27.7826457369
2019/02/15/16:35:19.880147,27.7209924734
2019/02/15/16:35:19.991425,27.6753827613
2019/02/15/16:35:20.102941,27.6036388828
