time,.x,.y,.theta
2019/02/15/16:35:10.440721,25.65334725,-100.29115554,0.428513149599
2019/02/15/16:35:10.440808,25.6533469,-100.29115576,0.403118615597
2019/02/15/16:35:10.527021,25.65334679,-100.29115582,0.37943449645
2019/02/15/16:35:10.628364,25.65334654,-100.29115592,0.347337885932
2019/02/15/16:35:10.753674,25.65334618,-100.29115621,0.324962776767
2019/02/15/16:35:10.855248,25.65334596,-100.2911563,0.296287029248
2019/02/15/16:35:10.978749,25.65334579,-100.29115633,0.272794907331
2019/02/15/16:35:11.096977,25.65334575,-100.29115651,0.245236155919
2019/02/15/16:35:11.206142,25.65334557,-100.29115658,0.218096303016
2019/02/15/16:35:11.326520,25.65334522,-100.29115663,0.193085730184
2019/02/15/16:35:11.457901,25.65334504,-100.2911567,0.16409582959
2019/02/15/16:35:11.570977,25.6533448,-100.2911568,0.133325672757
2019/02/15/16:35:11.679335,25.6533446,-100.29115698,0.106465060558
2019/02/15/16:35:11.796094,25.65334444,-100.29115703,0.0797615332183
2019/02/15/16:35:11.904091,25.65334413,-100.29115707,0.0516268275679
2019/02/15/16:35:12.019093,25.65334398,-100.2911571,0.024696403112
2019/02/15/16:35:12.128955,25.65334376,-100.29115713,-0.0034033912085
2019/02/15/16:35:12.253597,25.65334361,-100.29115716,-0.0301941901107
2019/02/15/16:35:12.365990,25.65334337,-100.29115733,-0.0607723538752
2019/02/15/16:35:12.511464,25.65334315,-100.29115742,-0.0881216518716
2019/02/15/16:35:12.628664,25.65334296,-100.29115747,-0.124075434306
2019/02/15/16:35:12.730253,25.65334275,-100.29115743,-0.154618689862
2019/02/15/16:35:12.847305,25.65334262,-100.29115744,-0.180641546658
2019/02/15/16:35:12.954506,25.65334254,-100.2911574,-0.209997964721
2019/02/15/16:35:13.077771,25.65334242,-100.29115741,-0.236387338985
2019/02/15/16:35:13.180006,25.65334233,-100.29115742,-0.265342352176
2019/02/15/16:35:13.303170,25.65334213,-100.29115757,-0.292272780793
2019/02/15/16:35:13.405841,25.65334199,-100.29115758,-0.32384578066
2019/02/15/16:35:13.552812,25.65334197,-100.29115757,-0.348367630243
2019/02/15/16:35:13.669782,25.65334182,-100.29115757,-0.385996923485
2019/02/15/16:35:13.778560,25.65334177,-100.29115745,-0.415353374837
2019/02/15/16:35:13.895643,25.65334158,-100.29115746,-0.442650304278
2019/02/15/16:35:13.999837,25.65334147,-100.29115745,-0.471500588681
2019/02/15/16:35:14.108881,25.65334148,-100.2911576,-0.496423909715
2019/02/15/16:35:14.225410,25.6533414,-100.29115759,-0.523808090953
2019/02/15/16:35:14.326289,25.65334136,-100.29115769,-0.558173647668
2019/02/15/16:35:14.460783,25.65334132,-100.29115773,-0.592434442306
2019/02/15/16:35:14.576517,25.65334121,-100.29115785,-0.641006961795
2019/02/15/16:35:14.686052,25.65334104,-100.29115811,-0.685739736423
2019/02/15/16:35:14.803109,25.65334103,-100.29115825,-0.726580435087
2019/02/15/16:35:14.919997,25.65334114,-100.29115866,-0.770143815924
2019/02/15/16:35:15.027817,25.65334114,-100.29115885,-0.81204917959
2019/02/15/16:35:15.145858,25.65334099,-100.29115908,-0.848648728521
2019/02/15/16:35:15.254652,25.653341,-100.2911593,-0.886644505941
2019/02/15/16:35:15.371660,25.65334088,-100.29115972,-0.920329358823
2019/02/15/16:35:15.508401,25.65334091,-100.29116004,-0.954328398069
2019/02/15/16:35:15.639780,25.65334092,-100.29116038,-0.992167115597
2019/02/15/16:35:15.751008,25.65334075,-100.29116093,-1.02545056361
2019/02/15/16:35:15.857338,25.65334073,-100.29116124,-1.05260787686
2019/02/15/16:35:15.978569,25.65334077,-100.29116179,-1.07770570149
2019/02/15/16:35:16.085721,25.65334071,-100.29116235,-1.10545643348
2019/02/15/16:35:16.202663,25.65334069,-100.29116271,-1.12791879444
2019/02/15/16:35:16.310451,25.65334064,-100.29116298,-1.15038122199
2019/02/15/16:35:16.459292,25.65334061,-100.29116335,-1.16956236943
2019/02/15/16:35:16.575075,25.6533404,-100.29116411,-1.19500926783
2019/02/15/16:35:16.676601,25.65334035,-100.29116449,-1.21371916901
2019/02/15/16:35:16.779661,25.6533403,-100.29116489,-1.22956670526
2019/02/15/16:35:16.896596,25.65334018,-100.29116527,-1.24523980449
2019/02/15/16:35:17.000874,25.65334011,-100.29116574,-1.26288510725
2019/02/15/16:35:17.104654,25.65334014,-100.29116626,-1.27765060137
2019/02/15/16:35:17.219187,25.65334007,-100.2911667,-1.29184005386
2019/02/15/16:35:17.328570,25.65334007,-100.29116721,-1.30592484415
2019/02/15/16:35:17.472685,25.65333999,-100.29116768,-1.31800254349
2019/02/15/16:35:17.593900,25.65333988,-100.29116859,-1.3330821574
