time,.x,.y,.z
2019/02/15/16:35:10.632029,-0.198379814625,-0.00156583636999,-0.219378992915
2019/02/15/16:35:10.755560,-0.204629808664,-0.00914579629898,-0.226346001029
2019/02/15/16:35:10.856323,-0.20091073215,-0.0108109489083,-0.229822993279
2019/02/15/16:35:10.980291,-0.19197422266,-0.0106721632183,-0.227388992906
2019/02/15/16:35:11.098377,-0.175600394607,-0.0179024226964,-0.222870007157
2019/02/15/16:35:11.206378,-0.169086501002,-0.0188613124192,-0.228440999985
2019/02/15/16:35:11.326647,-0.174066662788,-0.0199697613716,-0.235330998898
2019/02/15/16:35:11.458785,-0.171441555023,-0.0253335572779,-0.235163003206
2019/02/15/16:35:11.571918,-0.169722855091,-0.0317200794816,-0.236432999372
2019/02/15/16:35:11.681012,-0.166820988059,-0.036479473114,-0.239801004529
2019/02/15/16:35:11.796286,-0.159926965833,-0.0303540080786,-0.24255399406
2019/02/15/16:35:11.904751,-0.159389197826,-0.0228052772582,-0.244109004736
2019/02/15/16:35:12.019636,-0.154570385814,-0.0211895164102,-0.243500992656
2019/02/15/16:35:12.129876,-0.151914030313,-0.0255171693861,-0.242320999503
2019/02/15/16:35:12.254429,-0.149025946856,-0.0345147661865,-0.241600006819
2019/02/15/16:35:12.366195,-0.146477743983,-0.0459812059999,-0.245976999402
2019/02/15/16:35:12.511764,-0.146161705256,-0.0500575788319,-0.249890998006
2019/02/15/16:35:12.628943,-0.142280995846,-0.0469693914056,-0.25363099575
2019/02/15/16:35:12.730413,-0.140652135015,-0.0391276814044,-0.253782004118
2019/02/15/16:35:12.847898,-0.136729478836,-0.0361531749368,-0.25203499198
2019/02/15/16:35:12.954775,-0.127079814672,-0.0321981422603,-0.244992002845
2019/02/15/16:35:13.078600,-0.122531414032,-0.0336311422288,-0.243341997266
2019/02/15/16:35:13.182300,-0.11668138206,-0.0358532518148,-0.247604995966
2019/02/15/16:35:13.304003,-0.117105767131,-0.0446344912052,-0.251307010651
2019/02/15/16:35:13.406194,-0.115015231073,-0.0438805110753,-0.253086000681
2019/02/15/16:35:13.554008,-0.107409365475,-0.0411367155612,-0.250954985619
2019/02/15/16:35:13.671199,-0.099677272141,-0.0415865853429,-0.249549001455
2019/02/15/16:35:13.779631,-0.0916849970818,-0.0349694304168,-0.24794100225
2019/02/15/16:35:13.896974,-0.0902211293578,-0.0361268632114,-0.245775997639
2019/02/15/16:35:14.000116,-0.0918667912483,-0.0333690457046,-0.244387999177
2019/02/15/16:35:14.109221,-0.0865369439125,-0.0355015136302,-0.242326006293
2019/02/15/16:35:14.225943,-0.0715056806803,-0.0401489436626,-0.264993011951
2019/02/15/16:35:14.327312,-0.0348967574537,-0.0536210499704,-0.31735599041
2019/02/15/16:35:14.461185,-0.000557936728001,-0.0618521496654,-0.351287990808
2019/02/15/16:35:14.576690,0.0382098257542,-0.0762955397367,-0.376195997
2019/02/15/16:35:14.686553,0.0662095323205,-0.0982919037342,-0.376437008381
2019/02/15/16:35:14.803664,0.0870248526335,-0.109957613051,-0.374684005976
2019/02/15/16:35:14.920791,0.111355006695,-0.117677785456,-0.362109988928
2019/02/15/16:35:15.029063,0.125432804227,-0.114785090089,-0.348172008991
2019/02/15/16:35:15.146051,0.134801641107,-0.114745438099,-0.333992004395
2019/02/15/16:35:15.255052,0.151236832142,-0.110437437892,-0.314906001091
2019/02/15/16:35:15.372190,0.169955790043,-0.121786832809,-0.297109007835
2019/02/15/16:35:15.509098,0.192185506225,-0.130052760243,-0.280470997095
2019/02/15/16:35:15.639718,0.213232800364,-0.141674891114,-0.26633399725
2019/02/15/16:35:15.751459,0.232795909047,-0.159956425428,-0.250945985317
2019/02/15/16:35:15.857999,0.243881419301,-0.159771353006,-0.237579002976
2019/02/15/16:35:15.979723,0.264616519213,-0.160359337926,-0.228907003999
2019/02/15/16:35:16.086759,0.287727415562,-0.16461455822,-0.214302003384
2019/02/15/16:35:16.203246,0.302240848541,-0.165488600731,-0.202527999878
2019/02/15/16:35:16.310759,0.309415012598,-0.167905777693,-0.189110994339
2019/02/15/16:35:16.459656,0.317990392447,-0.16966766119,-0.178029000759
2019/02/15/16:35:16.575838,0.33214610815,-0.182644307613,-0.160310000181
2019/02/15/16:35:16.677985,0.339728474617,-0.182243198156,-0.156050994992
2019/02/15/16:35:16.781025,0.350385576487,-0.181733191013,-0.152179002762
2019/02/15/16:35:16.897537,0.359479159117,-0.185730308294,-0.148436993361
2019/02/15/16:35:17.002047,0.369761675596,-0.18685105443,-0.145053997636
2019/02/15/16:35:17.105055,0.381855100393,-0.188379153609,-0.141374006867
2019/02/15/16:35:17.220894,0.388330131769,-0.191323578358,-0.128369003534
2019/02/15/16:35:17.328822,0.399852186441,-0.191348463297,-0.117922000587
2019/02/15/16:35:17.473900,0.410815805197,-0.19287930429,-0.108975999057
2019/02/15/16:35:17.594348,0.430965811014,-0.19599622488,-0.0977950021625
2019/02/15/16:35:17.704835,0.440974265337,-0.192851543427,-0.0885320007801
2019/02/15/16:35:17.822002,0.443110615015,-0.19669021666,-0.0877730026841
2019/02/15/16:35:17.924750,0.449174612761,-0.197086513042,-0.0826509967446
2019/02/15/16:35:18.026285,0.456905245781,-0.198573857546,-0.0790409967303
2019/02/15/16:35:18.129232,0.459930479527,-0.203305244446,-0.0794320032001
2019/02/15/16:35:18.247065,0.46870136261,-0.204968363047,-0.0786079987884
2019/02/15/16:35:18.356368,0.480440676212,-0.208294808865,-0.0797619968653
2019/02/15/16:35:18.491792,0.487188756466,-0.210981205106,-0.0747210010886
2019/02/15/16:35:18.599554,0.489655703306,-0.210195749998,-0.0672110021114
2019/02/15/16:35:18.702146,0.495221883059,-0.219691351056,-0.0609450004995
2019/02/15/16:35:18.803216,0.496840834618,-0.221761584282,-0.0626579970121
2019/02/15/16:35:18.905453,0.501262366772,-0.218888148665,-0.0677959993482
