time,.data
2019/02/15/16:35:12.859199,83.5133403865
2019/02/15/16:35:12.969652,80.3117124357
2019/02/15/16:35:13.083537,80.2937324564
2019/02/15/16:35:13.193244,77.0963111643
2019/02/15/16:35:13.304419,77.0765123938
2019/02/15/16:35:13.417998,73.681468728
2019/02/15/16:35:13.529727,73.6506062043
2019/02/15/16:35:13.639835,72.2411139725
2019/02/15/16:35:13.750532,70.0519662585
2019/02/15/16:35:13.859378,68.358046278
2019/02/15/16:35:13.972060,66.7521451051
2019/02/15/16:35:14.082224,65.0747731331
2019/02/15/16:35:14.188555,63.6500362081
2019/02/15/16:35:14.297898,62.0632853934
2019/02/15/16:35:14.409831,60.086137624
2019/02/15/16:35:14.520781,58.1231386885
2019/02/15/16:35:14.630304,55.3315708285
2019/02/15/16:35:14.743843,52.7450671846
2019/02/15/16:35:14.851633,50.3692057479
2019/02/15/16:35:14.966866,47.871935677
2019/02/15/16:35:15.075997,45.4981025874
2019/02/15/16:35:15.184470,43.4024020925
2019/02/15/16:35:15.294756,41.1936553472
2019/02/15/16:35:15.405561,39.2673628042
2019/02/15/16:35:15.519376,39.243487746
2019/02/15/16:35:15.632509,37.3043152383
2019/02/15/16:35:15.743029,35.1408367646
2019/02/15/16:35:15.861805,33.1995478336
2019/02/15/16:35:15.971546,31.6411341059
2019/02/15/16:35:16.082267,30.2157637916
2019/02/15/16:35:16.192835,28.6160430709
2019/02/15/16:35:16.298602,27.326952964
2019/02/15/16:35:16.410342,26.0304988606
2019/02/15/16:35:16.523555,24.9315000658
2019/02/15/16:35:16.629575,23.4692021355
2019/02/15/16:35:16.745084,22.3548053147
2019/02/15/16:35:16.854197,21.4379729224
2019/02/15/16:35:16.964332,20.5312413725
2019/02/15/16:35:17.074168,19.4954725696
2019/02/15/16:35:17.186003,18.6365734984
2019/02/15/16:35:17.296255,17.8337248469
2019/02/15/16:35:17.412842,17.013587235
2019/02/15/16:35:17.522648,16.3248434648
2019/02/15/16:35:17.634552,15.4455506397
2019/02/15/16:35:17.744736,14.7710945327
2019/02/15/16:35:17.855610,14.2180740085
2019/02/15/16:35:17.966276,13.6145927844
2019/02/15/16:35:18.076745,13.1309011739
2019/02/15/16:35:18.190178,12.6511989201
2019/02/15/16:35:18.311065,12.1430077788
2019/02/15/16:35:18.418663,11.5755503805
2019/02/15/16:35:18.530041,11.0599616002
2019/02/15/16:35:18.640217,10.4591099766
2019/02/15/16:35:18.755087,10.0571161689
2019/02/15/16:35:18.865389,9.63747070795
2019/02/15/16:35:18.982492,9.23061089556
2019/02/15/16:35:19.088044,8.80021481824
2019/02/15/16:35:19.199172,8.25925321931
2019/02/15/16:35:19.315064,7.7874304783
2019/02/15/16:35:19.425139,7.32800583294
2019/02/15/16:35:19.533983,6.44365815005
2019/02/15/16:35:19.645890,6.10361667091
2019/02/15/16:35:19.757643,6.07481027477
2019/02/15/16:35:19.868219,5.16400264918
2019/02/15/16:35:19.980303,5.12148062775
2019/02/15/16:35:20.092706,4.30066365015
2019/02/15/16:35:20.205905,4.24860554484
2019/02/15/16:35:20.320463,3.67977539935
2019/02/15/16:35:20.432961,3.46955720121
2019/02/15/16:35:20.536593,3.43074635321
2019/02/15/16:35:20.650933,3.23374016861
2019/02/15/16:35:20.760818,2.8355864073
2019/02/15/16:35:20.874395,2.42918167653
2019/02/15/16:35:20.977163,1.92837556448
2019/02/15/16:35:21.087220,1.45046210897
2019/02/15/16:35:21.196400,0.0
2019/02/15/16:35:21.305267,0.0
