time,.data
2019/02/15/16:51:32.272048,-1.52044404657
2019/02/15/16:51:32.383963,-1.52077801306
2019/02/15/16:51:32.494770,-1.52137448029
2019/02/15/16:51:32.612373,-1.52186204081
2019/02/15/16:51:32.719251,-1.52238001678
2019/02/15/16:51:32.827690,-1.52340732376
2019/02/15/16:51:32.942329,-1.52408248676
2019/02/15/16:51:33.050952,-1.52468009383
2019/02/15/16:51:33.161190,-1.52468009383
2019/02/15/16:51:33.270903,-1.52647838202
2019/02/15/16:51:33.384574,-1.52647838202
2019/02/15/16:51:33.493428,-1.52694126539
2019/02/15/16:51:33.601917,-1.52786895494
2019/02/15/16:51:33.711523,-1.52870299817
2019/02/15/16:51:33.821283,-1.52975270302
2019/02/15/16:51:33.931502,-1.53046515764
2019/02/15/16:51:34.040837,-1.53129889159
2019/02/15/16:51:34.151479,-1.53315296396
2019/02/15/16:51:34.262855,-1.53422321941
2019/02/15/16:51:34.372524,-1.53501508428
2019/02/15/16:51:34.483328,-1.53627668392
2019/02/15/16:51:34.593759,-1.53867614039
2019/02/15/16:51:34.703499,-1.54075121531
2019/02/15/16:51:34.814997,-1.54270345984
2019/02/15/16:51:34.925102,-1.54406611925
2019/02/15/16:51:35.035113,-1.54585488607
2019/02/15/16:51:35.145158,-1.54803086347
2019/02/15/16:51:35.254678,-1.5500438612
2019/02/15/16:51:35.364620,-1.55201587546
2019/02/15/16:51:35.473604,-1.55402330857
2019/02/15/16:51:35.583316,-1.55595863414
2019/02/15/16:51:35.692774,-1.5576930177
2019/02/15/16:51:35.804107,-1.56023587545
2019/02/15/16:51:35.913984,-1.56223877369
2019/02/15/16:51:36.021670,-1.565130331
2019/02/15/16:51:36.131448,-1.56717276075
2019/02/15/16:51:36.241702,-1.56890880502
2019/02/15/16:51:36.350230,-1.5711853094
2019/02/15/16:51:36.460680,-1.57354206139
2019/02/15/16:51:36.573117,-1.57543648456
2019/02/15/16:51:36.681864,-1.57834203741
2019/02/15/16:51:36.793822,-1.58066703309
2019/02/15/16:51:36.902992,-1.58296144653
2019/02/15/16:51:37.012421,-1.58502216477
2019/02/15/16:51:37.121486,-1.58822294599
2019/02/15/16:51:37.231827,-1.59029756838
2019/02/15/16:51:37.345954,-1.59214566217
2019/02/15/16:51:37.456613,-1.5943874745
2019/02/15/16:51:37.567347,-1.5943874745
2019/02/15/16:51:37.682662,-1.59635099732
2019/02/15/16:51:37.793541,-1.59963001979
2019/02/15/16:51:37.904490,-1.60098228827
2019/02/15/16:51:38.017583,-1.60408220228
2019/02/15/16:51:38.127243,-1.60608587971
2019/02/15/16:51:38.236203,-1.60809016626
2019/02/15/16:51:38.345517,-1.60835953099
2019/02/15/16:51:38.454553,-1.61024935292
2019/02/15/16:51:38.563239,-1.61146153606
2019/02/15/16:51:38.672276,-1.61437276187
2019/02/15/16:51:38.783133,-1.61539759684
2019/02/15/16:51:38.893485,-1.6180297025
2019/02/15/16:51:39.003715,-1.62015434059
2019/02/15/16:51:39.114685,-1.62231030538
2019/02/15/16:51:39.225196,-1.62412059237
2019/02/15/16:51:39.334129,-1.62726583948
2019/02/15/16:51:39.442675,-1.62908743243
2019/02/15/16:51:39.551963,-1.62908743243
2019/02/15/16:51:39.663239,-1.63094098495
2019/02/15/16:51:39.772876,-1.63565935162
2019/02/15/16:51:39.895636,-1.63779296484
2019/02/15/16:51:40.009429,-1.64079737768
2019/02/15/16:51:40.120675,-1.64509691916
2019/02/15/16:51:40.234631,-1.64509691916
2019/02/15/16:51:40.342854,-1.64712596848
2019/02/15/16:51:40.453399,-1.65033691104
2019/02/15/16:51:40.565600,-1.65233865092
2019/02/15/16:51:40.678316,-1.65556134166
2019/02/15/16:51:40.792799,-1.65922918233
2019/02/15/16:51:40.901994,-1.66143895926
2019/02/15/16:51:41.011848,-1.66626621816
2019/02/15/16:51:41.121207,-1.66827827243
2019/02/15/16:51:41.231646,-1.67155338676
2019/02/15/16:51:41.342160,-1.67370534865
2019/02/15/16:51:41.452973,-1.67558671821
2019/02/15/16:51:41.563253,-1.67882980856
2019/02/15/16:51:41.671565,-1.68164184069
2019/02/15/16:51:41.781506,-1.68376634902
2019/02/15/16:51:41.892604,-1.68602154671
2019/02/15/16:51:42.003908,-1.68743817731
2019/02/15/16:51:42.113870,-1.68943120608
2019/02/15/16:51:42.224042,-1.69230359336
2019/02/15/16:51:42.332855,-1.69580796553
2019/02/15/16:51:42.444871,-1.6982271758
2019/02/15/16:51:42.557612,-1.70204638819
2019/02/15/16:51:42.668328,-1.70500394674
2019/02/15/16:51:42.779412,-1.70821774166
2019/02/15/16:51:42.888393,-1.71026430915
2019/02/15/16:51:42.995760,-1.71254893169
2019/02/15/16:51:43.107300,-1.71561665288
2019/02/15/16:51:43.216471,-1.71792413834
2019/02/15/16:51:43.325992,-1.72128294041
