time,.data
2019/02/15/16:51:32.379223,-0.550615292788
2019/02/15/16:51:32.503233,-0.543491464853
2019/02/15/16:51:32.613759,-0.538035583496
2019/02/15/16:51:32.729119,-0.534960415959
2019/02/15/16:51:32.842024,-0.529523831606
2019/02/15/16:51:32.954915,-0.523215991259
2019/02/15/16:51:33.070433,-0.51502045691
2019/02/15/16:51:33.176374,-0.505725842714
2019/02/15/16:51:33.287175,-0.504416894913
2019/02/15/16:51:33.397816,-0.507766422629
2019/02/15/16:51:33.510302,-0.507766422629
2019/02/15/16:51:33.622606,-0.514154624939
2019/02/15/16:51:33.731038,-0.511382636428
2019/02/15/16:51:33.842349,-0.504638803005
2019/02/15/16:51:33.955442,-0.478557866812
2019/02/15/16:51:34.066053,-0.439899605513
2019/02/15/16:51:34.181025,-0.397611868382
2019/02/15/16:51:34.292665,-0.357967090607
2019/02/15/16:51:34.403691,-0.330275905132
2019/02/15/16:51:34.520439,-0.306791377068
2019/02/15/16:51:34.629810,-0.279319924116
2019/02/15/16:51:34.744827,-0.273088020086
2019/02/15/16:51:34.855870,-0.265734297037
2019/02/15/16:51:34.968748,-0.26001496315
2019/02/15/16:51:35.079397,-0.241206985712
2019/02/15/16:51:35.192490,-0.220017385483
2019/02/15/16:51:35.301686,-0.201158297062
2019/02/15/16:51:35.411386,-0.193156850338
2019/02/15/16:51:35.523912,-0.185701024532
2019/02/15/16:51:35.637930,-0.185566437244
2019/02/15/16:51:35.743526,-0.182980489731
2019/02/15/16:51:35.859672,-0.172463190556
2019/02/15/16:51:35.967166,-0.140865933895
2019/02/15/16:51:36.079204,-0.127736163139
2019/02/15/16:51:36.186009,-0.126125049591
2019/02/15/16:51:36.296761,-0.120327782631
2019/02/15/16:51:36.404969,-0.120244693756
2019/02/15/16:51:36.516354,-0.120244693756
2019/02/15/16:51:36.629538,-0.121637237072
2019/02/15/16:51:36.740982,-0.112178575993
2019/02/15/16:51:36.850906,-0.102694940567
2019/02/15/16:51:36.959139,-0.0893983364105
2019/02/15/16:51:37.071412,-0.0869816064835
2019/02/15/16:51:37.183814,-0.0730202317238
2019/02/15/16:51:37.291678,-0.0713021278381
2019/02/15/16:51:37.410249,-0.0714132905006
2019/02/15/16:51:37.517481,-0.0655642271042
2019/02/15/16:51:37.627869,-0.0644538521767
2019/02/15/16:51:37.736341,-0.0620716333389
2019/02/15/16:51:37.855520,-0.0728587627411
2019/02/15/16:51:37.964083,-0.0897107839584
2019/02/15/16:51:38.075007,-0.0905807137489
2019/02/15/16:51:38.183828,-0.0797861337662
2019/02/15/16:51:38.302181,-0.0799654245377
2019/02/15/16:51:38.415536,-0.0995355963707
2019/02/15/16:51:38.529633,-0.0995355963707
2019/02/15/16:51:38.641571,-0.101808261871
2019/02/15/16:51:38.760481,-0.100146126747
2019/02/15/16:51:38.874341,-0.110058915615
2019/02/15/16:51:38.985999,-0.106410872936
2019/02/15/16:51:39.095567,-0.1080337286
2019/02/15/16:51:39.212260,-0.1080337286
2019/02/15/16:51:39.322494,-0.110005092621
2019/02/15/16:51:39.432858,-0.116390776634
2019/02/15/16:51:39.542423,-0.116390776634
2019/02/15/16:51:39.662091,-0.127182435989
