time,.x,.y,.theta
2019/02/15/16:51:32.495768,25.653332,-100.291456,-1.52137448029
2019/02/15/16:51:32.614990,25.653332,-100.291456,-1.52186204081
2019/02/15/16:51:32.720622,25.653332,-100.291456,-1.52238001678
2019/02/15/16:51:32.829526,25.653332,-100.291456,-1.52340732376
2019/02/15/16:51:32.942035,25.653332,-100.291456,-1.52408248676
2019/02/15/16:51:33.050996,25.653332,-100.291456,-1.52468009383
2019/02/15/16:51:33.162096,25.653332,-100.291456,-1.52468009383
2019/02/15/16:51:33.271596,25.653332,-100.291456,-1.52647838202
2019/02/15/16:51:33.384960,25.653332,-100.291456,-1.52647838202
2019/02/15/16:51:33.493374,25.653332,-100.291456,-1.52694126539
2019/02/15/16:51:33.603658,25.653332,-100.291456,-1.52786895494
2019/02/15/16:51:33.713021,25.653332,-100.291456,-1.52870299817
2019/02/15/16:51:33.822763,25.653332,-100.291456,-1.52975270302
2019/02/15/16:51:33.932510,25.653332,-100.291456,-1.53046515764
2019/02/15/16:51:34.042185,25.653332,-100.291456,-1.53129889159
2019/02/15/16:51:34.152806,25.653332,-100.291456,-1.53315296396
2019/02/15/16:51:34.265507,25.653332,-100.291456,-1.53422321941
2019/02/15/16:51:34.374333,25.653332,-100.291456,-1.53501508428
2019/02/15/16:51:34.486494,25.653332,-100.291456,-1.53627668392
2019/02/15/16:51:34.595575,25.653332,-100.291456,-1.53867614039
2019/02/15/16:51:34.705255,25.653332,-100.291456,-1.54075121531
2019/02/15/16:51:34.816374,25.653332,-100.291456,-1.54270345984
2019/02/15/16:51:34.926809,25.653332,-100.291456,-1.54406611925
2019/02/15/16:51:35.036877,25.653332,-100.291456,-1.54585488607
2019/02/15/16:51:35.146581,25.653332,-100.291456,-1.54803086347
2019/02/15/16:51:35.255518,25.653332,-100.291456,-1.5500438612
2019/02/15/16:51:35.365566,25.653332,-100.291456,-1.55201587546
2019/02/15/16:51:35.473097,25.653332,-100.291456,-1.55402330857
2019/02/15/16:51:35.583779,25.653332,-100.291456,-1.55595863414
2019/02/15/16:51:35.693694,25.653332,-100.291456,-1.5576930177
2019/02/15/16:51:35.804285,25.653332,-100.291456,-1.56023587545
2019/02/15/16:51:35.914299,25.653332,-100.291456,-1.56223877369
2019/02/15/16:51:36.021958,25.653332,-100.291456,-1.565130331
2019/02/15/16:51:36.132007,25.653332,-100.291456,-1.56717276075
2019/02/15/16:51:36.241654,25.653332,-100.291456,-1.56890880502
2019/02/15/16:51:36.351413,25.653332,-100.291456,-1.5711853094
2019/02/15/16:51:36.461619,25.653332,-100.291456,-1.57354206139
2019/02/15/16:51:36.572197,25.653332,-100.291456,-1.57543648456
2019/02/15/16:51:36.682781,25.653332,-100.291456,-1.57834203741
2019/02/15/16:51:36.793761,25.653332,-100.291456,-1.58066703309
