time,.data
2019/02/15/16:24:58.630354,-1.67060749389
2019/02/15/16:24:58.739265,-1.67060749389
2019/02/15/16:24:58.853885,-1.6701784203
2019/02/15/16:24:58.961747,-1.66894534283
2019/02/15/16:24:59.070403,-1.66863655655
2019/02/15/16:24:59.177598,-1.66835841938
2019/02/15/16:24:59.287690,-1.66761595807
2019/02/15/16:24:59.397354,-1.66711096533
2019/02/15/16:24:59.505283,-1.66671773473
2019/02/15/16:24:59.613781,-1.66591191574
2019/02/15/16:24:59.722252,-1.66548383131
2019/02/15/16:24:59.831158,-1.66508307648
2019/02/15/16:24:59.940888,-1.66469171844
2019/02/15/16:25:00.047817,-1.66469171844
2019/02/15/16:25:00.157348,-1.66436174177
2019/02/15/16:25:00.261605,-1.66392163093
2019/02/15/16:25:00.367535,-1.66357874132
2019/02/15/16:25:00.472912,-1.66311029762
2019/02/15/16:25:00.583536,-1.66258595841
2019/02/15/16:25:00.690441,-1.66221099584
2019/02/15/16:25:00.798240,-1.66151121115
2019/02/15/16:25:00.908754,-1.66105473431
2019/02/15/16:25:01.026260,-1.66029919971
2019/02/15/16:25:01.132170,-1.65851314312
2019/02/15/16:25:01.242733,-1.65718022751
2019/02/15/16:25:01.351150,-1.65646696689
2019/02/15/16:25:01.461895,-1.65607737578
2019/02/15/16:25:01.569393,-1.65527306509
2019/02/15/16:25:01.678220,-1.65454972735
2019/02/15/16:25:01.785820,-1.65389025094
2019/02/15/16:25:01.895571,-1.65273170143
2019/02/15/16:25:02.002665,-1.6520167684
2019/02/15/16:25:02.111118,-1.65086429749
2019/02/15/16:25:02.219528,-1.65049269233
2019/02/15/16:25:02.329634,-1.64995347552
2019/02/15/16:25:02.437433,-1.64962070158
2019/02/15/16:25:02.545104,-1.64909451605
2019/02/15/16:25:02.653131,-1.64870808766
2019/02/15/16:25:02.761718,-1.64825501773
2019/02/15/16:25:02.870248,-1.6476060497
2019/02/15/16:25:02.979534,-1.6476060497
2019/02/15/16:25:03.088715,-1.6471672236
2019/02/15/16:25:03.197106,-1.64651631937
2019/02/15/16:25:03.304512,-1.64649127166
2019/02/15/16:25:03.412900,-1.64623160152
2019/02/15/16:25:03.520850,-1.64554076655
2019/02/15/16:25:03.628521,-1.64525972615
2019/02/15/16:25:03.736399,-1.64506676967
2019/02/15/16:25:03.849226,-1.6451831909
2019/02/15/16:25:03.960156,-1.64506891371
2019/02/15/16:25:04.069179,-1.6448364342
2019/02/15/16:25:04.177756,-1.6447246192
2019/02/15/16:25:04.285893,-1.64519740223
2019/02/15/16:25:04.393751,-1.64487179199
2019/02/15/16:25:04.503353,-1.64486410462
2019/02/15/16:25:04.610280,-1.64455432449
2019/02/15/16:25:04.718861,-1.64461126724
2019/02/15/16:25:04.826757,-1.64495659643
2019/02/15/16:25:04.936547,-1.64511031462
2019/02/15/16:25:05.045897,-1.64511031462
2019/02/15/16:25:05.155096,-1.64552135385
2019/02/15/16:25:05.262790,-1.64558545425
2019/02/15/16:25:05.370722,-1.64584161955
2019/02/15/16:25:05.479227,-1.64615521737
2019/02/15/16:25:05.588185,-1.64641663549
2019/02/15/16:25:05.695617,-1.64635010754
2019/02/15/16:25:05.803755,-1.64660236283
2019/02/15/16:25:05.912580,-1.64630457726
2019/02/15/16:25:06.021170,-1.64670735074
2019/02/15/16:25:06.129079,-1.64772360716
2019/02/15/16:25:06.237380,-1.64882467032
2019/02/15/16:25:06.348560,-1.64928872672
2019/02/15/16:25:06.456355,-1.6505598607
2019/02/15/16:25:06.566567,-1.65108890067
2019/02/15/16:25:06.677164,-1.65211242217
2019/02/15/16:25:06.788080,-1.65281364788
2019/02/15/16:25:06.897306,-1.65424254616
2019/02/15/16:25:07.006858,-1.65424254616
2019/02/15/16:25:07.125602,-1.65440910387
2019/02/15/16:25:07.235944,-1.65644465737
2019/02/15/16:25:07.349849,-1.65714902843
2019/02/15/16:25:07.460901,-1.65773038251
2019/02/15/16:25:07.569057,-1.6587295412
2019/02/15/16:25:07.679311,-1.65947970657
2019/02/15/16:25:07.787737,-1.6612141231
2019/02/15/16:25:07.902568,-1.66218876042
2019/02/15/16:25:08.027342,-1.66218876042
2019/02/15/16:25:08.137229,-1.664287617
2019/02/15/16:25:08.253154,-1.66446869543
2019/02/15/16:25:08.355792,-1.66572048043
2019/02/15/16:25:08.466642,-1.66572048043
2019/02/15/16:25:08.575334,-1.6688952606
2019/02/15/16:25:08.684106,-1.67003156762
2019/02/15/16:25:08.793224,-1.67057636942
2019/02/15/16:25:08.902309,-1.67187557557
2019/02/15/16:25:09.011452,-1.67187557557
2019/02/15/16:25:09.120023,-1.67302526505
2019/02/15/16:25:09.229044,-1.67473010479
2019/02/15/16:25:09.338212,-1.67558771659
2019/02/15/16:25:09.446402,-1.67752497527
2019/02/15/16:25:09.555759,-1.67880896891
2019/02/15/16:25:09.664693,-1.68026690548
2019/02/15/16:25:09.773842,-1.68190677028
2019/02/15/16:25:09.882376,-1.68391735219
2019/02/15/16:25:09.990828,-1.68561211591
2019/02/15/16:25:10.100220,-1.68756852894
2019/02/15/16:25:10.209400,-1.68988816484
2019/02/15/16:25:10.321063,-1.69145272179
2019/02/15/16:25:10.429109,-1.6923672638
2019/02/15/16:25:10.538683,-1.69395750133
2019/02/15/16:25:10.649487,-1.69602414354
2019/02/15/16:25:10.756555,-1.69769933112
2019/02/15/16:25:10.863293,-1.70018926329
2019/02/15/16:25:10.971210,-1.70018926329
2019/02/15/16:25:11.088190,-1.70199343839
2019/02/15/16:25:11.196870,-1.70496856257
2019/02/15/16:25:11.305920,-1.7087944465
2019/02/15/16:25:11.417866,-1.7087944465
2019/02/15/16:25:11.530170,-1.71263803553
2019/02/15/16:25:11.643697,-1.71263803553
2019/02/15/16:25:11.754896,-1.7170914598
2019/02/15/16:25:11.861225,-1.71974898269
2019/02/15/16:25:11.971059,-1.71974898269
2019/02/15/16:25:12.079275,-1.72161575684
2019/02/15/16:25:12.188623,-1.72407527247
2019/02/15/16:25:12.300349,-1.72541860415
2019/02/15/16:25:12.412353,-1.72755816996
2019/02/15/16:25:12.526752,-1.72963468815
2019/02/15/16:25:12.637356,-1.73177125398
2019/02/15/16:25:12.748504,-1.73342978673
2019/02/15/16:25:12.861037,-1.73529709679
2019/02/15/16:25:12.968695,-1.73729514036
2019/02/15/16:25:13.075914,-1.74074588228
2019/02/15/16:25:13.184883,-1.74355837854
2019/02/15/16:25:13.294145,-1.74806651027
2019/02/15/16:25:13.401354,-1.75005257553
2019/02/15/16:25:13.510026,-1.75241879456
