time,.data
2019/02/15/16:24:58.631988,0.7
2019/02/15/16:24:58.741718,0.7
2019/02/15/16:24:58.855326,0.7
2019/02/15/16:24:58.962848,0.7
2019/02/15/16:24:59.070467,0.7
2019/02/15/16:24:59.179118,0.7
2019/02/15/16:24:59.288342,0.7
2019/02/15/16:24:59.397277,0.7
2019/02/15/16:24:59.505062,0.7
2019/02/15/16:24:59.613787,0.7
2019/02/15/16:24:59.722441,0.7
2019/02/15/16:24:59.832666,0.7
2019/02/15/16:24:59.940821,0.7
2019/02/15/16:25:00.050107,0.7
2019/02/15/16:25:00.157464,0.7
2019/02/15/16:25:00.261681,0.7
2019/02/15/16:25:00.367397,0.7
2019/02/15/16:25:00.473162,0.7
2019/02/15/16:25:00.583822,0.7
2019/02/15/16:25:00.690143,0.7
2019/02/15/16:25:00.799253,0.7
2019/02/15/16:25:00.910743,0.7
2019/02/15/16:25:01.025895,0.7
2019/02/15/16:25:01.133835,0.7
2019/02/15/16:25:01.243073,0.7
2019/02/15/16:25:01.353271,0.7
2019/02/15/16:25:01.462584,0.7
2019/02/15/16:25:01.571849,0.7
2019/02/15/16:25:01.680115,0.7
2019/02/15/16:25:01.787336,0.7
2019/02/15/16:25:01.895967,0.7
2019/02/15/16:25:02.004376,0.7
2019/02/15/16:25:02.112081,0.7
2019/02/15/16:25:02.221102,0.7
2019/02/15/16:25:02.331432,0.7
2019/02/15/16:25:02.438540,0.7
2019/02/15/16:25:02.546210,0.7
2019/02/15/16:25:02.654375,0.7
2019/02/15/16:25:02.763672,0.7
2019/02/15/16:25:02.871961,0.7
2019/02/15/16:25:02.980998,0.7
2019/02/15/16:25:03.090768,0.7
2019/02/15/16:25:03.198903,0.7
2019/02/15/16:25:03.305576,0.7
2019/02/15/16:25:03.413980,0.7
2019/02/15/16:25:03.523108,0.7
2019/02/15/16:25:03.630427,0.7
2019/02/15/16:25:03.739177,0.7
2019/02/15/16:25:03.861112,0.7
2019/02/15/16:25:03.963269,0.7
2019/02/15/16:25:04.070928,0.7
2019/02/15/16:25:04.179760,0.7
2019/02/15/16:25:04.286923,0.7
2019/02/15/16:25:04.394813,0.7
2019/02/15/16:25:04.503408,0.7
2019/02/15/16:25:04.611313,0.7
2019/02/15/16:25:04.720964,0.7
2019/02/15/16:25:04.827664,0.7
2019/02/15/16:25:04.936367,0.7
2019/02/15/16:25:05.047390,0.7
2019/02/15/16:25:05.157596,0.7
2019/02/15/16:25:05.263780,0.7
2019/02/15/16:25:05.371779,0.7
2019/02/15/16:25:05.480106,0.7
2019/02/15/16:25:05.588481,0.7
2019/02/15/16:25:05.698085,0.7
2019/02/15/16:25:05.805963,0.7
2019/02/15/16:25:05.913547,0.7
2019/02/15/16:25:06.021868,0.7
2019/02/15/16:25:06.130023,0.7
2019/02/15/16:25:06.240044,0.7
2019/02/15/16:25:06.349976,0.7
2019/02/15/16:25:06.458666,0.7
2019/02/15/16:25:06.569587,0.7
2019/02/15/16:25:06.678848,0.7
2019/02/15/16:25:06.789637,0.7
