time,.data
2019/02/15/16:24:57.900793,-72.3152044579
2019/02/15/16:24:58.013625,-72.1082023288
2019/02/15/16:24:58.127110,-71.887194074
2019/02/15/16:24:58.237508,-71.5855770271
2019/02/15/16:24:58.350717,-71.3425808619
2019/02/15/16:24:58.462295,-71.128324247
2019/02/15/16:24:58.579150,-70.9919562977
2019/02/15/16:24:58.691547,-70.8972040283
2019/02/15/16:24:58.800277,-70.7582117477
2019/02/15/16:24:58.912485,-70.6057939369
2019/02/15/16:24:59.022820,-70.5044470372
2019/02/15/16:24:59.133262,-70.3561388562
2019/02/15/16:24:59.243867,-70.2390641058
2019/02/15/16:24:59.364466,-70.1356079416
2019/02/15/16:24:59.470844,-70.0025393647
2019/02/15/16:24:59.581569,-69.848067902
2019/02/15/16:24:59.691740,-69.742245163
2019/02/15/16:24:59.803538,-69.6987641855
2019/02/15/16:24:59.915970,-69.6947329539
2019/02/15/16:25:00.026223,-69.6611563732
2019/02/15/16:25:00.141734,-69.5601584694
2019/02/15/16:25:00.241156,-69.3370603958
2019/02/15/16:25:00.346724,-69.0222806226
2019/02/15/16:25:00.452249,-68.2479205674
2019/02/15/16:25:00.562559,-67.2197679584
2019/02/15/16:25:00.675146,-65.8858122528
2019/02/15/16:25:00.786362,-63.9882900771
2019/02/15/16:25:00.903819,-61.9903908253
2019/02/15/16:25:01.015471,-59.5485432161
2019/02/15/16:25:01.128183,-56.4388329378
2019/02/15/16:25:01.243844,-54.0091692888
2019/02/15/16:25:01.356297,-51.9465326042
2019/02/15/16:25:01.470670,-49.9373968019
2019/02/15/16:25:01.586926,-47.69572689
2019/02/15/16:25:01.695216,-45.892248621
2019/02/15/16:25:01.805206,-44.1650348134
2019/02/15/16:25:01.916610,-42.6404269825
2019/02/15/16:25:02.032576,-40.9113857235
2019/02/15/16:25:02.147190,-39.0534218718
2019/02/15/16:25:02.256011,-37.5207127474
2019/02/15/16:25:02.367018,-36.3175990628
2019/02/15/16:25:02.485772,-35.1546742739
2019/02/15/16:25:02.602599,-33.9668204179
2019/02/15/16:25:02.710667,-32.6789562181
2019/02/15/16:25:02.824548,-31.6909154849
2019/02/15/16:25:02.946011,-30.6681012765
2019/02/15/16:25:03.053753,-29.7140990946
2019/02/15/16:25:03.166952,-28.5142437586
2019/02/15/16:25:03.278953,-27.4945388374
2019/02/15/16:25:03.392384,-26.7179742493
2019/02/15/16:25:03.502428,-25.861850236
2019/02/15/16:25:03.614933,-25.090435324
2019/02/15/16:25:03.727503,-24.2735377429
2019/02/15/16:25:03.855994,-23.5385912923
2019/02/15/16:25:03.974228,-22.8129192272
2019/02/15/16:25:04.082564,-22.1767888289
2019/02/15/16:25:04.195283,-21.3061966376
2019/02/15/16:25:04.308261,-20.5811102636
2019/02/15/16:25:04.417322,-19.8867614385
2019/02/15/16:25:04.528491,-19.3702037088
2019/02/15/16:25:04.639702,-18.8939572394
2019/02/15/16:25:04.752047,-18.2886897802
2019/02/15/16:25:04.864017,-17.7029097304
2019/02/15/16:25:04.977952,-17.0731002588
2019/02/15/16:25:05.095062,-16.6180985224
2019/02/15/16:25:05.207596,-15.7995497059
2019/02/15/16:25:05.318279,-15.2088791597
2019/02/15/16:25:05.429086,-14.631198546
2019/02/15/16:25:05.540743,-14.141230691
2019/02/15/16:25:05.653212,-13.6062560012
2019/02/15/16:25:05.765452,-13.0670686173
2019/02/15/16:25:05.876160,-12.5056108679
2019/02/15/16:25:05.988579,-11.9316770585
2019/02/15/16:25:06.108591,-11.908599838
2019/02/15/16:25:06.223609,-10.5913702106
2019/02/15/16:25:06.336905,-10.0112857548
2019/02/15/16:25:06.446744,-9.44969373104
2019/02/15/16:25:06.554441,-8.94786235354
2019/02/15/16:25:06.665726,-8.4055496653
2019/02/15/16:25:06.775828,-8.34690620305
2019/02/15/16:25:06.887471,-7.13573155319
2019/02/15/16:25:06.998514,-7.05386171212
2019/02/15/16:25:07.109573,-6.47286055126
2019/02/15/16:25:07.223850,-5.60932139837
2019/02/15/16:25:07.334899,-4.46869091178
2019/02/15/16:25:07.449247,-4.42833342273
2019/02/15/16:25:07.559856,-3.65602602842
2019/02/15/16:25:07.673315,-3.59877845215
2019/02/15/16:25:07.787052,-2.78179522862
2019/02/15/16:25:07.902640,-2.34542256584
2019/02/15/16:25:08.015027,-2.2895799608
2019/02/15/16:25:08.128315,-1.94058100997
2019/02/15/16:25:08.252671,-1.25032581005
2019/02/15/16:25:08.361515,0.0
2019/02/15/16:25:08.483641,0.0
2019/02/15/16:25:08.591149,0.0
2019/02/15/16:25:08.703808,1.29078347323
2019/02/15/16:25:08.819381,1.49899260432
2019/02/15/16:25:08.928939,1.74543629715
2019/02/15/16:25:09.041952,1.74543629715
2019/02/15/16:25:09.154340,2.0703036546
2019/02/15/16:25:09.263521,2.75198328837
2019/02/15/16:25:09.378663,3.40912240752
2019/02/15/16:25:09.490688,4.61212179544
2019/02/15/16:25:09.601308,5.08768955572
2019/02/15/16:25:09.709888,5.51421778654
2019/02/15/16:25:09.824659,5.60817511848
2019/02/15/16:25:09.933738,6.08037516033
2019/02/15/16:25:10.047458,6.17747796888
2019/02/15/16:25:10.162049,6.37657014593
2019/02/15/16:25:10.275031,6.66047643792
2019/02/15/16:25:10.384098,6.85212393202
2019/02/15/16:25:10.494610,7.02952330347
2019/02/15/16:25:10.613604,7.26163601332
2019/02/15/16:25:10.720855,7.5210447006
2019/02/15/16:25:10.829159,7.78802346289
2019/02/15/16:25:10.936765,8.17968656477
2019/02/15/16:25:11.051428,8.45768638486
2019/02/15/16:25:11.165343,8.79306021403
2019/02/15/16:25:11.277421,9.09952383134
2019/02/15/16:25:11.395532,9.39072941446
2019/02/15/16:25:11.502631,9.41573093514
2019/02/15/16:25:11.610328,9.64494741905
2019/02/15/16:25:11.721251,9.69894826231
