time,.x,.y,.theta
2019/02/15/16:29:11.665318,0.448590099812,-0.0951587408781,2.96821092804
2019/02/15/16:29:11.772113,0.448590099812,-0.0951587408781,2.9995222391
2019/02/15/16:29:11.890094,0.448590099812,-0.0951587408781,3.02825028443
2019/02/15/16:29:12.026066,0.448590099812,-0.0951587408781,3.06074829982
2019/02/15/16:29:12.145002,0.448590099812,-0.0951587408781,3.10190318485
2019/02/15/16:29:12.249243,0.443756222725,-0.156653285027,3.14106842264
2019/02/15/16:29:12.366218,0.443756222725,-0.156653285027,-3.10935577329
2019/02/15/16:29:12.473005,0.443756222725,-0.156653285027,-3.07469367365
2019/02/15/16:29:12.590203,0.443756222725,-0.156653285027,-3.04516268542
2019/02/15/16:29:12.695806,0.443756222725,-0.156653285027,-3.01322313479
2019/02/15/16:29:12.808297,0.673947513103,-0.0951587408781,-2.98299386586
2019/02/15/16:29:12.901730,0.669113636017,-0.156653285027,-2.94918690707
2019/02/15/16:29:12.989903,0.673947513103,-0.0951587408781,-2.91576397603
2019/02/15/16:29:13.079045,0.669113636017,-0.156653285027,-2.8863027626
2019/02/15/16:29:13.193610,0.669113636017,-0.156653285027,-2.85691132397
2019/02/15/16:29:13.294939,0.669113636017,-0.156653285027,-2.82123695701
2019/02/15/16:29:13.413080,0.882094144821,-0.245978176594,-2.7902398989
2019/02/15/16:29:13.522539,0.882094144821,-0.245978176594,-2.75273274486
2019/02/15/16:29:13.642874,0.882094144821,-0.245978176594,-2.71604584426
2019/02/15/16:29:13.744088,0.882094144821,-0.245978176594,-2.67717754887
2019/02/15/16:29:13.844802,0.882094144821,-0.245978176594,-2.65230655894
2019/02/15/16:29:13.989357,0.882094144821,-0.245978176594,-2.64380681578
2019/02/15/16:29:14.093498,0.882094144821,-0.245978176594,-2.63345697499
2019/02/15/16:29:14.196102,0.877260267735,-0.307472705841,-2.62555058399
2019/02/15/16:29:14.311544,0.877260267735,-0.307472705841,-2.62239154296
2019/02/15/16:29:14.420933,0.877260267735,-0.307472705841,-2.62312471105
2019/02/15/16:29:14.537852,0.877260267735,-0.307472705841,-2.62570771046
2019/02/15/16:29:14.642488,0.877260267735,-0.307472705841,-2.62748803328
2019/02/15/16:29:14.749262,0.877260267735,-0.307472705841,-2.62610904875
2019/02/15/16:29:14.860679,0.877260267735,-0.307472705841,-2.62211217742
2019/02/15/16:29:14.996165,0.872426390648,-0.368967264891,-2.61666681307
2019/02/15/16:29:15.117937,0.872426390648,-0.368967264891,-2.61301908208
2019/02/15/16:29:15.219431,0.872426390648,-0.368967264891,-2.61113409706
2019/02/15/16:29:15.337059,0.872426390648,-0.368967264891,-2.60780061901
2019/02/15/16:29:15.446559,0.872426390648,-0.368967264891,-2.59973710154
2019/02/15/16:29:15.562637,0.872426390648,-0.368967264891,-2.58790388033
2019/02/15/16:29:15.671869,0.872426390648,-0.368967264891,-2.5696652254
2019/02/15/16:29:15.789043,0.872426390648,-0.368967264891,-2.54626030535
2019/02/15/16:29:15.892861,0.867592513561,-0.43046182394,-2.51573462665
2019/02/15/16:29:16.035983,0.867592513561,-0.43046182394,-2.48505155517
2019/02/15/16:29:16.146625,0.867592513561,-0.43046182394,-2.43780548936
2019/02/15/16:29:16.264213,0.862758636475,-0.491956353188,-2.40310850232
2019/02/15/16:29:16.367161,0.862758636475,-0.491956353188,-2.37088958615
2019/02/15/16:29:16.469332,0.857924759388,-0.553450882435,-2.34629796176
2019/02/15/16:29:16.570130,0.857924759388,-0.553450882435,-2.32371356147
