time,.data
2019/02/15/16:29:13.041605,-0.200517043471
2019/02/15/16:29:13.152777,-0.898635682464
2019/02/15/16:29:13.262453,-0.888796430826
2019/02/15/16:29:13.373899,-0.889624458551
2019/02/15/16:29:13.486052,-0.882434812188
2019/02/15/16:29:13.599753,-0.876592484117
2019/02/15/16:29:13.713424,-0.869280081987
2019/02/15/16:29:13.826661,-0.85285743773
2019/02/15/16:29:13.944991,-0.779623289406
2019/02/15/16:29:14.052710,-0.724836674333
2019/02/15/16:29:14.165319,-0.693148941547
2019/02/15/16:29:14.276110,-0.679124348611
2019/02/15/16:29:14.395026,-0.67766982764
2019/02/15/16:29:14.509331,-0.697565990314
2019/02/15/16:29:14.622729,-0.712181118131
2019/02/15/16:29:14.735335,-0.707832594216
2019/02/15/16:29:14.851887,-0.690842796862
2019/02/15/16:29:14.968359,-0.672674831748
2019/02/15/16:29:15.079422,-0.669738967717
2019/02/15/16:29:15.198955,-0.689285111427
2019/02/15/16:29:15.307155,-0.70580618158
2019/02/15/16:29:15.416450,-0.703750544041
2019/02/15/16:29:15.527355,-0.667151451856
2019/02/15/16:29:15.640017,-0.623569567502
2019/02/15/16:29:15.751675,-0.600612637401
2019/02/15/16:29:15.861851,-0.569037926197
2019/02/15/16:29:15.976052,-0.539309483767
2019/02/15/16:29:16.087256,-0.511880618334
2019/02/15/16:29:16.200793,-0.494152408838
2019/02/15/16:29:16.314257,-0.48771007061
2019/02/15/16:29:16.421535,-0.465140265226
2019/02/15/16:29:16.530976,-0.431775015593
2019/02/15/16:29:16.640902,-0.387735766172
2019/02/15/16:29:16.755244,-0.357583475113
2019/02/15/16:29:16.866918,-0.340365839005
2019/02/15/16:29:16.976068,-0.337281537056
2019/02/15/16:29:17.093223,-0.330099743605
2019/02/15/16:29:17.200263,-0.322992157936
2019/02/15/16:29:17.311093,-0.2860709548
2019/02/15/16:29:17.429133,-0.25049341917
2019/02/15/16:29:17.540390,-0.235690188408
2019/02/15/16:29:17.665843,-0.222562205791
2019/02/15/16:29:17.764394,-0.210689020157
2019/02/15/16:29:17.876999,-0.210689020157
2019/02/15/16:29:17.991273,-0.203622710705
2019/02/15/16:29:18.105790,-0.197767329216
2019/02/15/16:29:18.214485,-0.18176664114
2019/02/15/16:29:18.322968,-0.176869225502
2019/02/15/16:29:18.433990,-0.166986119747
2019/02/15/16:29:18.546318,-0.139573943615
2019/02/15/16:29:18.659481,-0.131169331074
2019/02/15/16:29:18.770039,-0.125869703293
2019/02/15/16:29:18.880269,-0.128813040257
2019/02/15/16:29:18.993310,-0.123613369465
2019/02/15/16:29:19.104318,-0.120849382877
2019/02/15/16:29:19.212663,-0.116181445122
2019/02/15/16:29:19.324059,-0.122013223171
2019/02/15/16:29:19.434654,-0.126775097847
2019/02/15/16:29:19.553051,-0.125383985043
2019/02/15/16:29:19.664578,-0.118884575367
2019/02/15/16:29:19.777790,-0.0920881748199
2019/02/15/16:29:19.884165,-0.0758485913277
2019/02/15/16:29:20.001989,-0.0858993053436
2019/02/15/16:29:20.107665,-0.0874164819717
2019/02/15/16:29:20.223886,-0.0874164819717
2019/02/15/16:29:20.334948,-0.0598679900169
2019/02/15/16:29:20.438658,-0.0683915734291
2019/02/15/16:29:20.550868,-0.0733428120613
2019/02/15/16:29:20.660410,-0.0782034516335
2019/02/15/16:29:20.777317,-0.0687588572502
2019/02/15/16:29:20.894522,-0.0561149835587
