time,.x,.y,.theta
2019/02/15/16:31:03.054307,25.65332117,-100.29116334,1.41080170395
2019/02/15/16:31:03.054590,25.65332116,-100.29116339,1.4157933989
2019/02/15/16:31:03.064591,25.65332115,-100.29116343,1.42226847427
2019/02/15/16:31:03.170530,25.65332112,-100.29116351,1.43137914647
2019/02/15/16:31:03.287663,25.65332112,-100.29116358,1.43741799614
2019/02/15/16:31:03.397034,25.653321,-100.29116354,1.44324738824
2019/02/15/16:31:03.517864,25.65332097,-100.29116357,1.44808195671
2019/02/15/16:31:03.617540,25.65332078,-100.29116349,1.454260356
2019/02/15/16:31:03.719904,25.65332075,-100.29116353,1.46129402929
2019/02/15/16:31:03.836223,25.65332078,-100.2911634,1.46872917403
2019/02/15/16:31:03.975925,25.6533208,-100.29116344,1.47377320009
2019/02/15/16:31:04.094842,25.6533208,-100.29116362,1.47490757332
2019/02/15/16:31:04.210053,25.65332093,-100.29116372,1.47747326218
2019/02/15/16:31:04.320602,25.65332092,-100.29116376,1.48489096322
2019/02/15/16:31:04.437274,25.653321,-100.29116366,1.49485677626
2019/02/15/16:31:04.540996,25.65332097,-100.29116369,1.50489236411
2019/02/15/16:31:04.644687,25.65332071,-100.29116337,1.51114067136
2019/02/15/16:31:04.746551,25.65332071,-100.29116338,1.51478840235
2019/02/15/16:31:04.869774,25.65332072,-100.29116333,1.51679549329
2019/02/15/16:31:04.998360,25.6533209,-100.29116351,1.51850590814
2019/02/15/16:31:05.120508,25.65332094,-100.29116356,1.52131594198
2019/02/15/16:31:05.221169,25.653321,-100.2911635,1.52700565131
2019/02/15/16:31:05.337185,25.65332098,-100.29116352,1.53456303512
2019/02/15/16:31:05.445194,25.65332072,-100.29116351,1.54348156028
2019/02/15/16:31:05.562137,25.65332071,-100.29116352,1.54903171999
2019/02/15/16:31:05.671150,25.65332076,-100.29116317,1.55130073277
2019/02/15/16:31:05.791631,25.65332077,-100.29116313,1.552435106
2019/02/15/16:31:05.893426,25.65332081,-100.29116316,1.55438986583
2019/02/15/16:31:06.036864,25.65332083,-100.29116339,1.55618763235
2019/02/15/16:31:06.147082,25.65332085,-100.29116343,1.55981791964
2019/02/15/16:31:06.264248,25.65332079,-100.29116347,1.56444303054
2019/02/15/16:31:06.372982,25.65332075,-100.29116315,1.57042941595
2019/02/15/16:31:06.492267,25.65332073,-100.29116315,1.57561312478
2019/02/15/16:31:06.592632,25.65332062,-100.29116299,1.58015101717
2019/02/15/16:31:06.701245,25.65332064,-100.29116302,1.58222788292
2019/02/15/16:31:06.820156,25.65332076,-100.29116307,1.58217555181
2019/02/15/16:31:06.910828,25.65332081,-100.29116309,1.57990667219
2019/02/15/16:31:07.068230,25.65332093,-100.29116324,1.57346635107
2019/02/15/16:31:07.168486,25.65332098,-100.291163,1.52515568684
2019/02/15/16:31:07.270975,25.65332098,-100.29116285,1.4667046394
2019/02/15/16:31:07.388190,25.65332098,-100.29116255,1.39106209174
2019/02/15/16:31:07.495119,25.65332106,-100.29116226,1.28909992799
2019/02/15/16:31:07.612334,25.65332134,-100.29116189,1.18223342094
2019/02/15/16:31:07.722588,25.65332153,-100.29116155,1.06081087736
2019/02/15/16:31:07.842761,25.65332185,-100.29116109,0.949040027035
2019/02/15/16:31:07.987673,25.65332211,-100.29116073,0.831335055823
2019/02/15/16:31:08.094860,25.65332252,-100.29116014,0.702145804011
2019/02/15/16:31:08.212498,25.65332288,-100.29115965,0.611266515983
2019/02/15/16:31:08.322118,25.65332321,-100.29115932,0.519532053818
2019/02/15/16:31:08.440481,25.65332342,-100.29115912,0.439979953208
2019/02/15/16:31:08.549779,25.65332384,-100.29115884,0.35903159082
2019/02/15/16:31:08.674914,25.65332435,-100.29115855,0.291016135205
2019/02/15/16:31:08.775287,25.65332455,-100.29115819,0.220277964127
2019/02/15/16:31:08.893101,25.65332491,-100.29115798,0.17015210632
2019/02/15/16:31:09.038007,25.65332549,-100.29115763,0.112224644559
2019/02/15/16:31:09.145491,25.65332612,-100.29115745,0.0481012649101
2019/02/15/16:31:09.264823,25.65332683,-100.2911575,0.00191986176737
2019/02/15/16:31:09.374803,25.65332779,-100.29115728,-0.0497593278539
2019/02/15/16:31:09.493223,25.65332837,-100.2911572,-0.098506363421
2019/02/15/16:31:09.594034,25.6533291,-100.29115704,-0.149906293872
2019/02/15/16:31:09.710542,25.65332967,-100.29115703,-0.190136130088
2019/02/15/16:31:09.819779,25.65333014,-100.29115712,-0.232547627414
2019/02/15/16:31:09.924346,25.65333073,-100.29115721,-0.267907991102
2019/02/15/16:31:10.013107,25.65333111,-100.29115733,-0.299463547267
2019/02/15/16:31:10.116199,25.65333161,-100.29115742,-0.326585939825
