time,.data
2019/02/15/16:06:48.847697,-1.61072916013
2019/02/15/16:06:48.949147,-1.61072916013
2019/02/15/16:06:49.059686,-1.61072916013
2019/02/15/16:06:49.153334,-1.61072916013
2019/02/15/16:06:49.254602,-1.61072916013
2019/02/15/16:06:49.355957,-1.61072916013
2019/02/15/16:06:49.458214,-1.61072916013
2019/02/15/16:06:49.559551,-1.61072916013
2019/02/15/16:06:49.660388,-1.61072916013
2019/02/15/16:06:49.762035,-1.61072916013
2019/02/15/16:06:49.863306,-1.61072916013
2019/02/15/16:06:49.964618,-1.61072916013
2019/02/15/16:06:50.068783,-1.61072916013
2019/02/15/16:06:50.171256,-1.61072916013
2019/02/15/16:06:50.269880,-1.61072916013
2019/02/15/16:06:50.371880,-1.61072916013
2019/02/15/16:06:50.474244,-1.61072916013
2019/02/15/16:06:50.576612,-1.61072916013
2019/02/15/16:06:50.678733,-1.61072916013
2019/02/15/16:06:50.782938,-1.61072916013
2019/02/15/16:06:50.883116,-1.61072916013
2019/02/15/16:06:50.984778,-1.61072916013
2019/02/15/16:06:51.086862,-1.61072916013
2019/02/15/16:06:51.188934,-1.61072916013
2019/02/15/16:06:51.294142,-1.61072916013
2019/02/15/16:06:51.396383,-1.61072916013
2019/02/15/16:06:51.497868,-1.61072916013
2019/02/15/16:06:51.598967,-1.61072916013
2019/02/15/16:06:51.701156,-1.61072916013
2019/02/15/16:06:51.802894,-1.61072916013
2019/02/15/16:06:51.904361,-1.61072916013
2019/02/15/16:06:52.007571,-1.61072916013
2019/02/15/16:06:52.109948,-1.61072916013
2019/02/15/16:06:52.212626,-1.61072916013
2019/02/15/16:06:52.315049,-1.61072916013
2019/02/15/16:06:52.418854,-1.61072916013
2019/02/15/16:06:52.520896,-1.61072916013
2019/02/15/16:06:52.623542,-1.61072916013
2019/02/15/16:06:52.724796,-1.61072916013
2019/02/15/16:06:52.826414,-1.61072916013
2019/02/15/16:06:52.928126,-1.61072916013
2019/02/15/16:06:53.030022,-1.61072916013
2019/02/15/16:06:53.131856,-1.61072916013
2019/02/15/16:06:53.233993,-1.61072916013
2019/02/15/16:06:53.335922,-1.61072916013
2019/02/15/16:06:53.438076,-1.61072916013
2019/02/15/16:06:53.540756,-1.61072916013
2019/02/15/16:06:53.645220,-1.61072916013
2019/02/15/16:06:53.745506,-1.61072916013
2019/02/15/16:06:53.847793,-1.61072916013
2019/02/15/16:06:53.950039,-1.61072916013
2019/02/15/16:06:54.052149,-1.60821595215
2019/02/15/16:06:54.154217,-1.60570314104
2019/02/15/16:06:54.256399,-1.6031911236
2019/02/15/16:06:54.358553,-1.6006802965
2019/02/15/16:06:54.461157,-1.59817105623
