time,.data
2019/02/15/16:06:48.948550,0.0
2019/02/15/16:06:49.055665,0.0
2019/02/15/16:06:49.152803,0.0
2019/02/15/16:06:49.254678,0.0
2019/02/15/16:06:49.356251,0.0
2019/02/15/16:06:49.457236,0.0
2019/02/15/16:06:49.558974,0.0
2019/02/15/16:06:49.660467,0.0
2019/02/15/16:06:49.762070,0.0
2019/02/15/16:06:49.863533,0.0
2019/02/15/16:06:49.964853,0.0
2019/02/15/16:06:50.068994,0.7
2019/02/15/16:06:50.171454,0.7
2019/02/15/16:06:50.269622,0.7
2019/02/15/16:06:50.371578,0.7
2019/02/15/16:06:50.473535,0.7
2019/02/15/16:06:50.575977,0.7
2019/02/15/16:06:50.677817,0.7
2019/02/15/16:06:50.783552,0.7
2019/02/15/16:06:50.882492,0.7
2019/02/15/16:06:50.984628,0.7
2019/02/15/16:06:51.086740,0.7
2019/02/15/16:06:51.188871,0.7
2019/02/15/16:06:51.291668,0.7
2019/02/15/16:06:51.395895,0.7
2019/02/15/16:06:51.498167,0.7
2019/02/15/16:06:51.599340,0.7
2019/02/15/16:06:51.699940,0.7
2019/02/15/16:06:51.802821,0.7
2019/02/15/16:06:51.904767,0.7
2019/02/15/16:06:52.005806,0.7
2019/02/15/16:06:52.109290,0.7
2019/02/15/16:06:52.211924,0.7
2019/02/15/16:06:52.313912,0.7
2019/02/15/16:06:52.418001,0.7
2019/02/15/16:06:52.520666,0.7
2019/02/15/16:06:52.621934,0.7
2019/02/15/16:06:52.723971,0.7
2019/02/15/16:06:52.826902,0.7
2019/02/15/16:06:52.927875,0.7
2019/02/15/16:06:53.029739,0.7
2019/02/15/16:06:53.131573,0.7
2019/02/15/16:06:53.233808,0.7
2019/02/15/16:06:53.335443,0.7
2019/02/15/16:06:53.438166,0.7
2019/02/15/16:06:53.540209,0.7
2019/02/15/16:06:53.643503,0.7
2019/02/15/16:06:53.745278,0.7
2019/02/15/16:06:53.847404,0.7
2019/02/15/16:06:53.949384,0.7
2019/02/15/16:06:54.051910,0.7
2019/02/15/16:06:54.154148,0.7
2019/02/15/16:06:54.256202,0.7
2019/02/15/16:06:54.357785,0.7
2019/02/15/16:06:54.461091,0.7
2019/02/15/16:06:54.562343,0.7
2019/02/15/16:06:54.664485,0.7
2019/02/15/16:06:54.770289,0.7
2019/02/15/16:06:54.872725,0.7
2019/02/15/16:06:54.970982,0.7
2019/02/15/16:06:55.073201,0.7
2019/02/15/16:06:55.175402,0.7
2019/02/15/16:06:55.277570,0.7
2019/02/15/16:06:55.380218,0.7
2019/02/15/16:06:55.482752,0.7
2019/02/15/16:06:55.584663,0.7
2019/02/15/16:06:55.686944,0.7
2019/02/15/16:06:55.789191,0.7
2019/02/15/16:06:55.891087,0.7
2019/02/15/16:06:55.993580,0.7
2019/02/15/16:06:56.095947,0.7
2019/02/15/16:06:56.198403,0.7
2019/02/15/16:06:56.300680,0.7
2019/02/15/16:06:56.403650,0.7
2019/02/15/16:06:56.504997,0.7
2019/02/15/16:06:56.607223,0.7
2019/02/15/16:06:56.709492,0.7
2019/02/15/16:06:56.811849,0.7
2019/02/15/16:06:56.914006,0.7
2019/02/15/16:06:57.016346,0.7
2019/02/15/16:06:57.117986,0.7
2019/02/15/16:06:57.220069,0.7
2019/02/15/16:06:57.322622,0.7
2019/02/15/16:06:57.425499,0.7
2019/02/15/16:06:57.526863,0.7
2019/02/15/16:06:57.629312,0.7
2019/02/15/16:06:57.730984,0.7
2019/02/15/16:06:57.833167,0.7
2019/02/15/16:06:57.935410,0.7
2019/02/15/16:06:58.037941,0.7
2019/02/15/16:06:58.139378,0.7
2019/02/15/16:06:58.241491,0.7
2019/02/15/16:06:58.344850,0.7
2019/02/15/16:06:58.447636,0.7
2019/02/15/16:06:58.550321,0.7
2019/02/15/16:06:58.652217,0.7
2019/02/15/16:06:58.754385,0.7
2019/02/15/16:06:58.856546,0.7
2019/02/15/16:06:58.958460,0.7
2019/02/15/16:06:59.060787,0.7
2019/02/15/16:06:59.162589,0.7
2019/02/15/16:06:59.264580,0.7
2019/02/15/16:06:59.366614,0.7
2019/02/15/16:06:59.471767,0.7
2019/02/15/16:06:59.571440,0.7
2019/02/15/16:06:59.673829,0.7
2019/02/15/16:06:59.775881,0.7
2019/02/15/16:06:59.879127,0.7
2019/02/15/16:06:59.981421,0.7
2019/02/15/16:07:00.084286,0.7
2019/02/15/16:07:00.187393,0.7
2019/02/15/16:07:00.287689,0.7
2019/02/15/16:07:00.388851,0.7
2019/02/15/16:07:00.491145,0.7
2019/02/15/16:07:00.593337,0.7
2019/02/15/16:07:00.696747,0.7
2019/02/15/16:07:00.801250,0.7
2019/02/15/16:07:00.903411,0.7
2019/02/15/16:07:01.005418,0.7
2019/02/15/16:07:01.107434,0.7
2019/02/15/16:07:01.209755,0.7
2019/02/15/16:07:01.313986,0.7
2019/02/15/16:07:01.419760,0.7
2019/02/15/16:07:01.522892,0.7
2019/02/15/16:07:01.625305,0.7
2019/02/15/16:07:01.727528,0.7
2019/02/15/16:07:01.830686,0.7
2019/02/15/16:07:01.932582,0.7
2019/02/15/16:07:02.033885,0.7
2019/02/15/16:07:02.136205,0.7
2019/02/15/16:07:02.239126,0.7
2019/02/15/16:07:02.340752,0.7
2019/02/15/16:07:02.443963,0.7
2019/02/15/16:07:02.544998,0.7
2019/02/15/16:07:02.647597,0.7
2019/02/15/16:07:02.749989,0.7
2019/02/15/16:07:02.853709,0.7
2019/02/15/16:07:02.953657,0.7
2019/02/15/16:07:03.055590,0.7
2019/02/15/16:07:03.157612,0.7
2019/02/15/16:07:03.259890,0.7
2019/02/15/16:07:03.362070,0.7
2019/02/15/16:07:03.463959,0.7
2019/02/15/16:07:03.567462,0.7
2019/02/15/16:07:03.668658,0.7
2019/02/15/16:07:03.771441,0.7
2019/02/15/16:07:03.875167,0.7
2019/02/15/16:07:03.977570,0.7
2019/02/15/16:07:04.078453,0.7
2019/02/15/16:07:04.180714,0.7
2019/02/15/16:07:04.283271,0.7
2019/02/15/16:07:04.384881,0.7
2019/02/15/16:07:04.486568,0.7
2019/02/15/16:07:04.588613,0.7
2019/02/15/16:07:04.690895,0.7
2019/02/15/16:07:04.793192,0.7
2019/02/15/16:07:04.895969,0.7
2019/02/15/16:07:05.001166,0.7
2019/02/15/16:07:05.102099,0.7
2019/02/15/16:07:05.204768,0.7
2019/02/15/16:07:05.306804,0.7
2019/02/15/16:07:05.408417,0.7
2019/02/15/16:07:05.510854,0.7
2019/02/15/16:07:05.614563,0.7
2019/02/15/16:07:05.717093,0.7
2019/02/15/16:07:05.818939,0.7
2019/02/15/16:07:05.920108,0.7
2019/02/15/16:07:06.022941,0.7
2019/02/15/16:07:06.124974,0.7
2019/02/15/16:07:06.226413,0.7
2019/02/15/16:07:06.327940,0.7
2019/02/15/16:07:06.429656,0.7
2019/02/15/16:07:06.531704,0.7
2019/02/15/16:07:06.633895,0.7
2019/02/15/16:07:06.736471,0.7
2019/02/15/16:07:06.837333,0.7
2019/02/15/16:07:06.939214,0.7
2019/02/15/16:07:07.040351,0.7
2019/02/15/16:07:07.142281,0.7
2019/02/15/16:07:07.244524,0.7
2019/02/15/16:07:07.346174,0.7
2019/02/15/16:07:07.448795,0.7
2019/02/15/16:07:07.550391,0.7
2019/02/15/16:07:07.652437,0.7
2019/02/15/16:07:07.753161,0.7
2019/02/15/16:07:07.855706,0.7
2019/02/15/16:07:07.956782,0.7
2019/02/15/16:07:08.057884,0.7
2019/02/15/16:07:08.159915,0.7
2019/02/15/16:07:08.262319,0.7
2019/02/15/16:07:08.364917,0.7
2019/02/15/16:07:08.470199,0.7
2019/02/15/16:07:08.572026,0.7
2019/02/15/16:07:08.673523,0.7
2019/02/15/16:07:08.776060,0.7
2019/02/15/16:07:08.878199,0.7
2019/02/15/16:07:08.980379,0.7
2019/02/15/16:07:09.081905,0.7
2019/02/15/16:07:09.183303,0.7
2019/02/15/16:07:09.291230,0.7
2019/02/15/16:07:09.387465,0.7
2019/02/15/16:07:09.488885,0.7
2019/02/15/16:07:09.589825,0.7
2019/02/15/16:07:09.692895,0.7
2019/02/15/16:07:09.794745,0.7
2019/02/15/16:07:09.896135,0.7
2019/02/15/16:07:10.000738,0.7
