time,.x,.y,.theta
2019/02/15/16:06:46.616447,25.65331712,-100.29111749,-1.57957497555
2019/02/15/16:06:46.616573,25.65331715,-100.29111751,-1.57608437103
2019/02/15/16:06:46.616646,25.65331712,-100.29111762,-1.57131957736
2019/02/15/16:06:46.644058,25.65331716,-100.29111764,-1.56596143152
2019/02/15/16:06:46.761207,25.65331711,-100.29111766,-1.55994002555
2019/02/15/16:06:46.878428,25.65331714,-100.29111769,-1.55404085865
2019/02/15/16:06:46.982176,25.65331709,-100.29111767,-1.54800200897
2019/02/15/16:06:47.083979,25.65331711,-100.29111771,-1.54288820811
2019/02/15/16:06:47.205292,25.65331711,-100.2911177,-1.5373380484
2019/02/15/16:06:47.307782,25.65331713,-100.29111772,-1.52997281162
2019/02/15/16:06:47.409433,25.65331709,-100.29111771,-1.52403862415
2019/02/15/16:06:47.553880,25.65331711,-100.29111772,-1.5190120418
2019/02/15/16:06:47.676366,25.6533171,-100.29111774,-1.5131826497
2019/02/15/16:06:47.791317,25.65331707,-100.29111772,-1.50838310178
2019/02/15/16:06:47.903293,25.65331707,-100.29111775,-1.50300737908
2019/02/15/16:06:48.005838,25.65331701,-100.29111775,-1.4960085932
2019/02/15/16:06:48.108677,25.65331701,-100.29111778,-1.49068546792
2019/02/15/16:06:48.227035,25.65331699,-100.2911178,-1.48728194875
2019/02/15/16:06:48.336370,25.65331701,-100.29111782,-1.48421025939
2019/02/15/16:06:48.452249,25.65331704,-100.29111782,-1.47960259219
2019/02/15/16:06:48.586907,25.65331709,-100.29111795,-1.47249901093
2019/02/15/16:06:48.710183,25.65331713,-100.29111798,-1.46333614079
2019/02/15/16:06:48.834138,25.6533171,-100.2911179,-1.45574386958
2019/02/15/16:06:48.934800,25.653317,-100.29111796,-1.44940834382
2019/02/15/16:06:49.055739,25.65331704,-100.291118,-1.44473090181
2019/02/15/16:06:49.160964,25.65331709,-100.29111799,-1.43935531227
2019/02/15/16:06:49.283921,25.65331715,-100.29111804,-1.43404949753
2019/02/15/16:06:49.382144,25.65331722,-100.29111797,-1.42883090131
2019/02/15/16:06:49.473366,25.65331727,-100.29111804,-1.42560208547
2019/02/15/16:06:49.632015,25.65331756,-100.29111795,-1.42324585419
2019/02/15/16:06:49.739736,25.65331766,-100.29111808,-1.41991237615
2019/02/15/16:06:49.857427,25.65331761,-100.29111804,-1.41823684869
2019/02/15/16:06:49.959634,25.65331758,-100.29111811,-1.41607263128
2019/02/15/16:06:50.075188,25.65331761,-100.29111819,-1.41362918149
2019/02/15/16:06:50.183680,25.65331755,-100.29111831,-1.40903895799
2019/02/15/16:06:50.289755,25.65331759,-100.2911184,-1.40233684819
2019/02/15/16:06:50.405700,25.65331771,-100.29111844,-1.39334841506
2019/02/15/16:06:50.549754,25.65331777,-100.29111851,-1.38188164474
2019/02/15/16:06:50.661122,25.65331788,-100.29111837,-1.36802375574
2019/02/15/16:06:50.783629,25.65331785,-100.29111851,-1.36170554052
2019/02/15/16:06:50.887105,25.65331793,-100.29111868,-1.36016969584
2019/02/15/16:06:51.008109,25.65331807,-100.29111887,-1.36474247564
2019/02/15/16:06:51.109474,25.65331819,-100.29111915,-1.37750087882
