time,.data
2019/02/15/16:06:47.921583,-86.1159793985
2019/02/15/16:06:48.048653,-85.7149785054
2019/02/15/16:06:48.153502,-85.4099858931
2019/02/15/16:06:48.264365,-85.2149786094
2019/02/15/16:06:48.374159,7.2489990412
2019/02/15/16:06:48.486363,7.51299892525
2019/02/15/16:06:48.603238,7.51299892525
2019/02/15/16:06:48.714680,7.92000415063
2019/02/15/16:06:48.827070,8.44499793789
2019/02/15/16:06:48.946572,8.88000303538
2019/02/15/16:06:49.062872,9.24300192226
2019/02/15/16:06:49.179266,9.51099960821
2019/02/15/16:06:49.293155,9.81899820136
2019/02/15/16:06:49.404376,10.4220025315
2019/02/15/16:06:49.511216,10.6070000516
2019/02/15/16:06:49.622659,10.6070000516
2019/02/15/16:06:49.732569,10.7420021597
2019/02/15/16:06:49.844457,10.9329963827
2019/02/15/16:06:49.953933,11.0289970341
2019/02/15/16:06:50.062842,11.1529975576
2019/02/15/16:06:50.170558,11.2929969181
2019/02/15/16:06:50.284169,11.5559973517
2019/02/15/16:06:50.395904,11.9399999574
2019/02/15/16:06:50.505252,12.4549992399
2019/02/15/16:06:50.619913,13.1119967838
2019/02/15/16:06:50.731246,13.9059953369
2019/02/15/16:06:50.845595,14.2680024027
2019/02/15/16:06:50.961294,14.3559998209
2019/02/15/16:06:51.068389,14.0939988378
2019/02/15/16:06:51.184247,13.3629961823
2019/02/15/16:06:51.293758,12.3149998793
2019/02/15/16:06:51.407680,10.9090019419
2019/02/15/16:06:51.519492,9.63799848315
2019/02/15/16:06:51.630051,8.62900363692
2019/02/15/16:06:51.743940,8.19299908895
2019/02/15/16:06:51.857225,8.39900032783
2019/02/15/16:06:51.970228,8.85300261375
2019/02/15/16:06:52.084303,9.16899681071
2019/02/15/16:06:52.191403,9.38500018374
2019/02/15/16:06:52.305111,9.38699908469
2019/02/15/16:06:52.417932,9.09899713044
2019/02/15/16:06:52.532055,8.68700228208
2019/02/15/16:06:52.645557,8.32099741437
2019/02/15/16:06:52.754284,8.09899733849
2019/02/15/16:06:52.864739,7.96600176069
2019/02/15/16:06:52.977171,7.909002566
2019/02/15/16:06:53.086984,7.91499926886
2019/02/15/16:06:53.197623,7.98399949864
2019/02/15/16:06:53.308589,8.16100141494
2019/02/15/16:06:53.419646,8.38500039178
2019/02/15/16:06:53.528748,8.72600373881
2019/02/15/16:06:53.640448,9.04900171848
2019/02/15/16:06:53.758513,9.37499804959
2019/02/15/16:06:53.872012,9.49699967215
2019/02/15/16:06:53.984106,9.52699844521
2019/02/15/16:06:54.099133,9.23200128996
2019/02/15/16:06:54.209337,8.79103081001
2019/02/15/16:06:54.318836,8.26310020667
2019/02/15/16:06:54.429390,7.87424534442
2019/02/15/16:06:54.541039,7.71747598159
2019/02/15/16:06:54.653990,7.82182177293
2019/02/15/16:06:54.769508,8.39429846323
2019/02/15/16:06:54.872902,8.92093651316
2019/02/15/16:06:54.983712,9.36878499407
2019/02/15/16:06:55.095815,9.76503898714
2019/02/15/16:06:55.210661,9.99354308375
2019/02/15/16:06:55.321767,10.0323166167
2019/02/15/16:06:55.435490,9.97338489474
2019/02/15/16:06:55.542296,9.85476470735
2019/02/15/16:06:55.652658,9.7214918356
2019/02/15/16:06:55.763357,9.59057924671
2019/02/15/16:06:55.876511,9.42204828555
2019/02/15/16:06:55.989262,9.21891949503
2019/02/15/16:06:56.102833,9.14922186457
2019/02/15/16:06:56.215506,9.15420397185
2019/02/15/16:06:56.327149,9.5259169917
2019/02/15/16:06:56.437485,9.9411526515
2019/02/15/16:06:56.546975,10.4309233002
2019/02/15/16:06:56.663669,10.8042563847
2019/02/15/16:06:56.770250,11.2971658692
2019/02/15/16:06:56.880528,11.3926826894
2019/02/15/16:06:56.991621,11.324821722
2019/02/15/16:06:57.103974,11.1966010677
2019/02/15/16:06:57.211756,11.0850530136
2019/02/15/16:06:57.324501,11.1271843993
2019/02/15/16:06:57.447159,11.2620344676
2019/02/15/16:06:57.558313,11.2399286603
2019/02/15/16:06:57.669388,11.3010240772
2019/02/15/16:06:57.781995,11.234904515
2019/02/15/16:06:57.891554,11.1156031034
2019/02/15/16:06:58.001730,11.0041294703
2019/02/15/16:06:58.113357,10.9265047163
