time,.data
2019/02/15/16:06:48.153429,0.0
2019/02/15/16:06:48.262519,0.0
2019/02/15/16:06:48.371418,0.0
2019/02/15/16:06:48.481010,0.0
2019/02/15/16:06:48.603274,0.0
2019/02/15/16:06:48.714719,0.0
2019/02/15/16:06:48.824402,0.0
2019/02/15/16:06:48.944089,0.0
2019/02/15/16:06:49.056776,0.0
2019/02/15/16:06:49.175421,0.0
2019/02/15/16:06:49.292428,0.0
2019/02/15/16:06:49.402471,0.0711385309696
2019/02/15/16:06:49.510772,0.0848475545645
2019/02/15/16:06:49.622848,0.0848475545645
2019/02/15/16:06:49.731570,0.0868554934859
2019/02/15/16:06:49.843279,0.085207439959
2019/02/15/16:06:49.953351,0.0770127549767
2019/02/15/16:06:50.061696,0.0777665004134
2019/02/15/16:06:50.171064,-0.618001264334
2019/02/15/16:06:50.283882,-0.613272544742
2019/02/15/16:06:50.395171,-0.614573423564
2019/02/15/16:06:50.505203,-0.62353579402
2019/02/15/16:06:50.618650,-0.636776667833
2019/02/15/16:06:50.729508,-0.627241928875
2019/02/15/16:06:50.845217,-0.583143424988
2019/02/15/16:06:50.955193,-0.523458313942
2019/02/15/16:06:51.068326,-0.473119926453
2019/02/15/16:06:51.184679,-0.419080597162
2019/02/15/16:06:51.291868,-0.375979316235
2019/02/15/16:06:51.404509,-0.355858814716
2019/02/15/16:06:51.515751,-0.352337670326
2019/02/15/16:06:51.628875,-0.32088701129
2019/02/15/16:06:51.744090,-0.303977739811
2019/02/15/16:06:51.854681,-0.29305202961
2019/02/15/16:06:51.967899,-0.267248314619
2019/02/15/16:06:52.084899,-0.239754837751
2019/02/15/16:06:52.192136,-0.213585925102
2019/02/15/16:06:52.301011,-0.200929117203
2019/02/15/16:06:52.415785,-0.191978466511
2019/02/15/16:06:52.531275,-0.171267819405
2019/02/15/16:06:52.647296,-0.156175684929
2019/02/15/16:06:52.753100,-0.146509242058
2019/02/15/16:06:52.864010,-0.142821860313
2019/02/15/16:06:52.974646,-0.142195653915
2019/02/15/16:06:53.086905,-0.148271811008
2019/02/15/16:06:53.196422,-0.149669599533
2019/02/15/16:06:53.305393,-0.15161241293
2019/02/15/16:06:53.416537,-0.149651479721
2019/02/15/16:06:53.528784,-0.153623116016
2019/02/15/16:06:53.642635,-0.150457215309
2019/02/15/16:06:53.758423,-0.127407920361
2019/02/15/16:06:53.869448,-0.0921895623207
2019/02/15/16:06:53.983766,-0.0658343553543
2019/02/15/16:06:54.097942,-0.0545988798141
2019/02/15/16:06:54.206959,-0.05008507967
2019/02/15/16:06:54.318045,0.0
2019/02/15/16:06:54.427853,0.0
2019/02/15/16:06:54.543772,0.0
2019/02/15/16:06:54.654174,-0.0525483012199
2019/02/15/16:06:54.769097,-0.060869705677
2019/02/15/16:06:54.872869,-0.0754773736
2019/02/15/16:06:54.984225,-0.0716070055962
2019/02/15/16:06:55.095089,-0.0653086423874
2019/02/15/16:06:55.210797,0.0
2019/02/15/16:06:55.323055,0.0
2019/02/15/16:06:55.431052,0.0
2019/02/15/16:06:55.539763,0.0
2019/02/15/16:06:55.650713,0.0
2019/02/15/16:06:55.760887,0.0
2019/02/15/16:06:55.874038,-0.0541259765625
2019/02/15/16:06:55.986873,-0.0640365004539
2019/02/15/16:06:56.099895,-0.069705915451
2019/02/15/16:06:56.215588,-0.0739606142044
