time,.x,.y,.theta
2019/02/15/16:16:46.382654,0.418416559696,-0.206479802728,-1.70635566497
2019/02/15/16:16:46.469884,0.418416559696,-0.206479802728,-1.70726327008
2019/02/15/16:16:46.571626,0.418416559696,-0.206479802728,-1.70740295285
2019/02/15/16:16:46.686664,0.418416559696,-0.206479802728,-1.70749017136
2019/02/15/16:16:46.794304,0.418416559696,-0.206479802728,-1.70886902273
2019/02/15/16:16:46.911356,0.418416559696,-0.206479802728,-1.71122512085
2019/02/15/16:16:47.010197,0.418416559696,-0.206479802728,-1.71400026729
2019/02/15/16:16:47.321722,0.423250406981,-0.144985258579,-1.71977732828
2019/02/15/16:16:47.440810,0.423250406981,-0.144985258579,-1.72162729275
2019/02/15/16:16:47.546763,0.423250406981,-0.144985258579,-1.72522269263
2019/02/15/16:16:47.662095,0.197892904282,-0.144985258579,-1.72569393889
2019/02/15/16:16:47.770639,0.197892904282,-0.144985258579,-1.72541470651
2019/02/15/16:16:47.887611,0.197892904282,-0.144985258579,-1.72434997492
2019/02/15/16:16:47.997140,0.197892904282,-0.144985258579,-1.72366940425
2019/02/15/16:16:48.148253,0.197892904282,-0.144985258579,-1.72386128497
2019/02/15/16:16:48.260396,0.197892904282,-0.144985258579,-1.72370429165
2019/02/15/16:16:48.370993,0.197892904282,-0.144985258579,-1.7233202639
2019/02/15/16:16:48.488482,0.197892904282,-0.144985258579,-1.7220113205
2019/02/15/16:16:48.590376,0.197892904282,-0.144985258579,-1.71975988458
2019/02/15/16:16:48.695804,0.197892904282,-0.144985258579,-1.71787489956
2019/02/15/16:16:48.795280,0.197892904282,-0.144985258579,-1.7161295973
2019/02/15/16:16:48.918194,0.197892904282,-0.144985258579,-1.71401771099
2019/02/15/16:16:49.015873,0.197892904282,-0.144985258579,-1.71099821958
2019/02/15/16:16:49.168467,0.197892904282,-0.144985258579,-1.70878167106
2019/02/15/16:16:49.271285,0.197892904282,-0.144985258579,-1.70731560119
2019/02/15/16:16:49.388716,0.202726766467,-0.0834906995296,-1.70824065
