time,.data
2019/02/15/16:16:48.599904,-1.69982812534
2019/02/15/16:16:48.698617,-1.69982812534
2019/02/15/16:16:48.807960,-1.69982812534
2019/02/15/16:16:48.903460,-1.69982812534
2019/02/15/16:16:49.005198,-1.69982812534
2019/02/15/16:16:49.106832,-1.69982812534
2019/02/15/16:16:49.207983,-1.69982812534
2019/02/15/16:16:49.309404,-1.69982812534
2019/02/15/16:16:49.410931,-1.69982812534
2019/02/15/16:16:49.512287,-1.69982812534
2019/02/15/16:16:49.615621,-1.69982812534
2019/02/15/16:16:49.714907,-1.69982812534
2019/02/15/16:16:49.816733,-1.69982812534
2019/02/15/16:16:49.918546,-1.69982812534
2019/02/15/16:16:50.021355,-1.69982812534
2019/02/15/16:16:50.122976,-1.69982812534
2019/02/15/16:16:50.224678,-1.69982812534
2019/02/15/16:16:50.326734,-1.69982812534
2019/02/15/16:16:50.428196,-1.69982812534
2019/02/15/16:16:50.530181,-1.69982812534
2019/02/15/16:16:50.631465,-1.69982812534
2019/02/15/16:16:50.733126,-1.69982812534
2019/02/15/16:16:50.834337,-1.69982812534
2019/02/15/16:16:50.936469,-1.69982812534
2019/02/15/16:16:51.038178,-1.69982812534
2019/02/15/16:16:51.139808,-1.69982812534
2019/02/15/16:16:51.241520,-1.69982812534
2019/02/15/16:16:51.343389,-1.69982812534
2019/02/15/16:16:51.445352,-1.69982812534
2019/02/15/16:16:51.546447,-1.69982812534
2019/02/15/16:16:51.647978,-1.69982812534
2019/02/15/16:16:51.749419,-1.69982812534
2019/02/15/16:16:51.850987,-1.69982812534
2019/02/15/16:16:51.953121,-1.69982812534
2019/02/15/16:16:52.055449,-1.69982812534
2019/02/15/16:16:52.156928,-1.69982812534
2019/02/15/16:16:52.259087,-1.69982812534
2019/02/15/16:16:52.361139,-1.69982812534
2019/02/15/16:16:52.462035,-1.69982812534
2019/02/15/16:16:52.563785,-1.69982812534
2019/02/15/16:16:52.665688,-1.69982812534
2019/02/15/16:16:52.767160,-1.69982812534
2019/02/15/16:16:52.872670,-1.69982812534
2019/02/15/16:16:52.973999,-1.69982812534
2019/02/15/16:16:53.075654,-1.69982812534
2019/02/15/16:16:53.177011,-1.69982812534
2019/02/15/16:16:53.278392,-1.69982812534
2019/02/15/16:16:53.380507,-1.69982812534
2019/02/15/16:16:53.481875,-1.69982812534
2019/02/15/16:16:53.584098,-1.69982812534
2019/02/15/16:16:53.685557,-1.69982812534
2019/02/15/16:16:53.787502,-1.69982812534
2019/02/15/16:16:53.891038,-1.69982812534
2019/02/15/16:16:53.991248,-1.69982812534
2019/02/15/16:16:54.092762,-1.69982812534
2019/02/15/16:16:54.194500,-1.69982812534
2019/02/15/16:16:54.296403,-1.69982812534
2019/02/15/16:16:54.398257,-1.69982812534
2019/02/15/16:16:54.500529,-1.69982812534
2019/02/15/16:16:54.603474,-1.69982812534
2019/02/15/16:16:54.705368,-1.69982812534
2019/02/15/16:16:54.807212,-1.69982812534
2019/02/15/16:16:54.909790,-1.69982812534
2019/02/15/16:16:55.013728,-1.69982812534
2019/02/15/16:16:55.115976,-1.69982812534
2019/02/15/16:16:55.218533,-1.69982812534
2019/02/15/16:16:55.320250,-1.69982812534
2019/02/15/16:16:55.422497,-1.69982812534
2019/02/15/16:16:55.524961,-1.69982812534
2019/02/15/16:16:55.627144,-1.69982812534
2019/02/15/16:16:55.729285,-1.69982812534
2019/02/15/16:16:55.831138,-1.69982812534
2019/02/15/16:16:55.933210,-1.69982812534
2019/02/15/16:16:56.035363,-1.69982812534
2019/02/15/16:16:56.140689,-1.69982812534
2019/02/15/16:16:56.239909,-1.69982812534
2019/02/15/16:16:56.341951,-1.69982812534
2019/02/15/16:16:56.444011,-1.69982812534
2019/02/15/16:16:56.546340,-1.69982812534
2019/02/15/16:16:56.652997,-1.69982812534
2019/02/15/16:16:56.758577,-1.69982812534
2019/02/15/16:16:56.857627,-1.69982812534
2019/02/15/16:16:56.959072,-1.69982812534
2019/02/15/16:16:57.060449,-1.69982812534
2019/02/15/16:16:57.161705,-1.69982812534
2019/02/15/16:16:57.263995,-1.69982812534
2019/02/15/16:16:57.365456,-1.69982812534
2019/02/15/16:16:57.467051,-1.69982812534
2019/02/15/16:16:57.568430,-1.69982812534
2019/02/15/16:16:57.671029,-1.69982812534
2019/02/15/16:16:57.772670,-1.69982812534
2019/02/15/16:16:57.874116,-1.69982812534
2019/02/15/16:16:57.976096,-1.69982812534
2019/02/15/16:16:58.077048,-1.69982812534
2019/02/15/16:16:58.178798,-1.69982812534
2019/02/15/16:16:58.280667,-1.69982812534
2019/02/15/16:16:58.383296,-1.69982812534
2019/02/15/16:16:58.488474,-1.69982812534
2019/02/15/16:16:58.590560,-1.69982812534
2019/02/15/16:16:58.692358,-1.69982812534
2019/02/15/16:16:58.794620,-1.69982812534
2019/02/15/16:16:58.896856,-1.69982812534
2019/02/15/16:16:58.998565,-1.69982812534
2019/02/15/16:16:59.101097,-1.69982812534
2019/02/15/16:16:59.203510,-1.69982812534
2019/02/15/16:16:59.304374,-1.69982812534
2019/02/15/16:16:59.406148,-1.69982812534
2019/02/15/16:16:59.508079,-1.69982812534
2019/02/15/16:16:59.610150,-1.69982812534
2019/02/15/16:16:59.715554,-1.69982812534
2019/02/15/16:16:59.813265,-1.69982812534
2019/02/15/16:16:59.914894,-1.69982812534
2019/02/15/16:17:00.016702,-1.69982812534
2019/02/15/16:17:00.119855,-1.69982812534
2019/02/15/16:17:00.220140,-1.69982812534
2019/02/15/16:17:00.325326,-1.69982812534
2019/02/15/16:17:00.425920,-1.69982812534
2019/02/15/16:17:00.527467,-1.69982812534
2019/02/15/16:17:00.629022,-1.69982812534
2019/02/15/16:17:00.730902,-1.69982812534
2019/02/15/16:17:00.832816,-1.69982812534
2019/02/15/16:17:00.934538,-1.69982812534
2019/02/15/16:17:01.036396,-1.69982812534
2019/02/15/16:17:01.138188,-1.69982812534
2019/02/15/16:17:01.239952,-1.69982812534
2019/02/15/16:17:01.342126,-1.69982812534
2019/02/15/16:17:01.443612,-1.69982812534
2019/02/15/16:17:01.545437,-1.69982812534
2019/02/15/16:17:01.646394,-1.69982812534
2019/02/15/16:17:01.748048,-1.69982812534
2019/02/15/16:17:01.849877,-1.69982812534
2019/02/15/16:17:01.951493,-1.69982812534
2019/02/15/16:17:02.052608,-1.69982812534
2019/02/15/16:17:02.154191,-1.69982812534
2019/02/15/16:17:02.255906,-1.69982812534
2019/02/15/16:17:02.357810,-1.69982812534
2019/02/15/16:17:02.459157,-1.69982812534
