time,.x,.y,.theta
2019/02/15/16:16:46.376652,25.65331679,-100.29111555,-1.70544805986
2019/02/15/16:16:46.378550,25.65331675,-100.29111557,-1.70457547531
2019/02/15/16:16:46.398147,25.65331695,-100.29111559,-1.70522129174
2019/02/15/16:16:46.398542,25.65331684,-100.29111561,-1.70635566497
2019/02/15/16:16:46.469707,25.65331677,-100.29111564,-1.70726327008
2019/02/15/16:16:46.568203,25.65331667,-100.29111561,-1.70740295285
2019/02/15/16:16:46.685745,25.65331662,-100.29111563,-1.70749017136
2019/02/15/16:16:46.793164,25.65331665,-100.29111555,-1.70886902273
2019/02/15/16:16:46.909570,25.6533166,-100.29111557,-1.71122512085
2019/02/15/16:16:47.009287,25.65331663,-100.29111545,-1.71400026729
2019/02/15/16:16:47.319206,25.65331652,-100.29111538,-1.71977732828
2019/02/15/16:16:47.439993,25.65331649,-100.29111529,-1.72162729275
2019/02/15/16:16:47.540633,25.65331642,-100.29111533,-1.72522269263
2019/02/15/16:16:47.659287,25.65331636,-100.29111535,-1.72569393889
2019/02/15/16:16:47.770522,25.6533164,-100.29111533,-1.72541470651
2019/02/15/16:16:47.885842,25.65331635,-100.29111534,-1.72434997492
2019/02/15/16:16:47.993491,25.65331629,-100.29111518,-1.72366940425
2019/02/15/16:16:48.145097,25.65331624,-100.29111519,-1.72386128497
2019/02/15/16:16:48.259928,25.65331621,-100.29111507,-1.72370429165
2019/02/15/16:16:48.370407,25.65331618,-100.29111494,-1.7233202639
2019/02/15/16:16:48.486769,25.65331613,-100.29111494,-1.7220113205
2019/02/15/16:16:48.589277,25.65331607,-100.29111484,-1.71975988458
2019/02/15/16:16:48.692369,25.65331602,-100.29111484,-1.71787489956
2019/02/15/16:16:48.792130,25.65331606,-100.29111491,-1.7161295973
2019/02/15/16:16:48.909052,25.653316,-100.29111492,-1.71401771099
2019/02/15/16:16:49.011523,25.65331602,-100.29111497,-1.71099821958
2019/02/15/16:16:49.167881,25.65331597,-100.29111497,-1.70878167106
2019/02/15/16:16:49.267741,25.65331587,-100.29111489,-1.70731560119
2019/02/15/16:16:49.388103,25.65331597,-100.29111466,-1.70824065
2019/02/15/16:16:49.494484,25.6533159,-100.29111465,-1.71045719851
2019/02/15/16:16:49.609933,25.65331634,-100.29111457,-1.71324978865
2019/02/15/16:16:49.718354,25.65331628,-100.29111455,-1.7174385407
2019/02/15/16:16:49.836177,25.65331626,-100.29111447,-1.72223822178
2019/02/15/16:16:49.945553,25.65331621,-100.29111446,-1.72384384126
2019/02/15/16:16:50.044874,25.65331632,-100.29111447,-1.7219589894
2019/02/15/16:16:50.137814,25.65331631,-100.2911144,-1.71656582299
2019/02/15/16:16:50.240487,25.65331628,-100.29111441,-1.70656512255
2019/02/15/16:16:50.348592,25.65331663,-100.29111477,-1.69305624073
2019/02/15/16:16:50.467817,25.6533166,-100.29111483,-1.68471362403
2019/02/15/16:16:50.568711,25.65331665,-100.29111506,-1.68668582757
2019/02/15/16:16:50.685257,25.65331664,-100.29111524,-1.70296972267
2019/02/15/16:16:50.794432,25.65331649,-100.29111549,-1.73904569424
2019/02/15/16:16:50.920441,25.65331644,-100.29111581,-1.78330728919
2019/02/15/16:16:51.014126,25.65331649,-100.29111617,-1.82404325906
2019/02/15/16:16:51.166759,25.65331642,-100.2911165,-1.83804069768
2019/02/15/16:16:51.267970,25.65331613,-100.2911175,-1.81383310104
2019/02/15/16:16:51.385334,25.65331616,-100.29111766,-1.78374351488
2019/02/15/16:16:51.491600,25.6533161,-100.29111814,-1.74374057995
2019/02/15/16:16:51.594198,25.65331598,-100.29111869,-1.7061462074
2019/02/15/16:16:51.708894,25.65331596,-100.29111917,-1.66998301732
2019/02/15/16:16:51.818604,25.65331588,-100.29111936,-1.64109784551
2019/02/15/16:16:51.933468,25.65331586,-100.29111992,-1.63767701581
2019/02/15/16:16:52.075262,25.65331625,-100.29112035,-1.65755631078
2019/02/15/16:16:52.192715,25.6533161,-100.29112075,-1.71560588678
2019/02/15/16:16:52.299145,25.65331603,-100.29112133,-1.7784378333
2019/02/15/16:16:52.417934,25.65331596,-100.2911218,-1.83252555853
