time,.data
2019/02/15/16:19:40.165950,0.0
2019/02/15/16:19:40.268095,0.0
2019/02/15/16:19:40.370127,0.0
2019/02/15/16:19:40.472724,0.0
2019/02/15/16:19:40.574904,0.0
2019/02/15/16:19:40.676541,0.0
2019/02/15/16:19:40.780401,0.0
2019/02/15/16:19:40.882442,0.0
2019/02/15/16:19:40.983907,0.0
2019/02/15/16:19:41.086490,0.7
2019/02/15/16:19:41.188605,0.7
2019/02/15/16:19:41.295150,0.7
2019/02/15/16:19:41.393379,0.7
2019/02/15/16:19:41.496519,0.7
2019/02/15/16:19:41.598891,0.7
2019/02/15/16:19:41.700843,0.7
2019/02/15/16:19:41.803478,0.7
2019/02/15/16:19:41.906614,0.7
2019/02/15/16:19:42.008395,0.7
2019/02/15/16:19:42.110187,0.7
2019/02/15/16:19:42.212280,0.7
2019/02/15/16:19:42.314436,0.7
2019/02/15/16:19:42.416432,0.7
2019/02/15/16:19:42.518394,0.7
2019/02/15/16:19:42.622533,0.7
2019/02/15/16:19:42.723863,0.7
2019/02/15/16:19:42.825415,0.7
2019/02/15/16:19:42.927524,0.7
2019/02/15/16:19:43.029592,0.7
2019/02/15/16:19:43.131868,0.7
2019/02/15/16:19:43.233970,0.7
2019/02/15/16:19:43.336223,0.7
2019/02/15/16:19:43.438416,0.7
2019/02/15/16:19:43.540869,0.7
2019/02/15/16:19:43.643342,0.7
2019/02/15/16:19:43.746122,0.7
2019/02/15/16:19:43.848042,0.7
2019/02/15/16:19:43.950270,0.7
2019/02/15/16:19:44.053204,0.7
2019/02/15/16:19:44.158101,0.7
2019/02/15/16:19:44.258290,0.7
2019/02/15/16:19:44.359908,0.7
2019/02/15/16:19:44.462382,0.7
2019/02/15/16:19:44.564465,0.7
2019/02/15/16:19:44.666325,0.7
2019/02/15/16:19:44.769042,0.7
2019/02/15/16:19:44.870723,0.7
2019/02/15/16:19:44.972723,0.7
2019/02/15/16:19:45.075117,0.7
2019/02/15/16:19:45.178439,0.7
2019/02/15/16:19:45.280318,0.7
2019/02/15/16:19:45.382293,0.7
2019/02/15/16:19:45.484592,0.7
2019/02/15/16:19:45.586580,0.7
2019/02/15/16:19:45.689772,0.7
2019/02/15/16:19:45.792540,0.7
2019/02/15/16:19:45.895136,0.7
2019/02/15/16:19:45.997268,0.7
2019/02/15/16:19:46.099371,0.7
2019/02/15/16:19:46.201165,0.7
2019/02/15/16:19:46.303382,0.7
2019/02/15/16:19:46.405533,0.7
2019/02/15/16:19:46.508290,0.7
2019/02/15/16:19:46.610520,0.7
2019/02/15/16:19:46.712543,0.7
2019/02/15/16:19:46.818911,0.7
2019/02/15/16:19:46.916303,0.7
2019/02/15/16:19:47.018349,0.7
2019/02/15/16:19:47.119483,0.7
2019/02/15/16:19:47.221137,0.7
2019/02/15/16:19:47.323313,0.7
2019/02/15/16:19:47.426828,0.7
2019/02/15/16:19:47.526935,0.7
2019/02/15/16:19:47.629918,0.7
2019/02/15/16:19:47.731232,0.7
2019/02/15/16:19:47.832715,0.7
2019/02/15/16:19:47.934058,0.7
2019/02/15/16:19:48.036738,0.7
2019/02/15/16:19:48.138008,0.7
2019/02/15/16:19:48.239661,0.7
2019/02/15/16:19:48.341999,0.7
2019/02/15/16:19:48.447346,0.7
2019/02/15/16:19:48.548591,0.7
2019/02/15/16:19:48.649218,0.7
2019/02/15/16:19:48.751211,0.7
2019/02/15/16:19:48.853151,0.7
2019/02/15/16:19:48.954329,0.7
2019/02/15/16:19:49.056644,0.7
2019/02/15/16:19:49.158440,0.7
2019/02/15/16:19:49.259207,0.7
2019/02/15/16:19:49.364681,0.7
2019/02/15/16:19:49.466341,0.7
2019/02/15/16:19:49.568498,0.7
2019/02/15/16:19:49.670999,0.7
2019/02/15/16:19:49.772962,0.7
2019/02/15/16:19:49.875167,0.7
2019/02/15/16:19:49.978443,0.7
2019/02/15/16:19:50.078982,0.7
2019/02/15/16:19:50.180505,0.7
2019/02/15/16:19:50.282027,0.7
2019/02/15/16:19:50.384579,0.7
2019/02/15/16:19:50.492584,0.7
2019/02/15/16:19:50.589696,0.7
2019/02/15/16:19:50.691817,0.7
2019/02/15/16:19:50.794099,0.7
2019/02/15/16:19:50.896357,0.7
2019/02/15/16:19:50.998492,0.7
2019/02/15/16:19:51.100747,0.7
2019/02/15/16:19:51.204150,0.7
2019/02/15/16:19:51.305628,0.7
2019/02/15/16:19:51.407768,0.7
2019/02/15/16:19:51.509985,0.7
2019/02/15/16:19:51.612226,0.7
2019/02/15/16:19:51.714607,0.7
2019/02/15/16:19:51.816768,0.7
2019/02/15/16:19:51.918978,0.7
2019/02/15/16:19:52.021178,0.7
2019/02/15/16:19:52.123493,0.7
2019/02/15/16:19:52.226388,0.7
2019/02/15/16:19:52.328645,0.7
2019/02/15/16:19:52.430716,0.7
2019/02/15/16:19:52.534619,0.7
2019/02/15/16:19:52.636670,0.7
2019/02/15/16:19:52.737843,0.7
2019/02/15/16:19:52.839796,0.7
2019/02/15/16:19:52.942086,0.7
2019/02/15/16:19:53.044579,0.7
2019/02/15/16:19:53.147125,0.7
2019/02/15/16:19:53.249329,0.7
2019/02/15/16:19:53.351454,0.7
2019/02/15/16:19:53.453644,0.7
2019/02/15/16:19:53.556401,0.7
2019/02/15/16:19:53.658955,0.7
2019/02/15/16:19:53.759764,0.7
2019/02/15/16:19:53.861920,0.7
2019/02/15/16:19:53.964772,0.7
2019/02/15/16:19:54.066693,0.7
2019/02/15/16:19:54.169118,0.7
2019/02/15/16:19:54.271334,0.7
2019/02/15/16:19:54.373385,0.7
2019/02/15/16:19:54.475777,0.7
2019/02/15/16:19:54.578110,0.7
2019/02/15/16:19:54.680164,0.7
2019/02/15/16:19:54.782518,0.7
2019/02/15/16:19:54.885740,0.7
2019/02/15/16:19:54.989113,0.7
2019/02/15/16:19:55.091131,0.7
2019/02/15/16:19:55.191589,0.7
2019/02/15/16:19:55.293802,0.7
2019/02/15/16:19:55.397005,0.7
2019/02/15/16:19:55.498131,0.7
2019/02/15/16:19:55.600287,0.7
2019/02/15/16:19:55.702439,0.7
2019/02/15/16:19:55.804782,0.7
2019/02/15/16:19:55.907230,0.7
2019/02/15/16:19:56.009447,0.7
2019/02/15/16:19:56.111532,0.7
2019/02/15/16:19:56.215355,0.7
2019/02/15/16:19:56.318863,0.7
2019/02/15/16:19:56.421823,0.7
2019/02/15/16:19:56.523205,0.7
2019/02/15/16:19:56.625538,0.7
2019/02/15/16:19:56.727567,0.7
2019/02/15/16:19:56.829853,0.7
2019/02/15/16:19:56.931949,0.7
2019/02/15/16:19:57.034191,0.7
2019/02/15/16:19:57.137192,0.7
2019/02/15/16:19:57.238637,0.7
2019/02/15/16:19:57.341973,0.7
2019/02/15/16:19:57.443431,0.7
2019/02/15/16:19:57.545758,0.7
2019/02/15/16:19:57.648119,0.7
2019/02/15/16:19:57.750173,0.7
2019/02/15/16:19:57.852271,0.7
2019/02/15/16:19:57.954445,0.7
2019/02/15/16:19:58.056886,0.7
2019/02/15/16:19:58.159451,0.7
2019/02/15/16:19:58.262135,0.7
2019/02/15/16:19:58.364794,0.7
2019/02/15/16:19:58.467882,0.7
2019/02/15/16:19:58.571243,0.7
2019/02/15/16:19:58.673833,0.7
2019/02/15/16:19:58.774663,0.7
2019/02/15/16:19:58.875866,0.7
2019/02/15/16:19:58.977257,0.7
2019/02/15/16:19:59.079492,0.7
2019/02/15/16:19:59.180574,0.7
2019/02/15/16:19:59.282827,0.7
2019/02/15/16:19:59.384562,0.7
2019/02/15/16:19:59.486837,0.7
2019/02/15/16:19:59.589765,0.7
2019/02/15/16:19:59.692189,0.7
2019/02/15/16:19:59.793881,0.7
2019/02/15/16:19:59.895876,0.7
2019/02/15/16:19:59.997666,0.7
2019/02/15/16:20:00.099606,0.7
2019/02/15/16:20:00.201275,0.7
2019/02/15/16:20:00.303239,0.7
2019/02/15/16:20:00.404907,0.7
2019/02/15/16:20:00.507558,0.7
2019/02/15/16:20:00.609784,0.7
2019/02/15/16:20:00.711144,0.7
2019/02/15/16:20:00.812597,0.7
2019/02/15/16:20:00.914502,0.7
2019/02/15/16:20:01.017037,0.7
2019/02/15/16:20:01.118989,0.7
2019/02/15/16:20:01.220619,0.7
2019/02/15/16:20:01.322447,0.7
2019/02/15/16:20:01.424141,0.7
2019/02/15/16:20:01.526047,0.7
2019/02/15/16:20:01.627883,0.7
2019/02/15/16:20:01.730454,0.7
2019/02/15/16:20:01.831241,0.7
2019/02/15/16:20:01.933012,0.7
2019/02/15/16:20:02.036257,0.7
2019/02/15/16:20:02.137689,0.7
2019/02/15/16:20:02.239480,0.7
2019/02/15/16:20:02.341828,0.7
2019/02/15/16:20:02.444082,0.7
2019/02/15/16:20:02.547711,0.7
2019/02/15/16:20:02.651637,0.7
2019/02/15/16:20:02.752978,0.7
2019/02/15/16:20:02.854698,0.7
2019/02/15/16:20:02.956622,0.7
2019/02/15/16:20:03.058853,0.7
2019/02/15/16:20:03.160308,0.7
2019/02/15/16:20:03.261863,0.7
2019/02/15/16:20:03.364937,0.7
2019/02/15/16:20:03.465646,0.7
2019/02/15/16:20:03.567497,0.7
2019/02/15/16:20:03.669261,0.7
2019/02/15/16:20:03.771210,0.7
2019/02/15/16:20:03.872773,0.7
2019/02/15/16:20:03.974777,0.7
2019/02/15/16:20:04.076274,0.7
2019/02/15/16:20:04.178283,0.7
2019/02/15/16:20:04.280070,0.7
2019/02/15/16:20:04.382044,0.7
2019/02/15/16:20:04.483781,0.7
2019/02/15/16:20:04.586342,0.7
2019/02/15/16:20:04.689045,0.7
2019/02/15/16:20:04.790006,0.7
2019/02/15/16:20:04.891606,0.7
2019/02/15/16:20:04.993606,0.7
2019/02/15/16:20:05.095618,0.7
2019/02/15/16:20:05.198524,0.7
2019/02/15/16:20:05.299439,0.7
2019/02/15/16:20:05.401458,0.7
2019/02/15/16:20:05.503987,0.7
2019/02/15/16:20:05.604947,0.7
2019/02/15/16:20:05.706947,0.7
2019/02/15/16:20:05.809517,0.7
2019/02/15/16:20:05.910479,0.7
2019/02/15/16:20:06.012888,0.7
2019/02/15/16:20:06.114583,0.7
2019/02/15/16:20:06.216442,0.7
2019/02/15/16:20:06.318093,0.7
2019/02/15/16:20:06.420130,0.7
2019/02/15/16:20:06.523245,0.7
2019/02/15/16:20:06.624840,0.7
2019/02/15/16:20:06.726149,0.7
2019/02/15/16:20:06.827961,0.7
2019/02/15/16:20:06.930230,0.7
2019/02/15/16:20:07.032564,0.7
2019/02/15/16:20:07.134463,0.7
2019/02/15/16:20:07.236759,0.7
2019/02/15/16:20:07.338966,0.7
2019/02/15/16:20:07.441504,0.7
2019/02/15/16:20:07.543343,0.7
2019/02/15/16:20:07.645457,0.7
2019/02/15/16:20:07.747369,0.7
2019/02/15/16:20:07.850126,0.7
2019/02/15/16:20:07.951475,0.7
2019/02/15/16:20:08.053334,0.7
2019/02/15/16:20:08.159345,0.7
2019/02/15/16:20:08.266681,0.7
2019/02/15/16:20:08.369789,0.7
2019/02/15/16:20:08.474455,0.7
2019/02/15/16:20:08.577441,0.7
2019/02/15/16:20:08.679446,0.7
2019/02/15/16:20:08.779886,0.7
2019/02/15/16:20:08.881349,0.7
2019/02/15/16:20:08.983372,0.7
2019/02/15/16:20:09.083853,0.7
2019/02/15/16:20:09.186532,0.7
2019/02/15/16:20:09.288142,0.7
2019/02/15/16:20:09.390029,0.7
2019/02/15/16:20:09.492192,0.7
2019/02/15/16:20:09.593832,0.7
2019/02/15/16:20:09.695793,0.7
2019/02/15/16:20:09.797790,0.7
2019/02/15/16:20:09.899586,0.7
2019/02/15/16:20:10.001378,0.7
2019/02/15/16:20:10.103283,0.7
2019/02/15/16:20:10.205233,0.7
2019/02/15/16:20:10.307047,0.7
2019/02/15/16:20:10.408895,0.7
2019/02/15/16:20:10.510469,0.7
2019/02/15/16:20:10.613904,0.7
2019/02/15/16:20:10.716297,0.7
2019/02/15/16:20:10.818118,0.7
2019/02/15/16:20:10.919995,0.7
2019/02/15/16:20:11.022134,0.7
2019/02/15/16:20:11.123134,0.7
2019/02/15/16:20:11.225719,0.7
2019/02/15/16:20:11.327238,0.7
