time,.data
2019/02/15/16:19:40.185307,0.0
2019/02/15/16:19:40.296163,0.0
2019/02/15/16:19:40.408317,0.0
2019/02/15/16:19:40.523712,0.0
2019/02/15/16:19:40.636661,0.0
2019/02/15/16:19:40.742423,0.0
2019/02/15/16:19:40.850056,0.0
2019/02/15/16:19:40.960208,0.0
2019/02/15/16:19:41.067809,0.0
2019/02/15/16:19:41.183668,0.0
2019/02/15/16:19:41.288649,0.0
2019/02/15/16:19:41.401761,0.0
2019/02/15/16:19:41.513160,0.0
2019/02/15/16:19:41.623570,0.0
2019/02/15/16:19:41.734777,0.0
2019/02/15/16:19:41.846637,0.0
2019/02/15/16:19:41.958621,0.0
2019/02/15/16:19:42.066846,0.0
2019/02/15/16:19:42.175913,0.0
2019/02/15/16:19:42.289577,0.0
2019/02/15/16:19:42.403312,0.0
2019/02/15/16:19:42.505409,-1.83899650461
2019/02/15/16:19:42.618284,-2.77600039903
2019/02/15/16:19:42.726379,-2.96099791914
2019/02/15/16:19:42.836645,-1.97799641466
2019/02/15/16:19:42.946748,0.0
2019/02/15/16:19:43.057237,1.70700037729
2019/02/15/16:19:43.170999,1.70700037729
2019/02/15/16:19:43.280629,3.67999953957
2019/02/15/16:19:43.391228,2.60900061688
2019/02/15/16:19:43.498642,0.0
2019/02/15/16:19:43.609874,-2.92800079466
2019/02/15/16:19:43.720666,-6.63999800824
2019/02/15/16:19:43.827621,-9.53899948031
2019/02/15/16:19:43.936123,-11.3809943364
2019/02/15/16:19:44.043861,-11.8019994978
2019/02/15/16:19:44.158238,-11.8019994978
2019/02/15/16:19:44.263871,-11.5419974156
2019/02/15/16:19:44.377927,-10.3159997459
2019/02/15/16:19:44.495539,-9.44399827937
2019/02/15/16:19:44.599126,-8.63999759215
2019/02/15/16:19:44.706507,-7.74300223433
2019/02/15/16:19:44.816963,-7.02599951484
2019/02/15/16:19:44.932236,-6.35999928719
2019/02/15/16:19:45.046726,-5.82700226673
2019/02/15/16:19:45.153603,-5.27899823035
2019/02/15/16:19:45.263494,-4.70699975316
2019/02/15/16:19:45.374530,-4.28199678982
2019/02/15/16:19:45.483729,-3.96299661205
2019/02/15/16:19:45.599209,-3.74500196746
2019/02/15/16:19:45.719775,-3.57199785306
2019/02/15/16:19:45.834980,-3.51699755932
2019/02/15/16:19:45.954885,-3.50399707375
2019/02/15/16:19:46.066009,-3.40499807091
2019/02/15/16:19:46.173968,-3.24999932386
2019/02/15/16:19:46.284699,-2.98400053886
2019/02/15/16:19:46.396566,-2.56300300682
2019/02/15/16:19:46.506169,-2.10400346852
2019/02/15/16:19:46.619401,-1.53900114466
2019/02/15/16:19:46.734515,0.0
2019/02/15/16:19:46.850003,0.0
2019/02/15/16:19:46.959498,0.0
2019/02/15/16:19:47.068747,0.0
2019/02/15/16:19:47.177217,-1.41999787352
2019/02/15/16:19:47.288666,-1.99600178201
2019/02/15/16:19:47.402859,-1.87799796134
2019/02/15/16:19:47.512017,0.0
2019/02/15/16:19:47.624487,0.0
2019/02/15/16:19:47.735491,1.97399861276
2019/02/15/16:19:47.846419,3.55100176368
2019/02/15/16:19:47.956509,4.92800037857
2019/02/15/16:19:48.067323,5.67399479124
2019/02/15/16:19:48.179286,5.45899849808
2019/02/15/16:19:48.294634,4.00800240102
2019/02/15/16:19:48.406257,2.27699995353
2019/02/15/16:19:48.516407,0.0
2019/02/15/16:19:48.626162,0.0
2019/02/15/16:19:48.738883,-1.33899660864
2019/02/15/16:19:48.848512,-1.41600007162
2019/02/15/16:19:48.963923,0.0
2019/02/15/16:19:49.076259,2.88500153602
2019/02/15/16:19:49.189397,6.2349993132
2019/02/15/16:19:49.300743,10.3000009089
2019/02/15/16:19:49.418047,12.6249973734
2019/02/15/16:19:49.530762,14.5080002166
2019/02/15/16:19:49.645320,15.5449949349
2019/02/15/16:19:49.752662,16.1229977443
2019/02/15/16:19:49.865592,16.4359935899
2019/02/15/16:19:49.978715,16.5049938197
2019/02/15/16:19:50.090231,16.3659939096
2019/02/15/16:19:50.201027,16.2429928366
2019/02/15/16:19:50.313390,15.9959988694
2019/02/15/16:19:50.421856,15.7829938478
2019/02/15/16:19:50.534218,15.6489988195
2019/02/15/16:19:50.641287,15.6319929026
2019/02/15/16:19:50.749918,15.6649976565
2019/02/15/16:19:50.863225,15.6429944873
2019/02/15/16:19:50.977688,15.4749952546
2019/02/15/16:19:51.088093,15.1859938499
2019/02/15/16:19:51.197926,14.8749969053
2019/02/15/16:19:51.312709,14.6589935323
2019/02/15/16:19:51.420455,14.4769943636
2019/02/15/16:19:51.532971,14.2669953229
2019/02/15/16:19:51.651177,13.9549989278
2019/02/15/16:19:51.767311,13.6419954529
2019/02/15/16:19:51.871237,13.401997639
2019/02/15/16:19:51.981791,12.8869983565
2019/02/15/16:19:52.091663,12.8869983565
2019/02/15/16:19:52.202123,12.4660008245
2019/02/15/16:19:52.312133,11.9679998295
2019/02/15/16:19:52.423176,11.7769979771
2019/02/15/16:19:52.537415,11.6750006228
2019/02/15/16:19:52.647209,11.6029944122
2019/02/15/16:19:52.755555,11.4139990902
2019/02/15/16:19:52.865856,11.266995947
2019/02/15/16:19:52.974591,11.2979941705
