time,.data
2019/02/15/16:19:39.281355,0.0
2019/02/15/16:19:39.408670,0.0
2019/02/15/16:19:39.516270,0.0
2019/02/15/16:19:39.625880,0.0
2019/02/15/16:19:39.737934,0.0
2019/02/15/16:19:39.848079,0.0
2019/02/15/16:19:39.959070,0.0
2019/02/15/16:19:40.070343,0.0
2019/02/15/16:19:40.183998,0.0
2019/02/15/16:19:40.295203,0.0
2019/02/15/16:19:40.407423,0.0
2019/02/15/16:19:40.519236,0.0
2019/02/15/16:19:40.634578,0.0
2019/02/15/16:19:40.742228,0.0
2019/02/15/16:19:40.849200,0.0
2019/02/15/16:19:40.959883,0.0
2019/02/15/16:19:41.068005,0.0
2019/02/15/16:19:41.176333,-0.671995957196
2019/02/15/16:19:41.288682,-0.67865441069
2019/02/15/16:19:41.401643,-0.685684406944
2019/02/15/16:19:41.511873,-0.693190357927
2019/02/15/16:19:41.622934,-0.677294364944
2019/02/15/16:19:41.733369,-0.680250030756
2019/02/15/16:19:41.845685,-0.662440732867
2019/02/15/16:19:41.958300,-0.632005010545
2019/02/15/16:19:42.067219,-0.57149001658
2019/02/15/16:19:42.175193,-0.525723692775
2019/02/15/16:19:42.289237,-0.475988698006
2019/02/15/16:19:42.401680,-0.455106776953
2019/02/15/16:19:42.505276,-0.428720277548
2019/02/15/16:19:42.618170,-0.399769735336
2019/02/15/16:19:42.726116,-0.356306803226
2019/02/15/16:19:42.836111,-0.303694647551
2019/02/15/16:19:42.946643,-0.254935306311
2019/02/15/16:19:43.056072,-0.225436073542
2019/02/15/16:19:43.168359,-0.225436073542
2019/02/15/16:19:43.277040,-0.147811245918
2019/02/15/16:19:43.390998,-0.201752108335
2019/02/15/16:19:43.498522,-0.239446413517
2019/02/15/16:19:43.610266,-0.290349465609
2019/02/15/16:19:43.716061,-0.319980543852
2019/02/15/16:19:43.827546,-0.34555054903
2019/02/15/16:19:43.936124,-0.378445935249
2019/02/15/16:19:44.043645,-0.346553754807
2019/02/15/16:19:44.155643,-0.346553754807
2019/02/15/16:19:44.263989,-0.311024230719
2019/02/15/16:19:44.377782,-0.255066376925
2019/02/15/16:19:44.495252,-0.232223045826
2019/02/15/16:19:44.598036,-0.214108985662
2019/02/15/16:19:44.705793,-0.191868674755
2019/02/15/16:19:44.816909,-0.168215227127
2019/02/15/16:19:44.932535,-0.136227440834
2019/02/15/16:19:45.045917,-0.101749789715
2019/02/15/16:19:45.155897,-0.0675107359886
2019/02/15/16:19:45.263542,0.0
2019/02/15/16:19:45.373613,0.0
2019/02/15/16:19:45.491978,0.0
2019/02/15/16:19:45.596480,0.0
2019/02/15/16:19:45.718702,0.0
2019/02/15/16:19:45.831415,0.0
2019/02/15/16:19:45.954186,0.0
2019/02/15/16:19:46.065752,0.0
2019/02/15/16:19:46.173682,0.0
2019/02/15/16:19:46.283396,0.0
2019/02/15/16:19:46.396209,0.0
2019/02/15/16:19:46.505731,0.0
2019/02/15/16:19:46.616745,0.0
2019/02/15/16:19:46.731391,0.0
2019/02/15/16:19:46.847545,0.0
2019/02/15/16:19:46.959378,0.0893381714821
2019/02/15/16:19:47.067840,0.0893381714821
2019/02/15/16:19:47.176606,0.104282605648
2019/02/15/16:19:47.287706,0.113059687614
2019/02/15/16:19:47.399947,0.107363688946
2019/02/15/16:19:47.511941,0.0866060733795
2019/02/15/16:19:47.623017,0.0826949357986
2019/02/15/16:19:47.735422,0.0936446666718
2019/02/15/16:19:47.845684,0.095055270195
2019/02/15/16:19:47.955424,0.0838706970215
2019/02/15/16:19:48.066377,0.071898329258
2019/02/15/16:19:48.180015,0.0935544252396
2019/02/15/16:19:48.293900,0.16572688818
2019/02/15/16:19:48.405301,0.18749063015
2019/02/15/16:19:48.515931,0.148271429539
2019/02/15/16:19:48.625692,0.124874401093
2019/02/15/16:19:48.738616,0.0902759313583
2019/02/15/16:19:48.847535,0.0806687355042
2019/02/15/16:19:48.962691,0.0
2019/02/15/16:19:49.075659,0.0
2019/02/15/16:19:49.188824,0.0
2019/02/15/16:19:49.300593,0.0
2019/02/15/16:19:49.416031,0.0569605112076
2019/02/15/16:19:49.529063,0.100322890282
2019/02/15/16:19:49.642929,0.0961447834969
2019/02/15/16:19:49.752312,0.0972096800804
2019/02/15/16:19:49.865157,0.0899495363235
2019/02/15/16:19:49.978644,0.11589615345
